mol_id,split0_test_score_JAK1,split1_test_score_JAK1,split2_test_score_JAK1,split3_test_score_JAK1,split4_test_score_JAK1,split5_test_score_JAK1,split6_test_score_JAK1,split7_test_score_JAK1,split8_test_score_JAK1,split9_test_score_JAK1,split0_test_score_GSK3,split1_test_score_GSK3,split2_test_score_GSK3,split3_test_score_GSK3,split4_test_score_GSK3,split5_test_score_GSK3,split6_test_score_GSK3,split7_test_score_GSK3,split8_test_score_GSK3,split9_test_score_GSK3,split0_test_score_pparD,split1_test_score_pparD,split2_test_score_pparD,split3_test_score_pparD,split4_test_score_pparD,split5_test_score_pparD,split6_test_score_pparD,split7_test_score_pparD,split8_test_score_pparD,split9_test_score_pparD
0ns,0.7884382034715133,0.7454624346071239,0.8144464104541425,0.74667901559852,0.5790071097478375,0.6934010203058838,0.7873484260327988,0.7086324835727245,0.7180663279767348,0.8449089036298991,0.2014266020983769,0.1735022925300456,0.2296698857019598,0.4058645697590816,0.3589979647554217,0.2523531213035427,0.3011713060026578,0.2140157503447071,0.3077980744043265,0.1766046134952106,0.0856868025837066,0.1122608209514869,0.1795112381566072,0.1224515676886675,0.14470757060939,0.0983379867138642,0.080314184586569,0.0374731479693239,0.1524786108702439,0.0520765455052867
1ns,0.7457536430048569,0.6275251687585537,0.7828047564660006,0.7277918565968122,0.6082774537714015,0.6323834487405722,0.7413322893927783,0.6720453100753939,0.6741026823938632,0.81515670926385,0.1905852109356335,-0.0424410103125696,0.2013962341377003,0.1784586829304597,0.2236221382039176,0.1956668525264351,0.1077158579117426,0.1000679574017225,0.1940353346027687,0.1251811830147867,0.0493894456877072,0.0168982938633841,0.0464523133449227,-0.0282173166596435,-0.0160124718659986,0.0048848291831576,0.0080970218390217,0.0308622254499669,-0.0174278370591913,-0.0348678529442909
2ns,0.7645903326152161,0.6460633240593157,0.7328152760108285,0.6637078467741094,0.5811038406454944,0.6324935849710616,0.7299210819949256,0.5826244815587217,0.6918740744338576,0.7754759493587469,0.1878918527167271,0.2517117090058369,0.1523103740725627,0.1202993613476323,0.0933503015805738,0.1130498240693427,0.1479614386312446,0.2197461590229105,0.1577521254907941,0.1214419583817852,0.0360666438075413,-0.0862531908340147,-0.0396362598701403,-0.0227570027860091,-0.0698815345633807,0.0202807498476875,-0.0158431605329247,-0.0306318203850957,0.0141827141235328,-0.0062424147504331
3ns,0.7611801802445057,0.6154099004080833,0.7678127361275613,0.7019707179705086,0.6259463499327207,0.640910787306104,0.6751513287876816,0.6538182101059257,0.6660160108803508,0.8143479793374137,0.1537080281367497,0.2172362123813795,0.0771210621918236,0.1141677319669476,0.0829052283119129,0.1637641161906194,0.0991710610679794,0.1009454208534876,0.1302635694394152,0.1915646538827641,0.0187909635363722,-0.0552354340210212,-0.0007982340966286,-0.0249554720115867,0.0302548743401125,0.0316638282090745,-0.009226971644487,-0.0609343707851395,0.0040768718562395,-0.0148415782262101
4ns,0.7831118499135762,0.6988667489005023,0.7508330350566763,0.750288326100894,0.6102364337193203,0.5908189318154009,0.7161937328453903,0.6337796624915202,0.700707307981357,0.8325924223049146,0.163849758675848,0.2540401788191133,0.1432190853086713,0.1886463017099039,0.0835706430280599,0.1534256178770363,0.2223472806122957,0.0507081628119311,0.187188709663961,0.0466888567891694,0.0058618740597403,0.0268268139145477,0.0010484761399229,0.0336582611791468,-0.0347171599755342,-0.0030566108351173,-0.01693764736386,0.1180867001448565,0.0034724527877824,0.0320900289416439
5ns,0.75752232649374,0.68696518117806,0.7554048624519041,0.7403083728815569,0.6260165798295082,0.6841896213994962,0.7527288032716584,0.6531262865413843,0.6440182817624693,0.7359651331345926,0.2593005433250996,0.2231182009045892,0.1432525890006968,0.1646568203507751,0.0679076735466204,0.0822545435932644,0.1501074051284242,0.1310941354244938,0.1704889488310754,0.1153198386889058,0.0386674545841058,-0.011345650875659,0.0147780787193798,0.026562775526967,0.1189426430649912,0.0626108532568087,-0.017713026277641,0.0576446259367947,0.0328319945708858,0.0210636700723557
6ns,0.7772304372908656,0.6927023928474172,0.7440496002809394,0.6723136141139954,0.6278934652139174,0.6929233331907755,0.6778472862264879,0.6241830416734502,0.6806023063004982,0.8045103446794621,0.1353409137530298,0.2540287078256964,0.193299806932107,0.0706794683806647,0.1217968185100841,0.0651707415304431,0.0862628401478156,0.176879061366078,0.1403458744619072,0.0689913984662661,-0.0823872419399265,0.0175843434171737,0.0069998875694636,-0.0052779325150764,0.0038018921272265,-0.0063184231032833,-0.0017714079787287,-0.0019372115733811,0.0096838214411153,-0.0168356445043933
7ns,0.74986957091946,0.6747306558282484,0.7447166017445277,0.6865736214973628,0.5912592449871705,0.626564626589595,0.7002855362230918,0.6817292887778583,0.6625124204593842,0.8006864282217797,0.183791071535456,0.2295288874852917,0.106938757814435,0.0676979576025892,0.0447335955661889,0.1412049521344223,0.1891177353378005,0.1494176973555114,0.1450744823130036,0.0780685257402274,0.0122016825093898,-0.0221717961329639,0.049744288968453,-0.0090133821360605,0.0455694393229897,0.0178071210019443,0.0243992563302646,0.0303908123785608,0.0272818284998933,-0.019696809566496
8ns,0.7800080892519426,0.6365140703886502,0.7348166631213104,0.6863502025217129,0.6607519759516179,0.6575535507900035,0.7383195576075496,0.6190423529143314,0.6262600760645991,0.7879609461650203,0.2240214039240931,0.2438707052257928,0.1090325740006851,0.1878500033217498,0.0313155027223533,0.0467200694271365,0.2330102645728631,0.0555290119884478,0.1796291051493376,0.0775697080628745,0.0485562032337645,-0.0245212847354863,0.0515713487176652,-0.0511624749847239,-0.0154590445655724,0.0300856804850265,-0.1018949553364692,0.0595183858483466,0.0517196305159153,0.0261419856096168
9ns,0.7355594274032549,0.6569267428972969,0.7867937376162223,0.7215920476738392,0.6080863879680327,0.6633454815261876,0.712919058918772,0.662410390993661,0.6668739934696395,0.8284525478749367,0.1821739783118389,0.2300486433936944,0.1100084605304938,0.1011808733470205,-0.0030526237891497,0.2100533835757854,0.1594834027429389,0.0475771858707887,0.2415216629717338,0.08077219456405,-0.0333102843040855,-0.0050733923843166,-0.0426908088768163,-0.0473309182194403,-0.0132887165007617,-0.0189418548362163,0.0407199442019611,-0.0625709775893303,-0.0301367598968935,0.0133082155467256
