mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
29,5.520856752021387,235.615,15.511,1.935,0.931,0.144,0.216,0.534,0.396,0.45,0.262,0.264,0.459,0.34,0.382,0.305,5.0,0.2214591,8.421,4.367,1.02,0.597998,2.72016287,96.81208,145.365311,99.114616
30,7.031517051446065,473.841,130.764,4.047,0.779,0.14,0.684,0.278,0.387,0.144,0.423,0.352,0.12,0.438,0.45,0.487,4.0,0.5435946,8.612,3.597,1.127,0.553928,8.51197661,103.913361,221.566132,147.600174
31,6.366531544420414,215.52,8.152,2.868,0.951,0.138,0.458,0.44,0.44,0.372,0.257,0.323,0.394,0.305,0.446,0.38,7.0,0.3600984,8.921,4.993,1.091,0.575579,8.6318393,104.299362,1044.856201,232.272263
32,6.0,56.549,39.915,5.699,0.554,0.139,0.125,0.064,0.427,0.08,0.294,0.37,0.117,0.45,0.205,0.22,4.0,0.2279491,9.47,5.529,1.08,0.593849,4.35705898,94.859909,1003.762756,219.500549
33,6.0,23.066,5.327,3.092,0.733,0.138,0.564,0.474,0.425,0.71,0.289,0.315,0.765,0.397,0.488,0.537,8.0,0.2326617,9.132,5.162,1.051,0.558217,6.15126879,118.309052,1019.186157,215.094406
34,7.721246399047171,226.901,93.446,14.091,0.678,0.139,0.187,0.151,0.389,0.219,0.447,0.36,0.292,0.587,0.243,0.259,3.0,0.4631791,8.554,3.465,1.152,0.528477,8.52523688,86.894127,159.742676,161.182175
35,6.795880017344075,204.144,121.232,4.135,0.62,0.138,0.251,0.142,0.449,0.35,0.449,0.386,0.166,0.665,0.281,0.372,5.0,0.4789364,7.611,5.456,1.055,0.465477,8.04334177,96.872116,215.640747,242.894684
36,6.0,32.611,10.237,1.017,0.743,0.14,0.485,0.311,0.301,0.28,0.126,0.153,0.313,0.235,0.365,0.273,4.0,0.1862316,9.176,5.056,1.021,0.632432,4.38848631,71.324844,243.220169,199.859299
38,5.2441251443275085,129.045,6.414,1.781,0.94,0.147,0.275,0.418,0.28,0.351,0.083,0.138,0.374,0.148,0.325,0.239,6.0,0.2099059,7.606,2.947,1.022,0.551005,1.20328046,56.814346,83.817368,141.25827
39,6.3979400086720375,303.078,4.727,3.578,0.973,0.147,0.802,0.325,0.324,1.49,0.41,0.332,0.368,0.351,0.484,0.843,3.0,0.2797205,8.07,2.98,1.021,0.595752,3.41075751,123.681366,71.875732,136.873947
40,5.698970004336019,358.703,29.368,1.262,0.921,0.144,0.49,0.568,0.333,0.409,0.106,0.149,0.463,0.25,0.463,0.301,5.0,0.2177081,8.138,2.98,1.017,0.577147,3.02268749,59.544636,109.948341,122.005898
41,6.154901959985743,47.214,16.417,8.055,0.659,0.143,0.059,0.538,0.357,0.577,0.211,0.247,0.512,0.274,0.318,0.272,1.0,0.264067,8.62,5.123,1.043,0.519636,5.22638329,60.070045,144.089432,158.31723
42,5.508638306165727,27.468,10.851,6.698,0.61,0.141,0.03,0.411,0.24,0.198,0.002,0.023,0.375,0.033,0.227,0.079,5.0,0.2315509,7.644,3.606,1.066,0.489936,8.81971931,48.80162,128.028259,133.444412
43,5.522878745280337,41.89,5.831,3.872,0.812,0.141,0.065,0.463,0.443,0.41,0.269,0.359,0.323,0.337,0.324,0.283,6.0,0.3603283,7.642,4.921,1.012,0.509727,2.87563622,102.596313,114.626556,138.592361
44,6.102372908709558,151.095,14.53,1.684,0.903,0.142,0.195,0.496,0.429,0.362,0.293,0.255,0.349,0.614,0.373,0.316,4.0,0.1355906,7.797,3.675,1.055,0.513182,6.37026211,55.776283,147.634933,169.589554
45,6.721246399047171,101.756,18.206,3.466,0.824,0.142,0.081,0.494,0.434,0.406,0.458,0.41,0.44,0.565,0.336,0.33,4.0,0.2300162,9.466,3.672,1.06,0.572495,7.1824158,67.505096,139.748108,134.868576
46,8.102372908709558,458.019,19.798,2.055,0.954,0.144,0.825,0.336,0.433,0.336,0.313,0.296,0.393,0.35,0.531,0.511,3.0,0.2172451,8.303,4.434,1.06,0.566107,3.9603289,66.144424,177.213715,111.261452
47,5.040958607678906,431.468,146.841,1.952,0.744,0.153,0.523,0.683,0.43,0.831,0.162,0.236,0.595,0.27,0.545,0.426,5.0,0.2331158,6.703,4.296,1.049,0.542654,3.75482316,64.451355,118.000534,79.711655
