mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,16.481,3.366,2.675,0.732,0.148,0.59,0.398,0.436,0.424,0.154,0.342,0.245,0.512,0.23,0.475,0.417,2.0,0.2896142,7.114,3.627,1.047,0.472501,5.3290841,64.855667,101.554443,77.998421
2,6.045757490560675,22.053,2.573,2.128,0.824,0.149,0.575,0.361,0.386,0.439,0.172,0.265,0.328,0.43,0.269,0.44,0.427,6.0,0.2692686,6.95,4.53,1.04,0.518918,4.65459454,49.703773,104.123688,91.410568
3,6.1938200260161125,284.59,5.529,1.408,0.976,0.149,0.566,0.35,0.333,0.133,0.193,0.206,0.193,0.178,0.268,0.416,0.347,2.0,0.2285853,7.118,2.478,1.037,0.505486,3.21331591,38.541397,104.750961,46.84164
4,5.522878745280337,16.465,8.439,1.167,0.632,0.149,0.548,0.412,0.365,0.244,0.222,0.294,0.225,0.198,0.323,0.441,0.392,5.0,0.2172482,7.729,3.891,1.067,0.510519,5.54578476,50.049103,85.928123,118.770401
5,5.522878745280337,211.224,5.057,2.188,0.967,0.149,0.923,0.42,0.355,0.494,0.153,0.367,0.222,0.591,0.259,0.566,0.502,6.0,0.2528237,7.235,3.728,1.06,0.50801,6.48820138,52.004978,103.509308,56.060768
6,5.522878745280337,30.759,3.681,1.196,0.863,0.145,0.565,0.44,0.331,0.24,0.235,0.297,0.213,0.347,0.247,0.445,0.31,8.0,0.2063909,7.401,4.496,1.041,0.557539,6.60720111,93.620453,117.730339,86.762115
7,5.552841968657781,417.974,174.741,6.922,0.697,0.152,0.633,0.379,0.412,0.357,0.28,0.415,0.306,0.266,0.379,0.475,0.403,7.0,0.1700112,6.842,3.29,1.038,0.501295,2.90613273,55.240074,71.052109,40.866035
9,5.619788758288394,222.115,8.346,1.54,0.957,0.148,0.81,0.498,0.472,0.479,0.172,0.415,0.252,0.407,0.321,0.593,0.549,5.0,0.238601,7.494,3.291,1.055,0.554244,4.47047498,61.072144,111.957932,59.898293
10,5.180456064458132,210.902,3.962,1.538,0.975,0.149,0.821,0.416,0.405,0.306,0.19,0.351,0.221,0.394,0.384,0.547,0.463,5.0,0.1886944,6.565,4.63,1.044,0.496815,2.44902353,48.837719,88.931374,82.715988
11,6.3979400086720375,415.472,222.236,3.251,0.648,0.15,0.749,0.506,0.342,0.385,0.389,0.367,0.299,0.576,0.465,0.532,0.534,5.0,0.297929,5.762,2.947,1.047,0.371329,2.65611154,52.206619,101.839813,40.295883
