mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,32.828,12.905,1.609,0.693,0.148,0.163,0.082,0.389,0.003,0.033,0.011,0.156,0.011,0.197,0.211,0.184,4.0,0.1043337,7.254,3.458,1.04,0.580051,6.19229355,70.82122,108.970627,49.146549
2,6.045757490560675,198.363,3.799,1.593,0.974,0.149,0.887,0.33,0.478,0.193,0.366,0.199,0.329,0.181,0.357,0.565,0.48,6.0,0.2025644,6.726,4.497,1.035,0.532915,4.09056248,55.234882,125.680725,84.32737
3,6.1938200260161125,173.644,13.546,1.92,0.918,0.149,0.181,0.444,0.407,0.868,0.224,0.508,0.255,1.238,0.348,0.344,0.389,2.0,0.1425797,6.769,2.545,1.042,0.512515,5.9031184,59.459751,95.903526,62.275513
4,5.522878745280337,174.827,6.783,1.6,0.954,0.149,0.483,0.509,0.383,0.235,0.237,0.315,0.248,0.294,0.244,0.458,0.351,6.0,0.3004991,7.105,3.961,1.062,0.526737,3.69265069,68.575821,82.421951,62.632927
5,5.522878745280337,22.6,3.104,1.343,0.836,0.149,0.557,0.529,0.43,0.25,0.199,0.328,0.272,0.26,0.353,0.505,0.389,7.0,0.2204869,7.023,3.827,1.064,0.530598,5.14215275,48.015732,75.241287,100.500938
6,5.522878745280337,179.142,126.132,2.271,0.582,0.145,0.398,0.306,0.399,0.458,0.255,0.448,0.299,0.526,0.338,0.368,0.383,5.0,0.2529123,7.4,4.631,1.046,0.551075,3.21023817,53.780266,105.466614,80.740639
7,5.552841968657781,18.05,3.624,1.732,0.771,0.152,0.552,0.361,0.445,0.239,0.243,0.228,0.305,0.294,0.254,0.452,0.381,7.0,0.1790966,6.544,3.358,1.035,0.480895,7.16410766,55.276783,88.626381,62.274128
9,5.619788758288394,22.805,4.751,1.219,0.793,0.148,0.549,0.406,0.383,0.137,0.227,0.235,0.252,0.2,0.279,0.446,0.368,3.0,0.1377072,7.141,3.728,1.047,0.54279,3.55209552,61.129692,152.888458,47.842796
10,5.180456064458132,43.846,13.903,1.739,0.737,0.149,0.071,0.433,0.456,0.007,0.242,0.064,0.28,0.177,0.321,0.32,0.098,8.0,0.1789206,7.174,4.261,1.053,0.466088,4.45203858,62.235069,147.537979,71.23674
11,6.3979400086720375,222.808,16.322,1.302,0.927,0.15,0.261,0.483,0.415,0.605,0.178,0.456,0.239,0.851,0.249,0.386,0.325,4.0,0.2879857,6.837,3.08,1.048,0.474249,6.67348765,65.698372,116.832466,71.639664
12,5.6020599913279625,38.916,1.935,1.715,0.914,0.147,0.598,0.462,0.348,0.203,0.17,0.274,0.243,0.349,0.216,0.469,0.317,5.0,0.2448179,7.459,4.238,1.041,0.622749,4.49019154,69.79512,107.402451,84.213379
13,5.0,35.045,2.575,0.745,0.913,0.151,0.574,0.487,0.367,0.29,0.116,0.322,0.164,0.406,0.267,0.476,0.285,7.0,0.1997697,6.692,4.071,1.031,0.572946,3.22232662,48.681633,127.90741,91.505577
14,5.102372908709558,313.963,9.353,7.138,0.95,0.148,0.973,0.547,0.459,0.523,0.592,0.484,0.464,0.804,0.445,0.659,0.705,6.0,0.2961561,6.715,5.073,1.02,0.446076,3.07960003,73.517387,152.154816,137.15448
15,5.795880017344075,25.51,3.345,2.287,0.819,0.149,0.605,0.514,0.396,0.3,0.213,0.348,0.274,0.412,0.293,0.505,0.329,7.0,0.277551,6.572,4.104,1.024,0.513743,2.69157422,61.391361,128.702332,65.600174
