mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,20.663,3.369,1.424,0.812,0.148,0.587,0.457,0.354,0.271,0.102,0.319,0.174,0.324,0.183,0.466,0.358,3,0.2844257,7.151,3.56,1.039,0.50768,2.78798408,60.619949,115.147003,52.788963
2,6.045757490560675,62.039,11.815,2.219,0.816,0.149,0.095,0.525,0.444,0.55,0.25,0.486,0.27,0.715,0.291,0.355,0.366,6,0.186332,6.788,4.129,1.038,0.543113,6.24879639,48.146111,138.303635,79.742172
3,6.1938200260161125,282.717,10.301,1.394,0.96,0.149,0.967,0.454,0.388,0.64,0.237,0.464,0.24,0.982,0.361,0.603,0.641,3,0.2434484,6.561,2.679,1.045,0.433195,6.04723887,60.070866,93.804367,55.670322
4,5.522878745280337,26.69,2.485,1.29,0.876,0.149,0.527,0.411,0.404,0.2,0.159,0.25,0.213,0.247,0.278,0.447,0.338,4,0.268873,6.848,4.096,1.061,0.563278,5.05538422,55.386471,94.719986,62.643478
5,5.522878745280337,25.23,13.323,2.53,0.614,0.149,0.082,0.188,0.44,0.003,0.016,0.013,0.191,0.012,0.219,0.237,0.198,4,0.2503207,7.185,3.759,1.064,0.51115,7.30879549,74.3228,121.01297,77.733459
6,5.522878745280337,534.028,286.183,79.924,0.593,0.145,0.861,0.727,0.201,0.771,0.302,0.663,0.202,0.63,0.17,0.597,0.649,6,0.229394,7.852,4.43,1.044,0.559772,4.58847353,51.455891,112.876167,100.151398
7,5.552841968657781,243.548,20.861,2.324,0.913,0.152,0.665,0.497,0.383,0.739,0.205,0.498,0.236,0.974,0.23,0.515,0.537,7,0.2515275,6.625,3.391,1.039,0.525679,5.07475763,38.92963,86.014603,84.748169
9,5.619788758288394,458.91,141.73,7.491,0.755,0.148,0.499,0.238,0.401,0.118,0.394,0.164,0.4,0.122,0.5,0.38,0.308,6,0.227108,7.362,3.46,1.046,0.542328,4.99924611,42.380795,77.564728,61.760834
10,5.180456064458132,25.636,2.375,1.584,0.866,0.149,0.547,0.461,0.36,0.253,0.092,0.292,0.172,0.283,0.202,0.456,0.273,6,0.2434448,6.838,4.564,1.049,0.514335,5.30835935,61.119835,103.42112,88.743492
11,6.3979400086720375,17.277,3.34,1.028,0.798,0.15,0.529,0.447,0.367,0.262,0.152,0.305,0.195,0.348,0.236,0.448,0.367,3,0.2607646,6.319,2.88,1.05,0.468406,6.80857285,45.439117,109.243942,82.262878
12,5.6020599913279625,292.217,135.98,13.048,0.662,0.147,0.736,0.341,0.447,0.172,0.296,0.242,0.394,0.174,0.31,0.508,0.412,4,0.175432,7.425,4.003,1.044,0.539531,4.94170708,74.606606,152.016129,103.231682
13,5.0,109.138,9.151,1.779,0.909,0.151,0.084,0.47,0.412,0.288,0.271,0.351,0.283,0.317,0.343,0.322,0.205,6,0.2700271,6.807,3.901,1.028,0.44578,1.24493241,35.047634,83.156342,116.637527
14,5.102372908709558,15.903,5.652,1.221,0.698,0.148,0.456,0.482,0.409,0.367,0.18,0.381,0.227,0.352,0.3,0.449,0.431,8,0.2374218,6.653,5.142,1.021,0.506353,1.47997795,60.330307,116.723633,123.695251
15,5.795880017344075,8.016,6.353,1.838,0.495,0.149,0.526,0.401,0.392,0.398,0.122,0.379,0.195,0.506,0.217,0.44,0.383,4,0.3845436,6.237,3.968,1.023,0.388909,1.91906702,59.550575,135.957611,80.97757
16,5.102372908709558,8.288,6.111,1.517,0.521,0.151,0.532,0.493,0.438,0.557,0.11,0.434,0.205,0.503,0.23,0.488,0.423,6,0.3695041,6.021,3.968,1.027,0.399267,1.79498933,50.451416,83.162064,79.13768
17,6.795880017344075,318.421,23.807,11.735,0.9,0.151,0.359,0.03,0.479,0.421,0.002,0.009,0.296,0.029,0.045,0.289,0.224,7,0.3615246,6.92,4.069,1.037,0.465463,3.94871914,61.488998,113.272118,72.821342
18,7.0,74.987,10.424,4.249,0.836,0.149,0.045,0.497,0.332,0.211,0.118,0.428,0.331,0.427,0.347,0.291,0.11,5,0.4290872,6.469,4.036,1.039,0.415909,3.23077894,48.598164,132.105194,105.810608
19,5.6020599913279625,421.928,11.194,3.276,0.967,0.149,0.573,0.318,0.387,0.228,0.163,0.23,0.21,0.338,0.262,0.426,0.325,8,0.1989297,7.292,3.969,1.023,0.542181,4.85702163,33.058041,104.177032,105.120407
20,6.301029995663981,24.647,3.232,1.401,0.842,0.151,0.549,0.473,0.351,0.483,0.188,0.385,0.204,0.555,0.274,0.458,0.435,9,0.2290337,7.281,3.968,1.027,0.540712,6.85975154,45.454689,75.47776,91.434807
21,6.301029995663981,22.954,4.874,2.494,0.757,0.149,0.572,0.457,0.529,0.508,0.14,0.416,0.274,0.447,0.236,0.52,0.445,8,0.2483695,7.382,4.173,1.03,0.555943,2.28950117,72.230515,138.641113,89.504539
22,5.102372908709558,15.534,8.727,1.475,0.604,0.145,0.596,0.505,0.376,0.471,0.181,0.444,0.213,0.52,0.272,0.492,0.373,5,0.3980907,7.598,3.968,1.021,0.468013,3.72158941,68.013702,124.086067,116.685616
24,5.795880017344075,206.991,5.672,1.946,0.965,0.149,0.773,0.5,0.334,0.403,0.133,0.404,0.182,0.48,0.252,0.536,0.463,5,0.3085343,6.507,4.103,1.025,0.429249,5.52646529,62.316673,122.488014,83.510422
25,6.301029995663981,325.114,123.945,5.033,0.716,0.147,0.495,0.235,0.262,0.126,0.208,0.17,0.189,0.098,0.322,0.331,0.247,7,0.2775329,8.116,4.203,1.034,0.548159,2.36854718,56.65889,111.978714,92.186874
26,5.3979400086720375,52.52,22.415,2.011,0.683,0.149,0.075,0.495,0.414,0.004,0.227,0.064,0.265,0.137,0.329,0.328,0.278,5,0.1568544,7.385,4.071,1.034,0.548902,3.69955233,50.266708,73.590553,79.168411
27,6.102372908709558,189.751,8.583,1.012,0.952,0.151,0.279,0.482,0.402,0.372,0.131,0.417,0.208,0.541,0.314,0.388,0.367,6,0.1927111,7.299,4.137,1.035,0.60393,5.94514475,25.439571,103.076111,108.973656
