mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
27,6.102372908709558,261.078,13.273,1.593,0.946,0.151,0.512,0.539,0.377,0.393,0.168,0.568,0.214,0.605,0.266,0.476,0.386,0.414,5.0,0.2199246,7.22,4.0,1.035,0.485966,5.80941952,77.122421,104.467484,71.046539
28,5.301029995663981,184.344,5.303,2.311,0.96,0.154,0.877,0.402,0.403,0.249,0.286,0.285,0.347,0.292,0.391,0.561,0.529,0.569,4.0,0.230612,7.881,4.003,1.018,0.576942,5.1603264,81.754532,121.31971,100.421776
29,5.520856752021387,275.296,33.519,2.332,0.885,0.145,0.952,0.143,0.399,0.039,0.148,0.06,0.23,0.084,0.25,0.498,0.395,0.435,4.0,0.1995272,7.889,4.3,1.021,0.618165,4.73203251,64.725815,164.897034,87.631081
30,7.031517051446065,123.005,38.836,6.562,0.73,0.14,0.127,0.041,0.322,0.595,0.204,0.097,0.288,0.112,0.221,0.163,0.372,0.245,4.0,0.3819315,9.764,3.866,1.124,0.600811,12.2439686,102.09758,160.181412,138.826263
31,6.366531544420414,101.768,13.944,7.556,0.826,0.138,0.127,0.39,0.377,0.576,0.412,0.397,0.389,0.771,0.477,0.298,0.346,0.436,10.0,0.2443688,9.212,5.128,1.092,0.607799,8.87570427,89.900253,1059.016968,184.139755
32,6.0,169.817,16.327,3.267,0.897,0.139,0.286,0.472,0.457,0.423,0.472,0.443,0.371,0.585,0.454,0.405,0.408,0.452,4.0,0.3766721,8.504,5.496,1.075,0.49269,3.24224742,92.420753,1083.989014,217.278168
33,6.0,21.475,5.117,3.531,0.713,0.142,0.52,0.366,0.42,0.319,0.308,0.33,0.304,0.344,0.38,0.436,0.415,0.502,8.0,0.2887352,8.577,4.959,1.05,0.550987,4.05169662,123.871613,1076.734375,227.17453
34,7.721246399047171,28.378,12.088,3.139,0.651,0.14,0.36,0.027,0.463,0.207,0.411,0.024,0.4,0.811,0.527,0.283,0.314,0.551,5.0,0.5665186,8.421,3.396,1.152,0.602224,9.63244242,88.009262,114.898857,170.076508
35,6.795880017344075,15.5,4.845,3.43,0.652,0.138,0.47,0.453,0.463,0.356,0.296,0.337,0.325,0.406,0.378,0.462,0.471,0.563,3.0,0.4964101,8.219,4.852,1.056,0.51977,7.15754157,99.278702,142.801498,216.858154
36,6.0,61.097,12.164,2.359,0.808,0.14,0.088,0.333,0.351,0.3,0.16,0.313,0.205,0.346,0.22,0.257,0.179,0.22,3.0,0.2094125,9.116,5.089,1.022,0.635119,4.17069668,77.189659,252.944305,168.518845
38,5.2441251443275085,60.329,47.083,2.865,0.547,0.147,0.066,0.105,0.459,0.003,0.148,0.015,0.355,0.035,0.47,0.21,0.094,0.196,3.0,0.2413478,7.635,3.047,1.021,0.518083,3.6379864,65.544952,116.669159,119.544083
39,6.3979400086720375,28.461,4.519,1.189,0.833,0.147,0.604,0.343,0.377,1.508,0.136,0.423,0.2,0.368,0.306,0.441,0.808,0.403,4.0,0.1678211,8.345,2.947,1.022,0.622045,4.12873013,101.364319,90.552704,133.311966
40,5.698970004336019,452.33,108.96,3.025,0.802,0.144,0.505,0.395,0.455,0.484,0.398,0.496,0.351,0.463,0.396,0.452,0.435,0.442,2.0,0.2655696,7.414,3.013,1.018,0.53301,3.69364164,54.700592,74.019005,123.448334
41,6.154901959985743,28.113,8.186,1.083,0.752,0.143,0.566,0.33,0.392,0.22,0.145,0.236,0.211,0.279,0.249,0.429,0.295,0.352,4.0,0.1043494,8.186,5.19,1.044,0.579264,7.13918459,83.999786,119.847679,136.534119
42,5.508638306165727,313.585,110.294,68.944,0.636,0.141,0.63,0.155,0.138,0.033,0.076,0.067,0.107,0.062,0.091,0.308,0.208,0.211,4.0,0.2258608,7.926,3.505,1.066,0.494735,8.09519453,68.111603,181.168045,137.70636
43,5.522878745280337,102.542,8.49,5.048,0.883,0.14,0.11,0.38,0.537,0.336,0.273,0.33,0.353,0.385,0.358,0.342,0.224,0.268,8.0,0.5204113,7.257,4.848,1.012,0.397119,3.31198985,75.259354,112.69603,119.9142
44,6.102372908709558,233.826,15.903,1.312,0.931,0.142,0.377,0.405,0.419,0.547,0.265,0.437,0.265,0.713,0.298,0.4,0.345,0.409,3.0,0.2176506,7.838,3.776,1.054,0.521761,5.19561938,80.034706,118.076073,177.154709
45,6.721246399047171,269.509,18.526,2.457,0.928,0.142,0.899,0.47,0.405,0.376,0.199,0.409,0.222,0.533,0.26,0.591,0.475,0.578,5.0,0.3696392,8.351,3.606,1.059,0.538403,5.76012244,72.619476,127.386551,111.150352
46,8.102372908709558,10.327,6.339,3.855,0.503,0.144,0.39,0.347,0.349,0.371,0.223,0.313,0.254,0.357,0.265,0.362,0.32,0.322,4.0,0.4618321,7.645,4.381,1.059,0.428422,6.39711123,68.739471,161.149216,91.625244
47,5.040958607678906,278.239,12.581,2.355,0.949,0.153,0.291,0.434,0.451,0.479,0.165,0.412,0.238,0.822,0.233,0.392,0.378,0.414,6.0,0.2201279,7.094,4.162,1.048,0.552912,4.51506665,71.160454,51.816032,87.727875
48,5.42021640338319,161.965,7.895,2.507,0.94,0.147,0.364,0.37,0.341,0.276,0.203,0.336,0.248,0.345,0.32,0.359,0.273,0.343,5.0,0.2745053,6.986,3.811,1.015,0.434575,3.08596149,49.757038,98.360382,82.708565
49,5.580044251510242,184.405,4.424,1.895,0.967,0.151,0.856,0.361,0.489,0.289,0.27,0.317,0.304,0.334,0.437,0.569,0.481,0.542,7.0,0.2066291,6.929,4.03,1.03,0.572209,4.53451323,46.294701,77.854111,106.420845
50,8.522878745280337,23.695,7.507,1.311,0.729,0.145,0.538,0.457,0.265,0.263,0.182,0.305,0.184,0.325,0.263,0.42,0.347,0.419,4.0,0.1742259,7.793,4.757,1.075,0.560155,5.26035593,72.884979,120.774155,87.445862
51,5.329754146925876,25.564,3.393,1.536,0.838,0.149,0.644,0.482,0.418,0.298,0.228,0.344,0.255,0.408,0.35,0.515,0.383,0.458,5.0,0.2473498,7.216,3.918,1.014,0.531997,4.41145793,73.721077,117.83699,119.912071
52,6.8297382846050425,30.481,3.84,1.9,0.842,0.144,0.445,0.37,0.459,0.174,0.267,0.214,0.326,0.233,0.323,0.425,0.319,0.372,5.0,0.177032,8.348,4.333,1.04,0.606399,5.50929555,78.919373,153.459808,96.459595
53,6.1938200260161125,184.971,149.684,6.281,0.543,0.143,0.44,0.21,0.411,0.572,0.239,0.119,0.324,0.425,0.303,0.353,0.4,0.388,4.0,0.2738757,8.47,4.669,1.042,0.632211,5.334849,91.615265,158.441223,116.532913
55,5.978810700930062,33.803,3.398,1.096,0.883,0.151,0.6,0.509,0.303,0.277,0.106,0.347,0.139,0.387,0.256,0.471,0.306,0.404,5.0,0.2103793,7.337,3.918,1.022,0.59116,5.01723794,50.419064,110.613831,91.872742
56,5.510041520575165,170.765,90.676,4.493,0.642,0.148,0.259,0.218,0.434,0.048,0.246,0.118,0.34,0.091,0.325,0.304,0.279,0.268,6.0,0.1291073,7.251,4.875,1.018,0.609462,1.09014878,32.153496,114.061478,84.078789
57,7.886056647693163,60.329,18.329,4.596,0.725,0.143,0.045,0.46,0.461,0.002,0.084,0.026,0.313,0.069,0.345,0.322,0.053,0.148,5.0,0.2477241,7.395,4.801,1.047,0.549043,3.82283334,57.305443,180.535477,105.100838
58,6.764471553092451,183.525,118.617,3.525,0.6,0.14,0.168,0.228,0.509,0.236,0.287,0.184,0.362,0.148,0.423,0.302,0.217,0.252,7.0,0.276975,8.816,5.204,1.049,0.628439,6.24247695,59.324631,147.24234,118.404053
59,5.441291429466834,401.191,197.227,1.483,0.669,0.149,0.623,0.375,0.372,0.494,0.168,0.466,0.212,0.503,0.248,0.457,0.402,0.434,8.0,0.2093789,6.965,4.955,1.045,0.517686,1.27388049,63.006256,113.132248,111.753685
60,5.429457060118103,79.926,3.835,1.047,0.942,0.151,0.171,0.417,0.395,0.198,0.123,0.31,0.257,0.371,0.316,0.328,0.668,0.396,2.0,0.2309103,6.787,1.406,1.012,0.528346,2.51516762,18.46121,130.808167,52.686066
61,6.3979400086720375,29.007,4.235,1.86,0.826,0.141,0.476,0.462,0.343,0.215,0.126,0.283,0.195,0.282,0.225,0.427,0.288,0.362,6.0,0.3091331,8.282,4.433,1.042,0.586232,7.55644438,73.31002,169.164612,92.396957
