mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,5.823908740944319,261.976,14.686,3.424,0.935,0.148,0.869,0.358,0.496,0.409,0.352,0.291,0.348,0.762,0.312,0.574,0.579,3.0,0.279743,6.784,3.29,1.037,0.502414,2.41015962,63.347626,147.7966,48.343258
2,6.045757490560675,94.152,14.965,2.832,0.841,0.149,0.132,0.534,0.421,0.569,0.145,0.498,0.234,0.811,0.219,0.363,0.29,7.0,0.1946839,7.124,4.529,1.038,0.545787,3.28547209,60.849007,79.573471,91.342529
3,6.1938200260161125,16.379,4.513,2.165,0.71,0.149,0.497,0.449,0.498,0.249,0.164,0.325,0.265,0.254,0.25,0.481,0.385,2.0,0.2093853,6.797,2.478,1.04,0.490315,5.27348811,49.307472,131.401505,50.720718
4,5.522878745280337,24.773,2.767,1.075,0.866,0.149,0.543,0.45,0.403,0.217,0.248,0.278,0.246,0.293,0.312,0.465,0.375,7.0,0.2799423,7.282,4.15,1.067,0.544212,6.19489122,44.909496,100.863739,88.203545
5,5.522878745280337,25.207,2.393,1.508,0.866,0.149,0.563,0.475,0.324,0.318,0.151,0.32,0.185,0.305,0.259,0.454,0.366,4.0,0.1696645,6.984,3.961,1.067,0.535464,5.96642418,41.6129,89.685356,65.273804
6,5.522878745280337,186.117,66.164,2.492,0.731,0.145,0.735,0.044,0.458,0.002,0.187,0.009,0.333,0.015,0.437,0.412,0.322,8.0,0.2731796,7.59,4.429,1.043,0.514724,5.57634972,42.474194,93.282242,110.062981
7,5.552841968657781,194.563,44.405,3.892,0.801,0.152,0.746,0.059,0.508,0.001,0.477,0.01,0.404,0.013,0.552,0.438,0.365,3.0,0.204323,6.48,3.425,1.035,0.524957,3.04014542,69.55632,98.399109,62.369713
9,5.619788758288394,376.22,23.304,2.727,0.935,0.148,0.814,0.031,0.373,0.007,0.008,0.01,0.129,0.014,0.091,0.406,0.328,5.0,0.2911082,7.199,3.428,1.052,0.519123,5.05874473,66.57695,106.527184,70.350418
10,5.180456064458132,24.81,2.899,1.297,0.855,0.149,0.579,0.545,0.451,0.282,0.232,0.335,0.293,0.345,0.314,0.525,0.332,5.0,0.1910988,6.703,4.53,1.049,0.505414,5.95369073,61.528542,77.46489,55.395515
11,6.3979400086720375,8.588,7.575,1.438,0.488,0.15,0.536,0.565,0.481,0.271,0.175,0.374,0.261,0.284,0.311,0.527,0.328,4.0,0.2971413,6.55,3.147,1.047,0.400128,3.75842249,81.021637,104.379738,84.342865
12,5.6020599913279625,158.435,12.538,3.7,0.907,0.147,0.113,0.554,0.348,0.709,0.168,0.554,0.257,0.693,0.225,0.338,0.373,5.0,0.3120424,7.325,4.372,1.041,0.514312,5.35091425,57.825291,154.655823,113.259407
13,5.0,15.253,5.548,1.616,0.68,0.151,0.627,0.524,0.407,0.362,0.124,0.41,0.205,0.45,0.227,0.519,0.347,6.0,0.2980733,6.972,4.071,1.036,0.442794,6.03180032,40.158569,109.463013,84.888817
14,5.102372908709558,114.599,16.49,1.583,0.864,0.148,0.115,0.585,0.3,0.22,0.117,0.511,0.172,0.394,0.15,0.333,0.127,5.0,0.287733,7.373,5.041,1.021,0.629172,0.880968836,62.425392,100.516853,128.917908
15,5.795880017344075,335.102,71.884,3.94,0.815,0.149,0.669,0.183,0.391,0.227,0.148,0.17,0.232,0.292,0.236,0.414,0.369,6.0,0.22842,7.312,4.138,1.026,0.51277,6.40434303,66.026657,91.840294,68.741104
16,5.102372908709558,199.698,23.264,3.001,0.884,0.151,0.673,0.032,0.459,0.004,0.023,0.009,0.271,0.012,0.349,0.388,0.187,6.0,0.3147699,7.295,4.035,1.042,0.473118,2.02891934,84.700928,95.802956,71.703323
17,6.795880017344075,10.494,6.028,1.322,0.588,0.151,0.476,0.484,0.44,0.342,0.353,0.366,0.276,0.394,0.486,0.467,0.422,5.0,0.4112626,6.494,3.869,1.033,0.418497,4.72519879,51.359901,105.724785,80.065659
18,7.0,26.708,5.2,1.198,0.807,0.149,0.542,0.521,0.198,0.216,0.113,0.337,0.116,0.308,0.203,0.42,0.341,6.0,0.2581629,7.932,4.103,1.027,0.574629,5.54463377,55.462875,79.551033,87.083916
19,5.6020599913279625,13.697,5.906,1.352,0.654,0.149,0.487,0.464,0.417,0.386,0.222,0.382,0.25,0.427,0.33,0.456,0.345,5.0,0.323507,6.786,4.002,1.02,0.430766,3.86291656,54.796623,95.44117,92.690796
20,6.301029995663981,48.365,14.398,2.428,0.742,0.151,0.142,0.221,0.357,0.252,0.118,0.097,0.208,0.03,0.174,0.24,0.178,4.0,0.239907,7.242,4.035,1.024,0.625392,4.6135528,41.236656,115.371658,70.853119
