mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
28,5.301029995663981,119.836,12.706,2.581,0.887,0.144,0.242,0.536,0.446,0.373,0.26,0.446,0.287,0.424,0.413,0.408,0.279,6.0,0.3965165,8.075,4.07,1.015,0.464836,3.19979861,83.12043,170.540344,95.078552
29,5.520856752021387,8.139,6.098,3.368,0.462,0.144,0.487,0.395,0.389,0.306,0.226,0.352,0.264,0.376,0.341,0.424,0.288,2.0,0.4722953,6.595,3.729,1.022,0.379424,4.54004762,70.530502,133.65509,68.064331
30,7.031517051446065,120.805,26.171,3.858,0.801,0.14,0.144,0.033,0.38,0.014,0.008,0.015,0.067,0.013,0.168,0.186,0.084,5.0,0.254763,8.501,3.899,1.122,0.580916,10.3093538,65.400589,153.50444,143.128983
31,6.366531544420414,9.945,8.191,2.41,0.484,0.138,0.456,0.482,0.447,0.386,0.239,0.391,0.318,0.348,0.248,0.462,0.423,5.0,0.2794259,7.574,5.16,1.087,0.463882,7.79334168,107.796745,1045.78064,245.842026
32,6.0,158.114,11.017,2.642,0.92,0.139,0.361,0.328,0.35,0.582,0.151,0.405,0.244,0.439,0.294,0.346,0.345,6.0,0.2618152,9.694,5.359,1.073,0.592023,6.02408445,99.580818,1030.495728,213.340439
33,6.0,389.025,11.896,2.527,0.964,0.138,0.951,0.327,0.325,0.212,0.268,0.25,0.267,0.167,0.346,0.534,0.474,6.0,0.2605814,8.5,5.195,1.055,0.618801,4.05350575,103.820297,1046.031738,238.16629
34,7.721246399047171,208.222,13.032,3.306,0.927,0.139,0.718,0.616,0.401,0.717,0.434,0.589,0.322,0.798,0.638,0.578,0.6,5.0,0.3875224,9.09,3.463,1.153,0.559011,10.702439,68.053131,99.327484,170.274582
35,6.795880017344075,17.007,8.98,3.035,0.586,0.138,0.493,0.294,0.344,0.314,0.537,0.331,0.319,0.226,0.74,0.377,0.528,3.0,0.4176279,9.105,5.39,1.049,0.574122,3.12591146,96.044731,175.468307,213.950684
36,6.0,458.684,154.295,1.273,0.747,0.141,0.644,0.251,0.465,0.238,0.208,0.262,0.265,0.284,0.393,0.453,0.382,7.0,0.1970573,9.155,5.19,1.022,0.647342,3.95326805,294.062927,419.34671,149.709564
38,5.2441251443275085,354.169,4.284,1.904,0.983,0.147,0.767,0.401,0.444,0.242,0.119,0.302,0.215,0.369,0.222,0.538,0.388,2.0,0.2164722,7.301,3.047,1.025,0.524751,1.12807095,63.170975,98.195435,148.510605
39,6.3979400086720375,155.014,72.906,8.506,0.656,0.147,0.138,0.103,0.391,0.035,0.168,0.056,0.418,0.046,0.429,0.211,0.169,3.0,0.435081,7.244,2.98,1.02,0.479557,1.1768238,55.302483,98.69265,152.596588
