mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,9.86,374.727,6.279,1.317,0.98,0.163,0.693,0.409,0.17,0.527,0.673,0.033,0.47,0.066,0.284,0.087,0.424,0.411,3.0,0.1285423,5.647,4.334,1.066,0.440539,4.77657235,36.76202,93.158791,50.90184
2,7.698970004336019,1.93,18.978,7.483,1.432,0.68,0.151,0.544,0.365,0.351,0.702,0.193,0.112,0.244,0.175,0.236,0.177,0.42,0.336,5.0,0.2079514,7.418,3.11,1.043,0.528362,3.40829361,45.964409,162.787964,108.109917
3,8.0,8.9,15.928,8.106,1.188,0.632,0.153,0.494,0.387,0.365,0.626,0.232,0.141,0.263,0.178,0.304,0.264,0.415,0.333,3.0,0.1305123,7.201,2.973,1.04,0.497488,5.96547882,74.519379,152.337662,81.208855
4,8.0,6.83,23.894,6.126,1.331,0.762,0.149,0.5,0.376,0.368,0.358,0.317,0.117,0.303,0.185,0.486,0.2,0.415,0.264,9.0,0.1607175,7.562,4.377,1.036,0.513735,3.97266859,90.004921,172.883026,112.649376
5,7.301029995663981,8.11,18.765,8.302,0.944,0.67,0.151,0.537,0.411,0.37,0.835,0.241,0.247,0.279,0.215,0.356,0.375,0.439,0.441,5.0,0.1176176,7.762,2.905,1.049,0.542031,8.03187297,83.898026,169.612732,72.158478
6,4.721246399047171,9.78,203.575,9.815,1.814,0.946,0.157,0.355,0.474,0.262,0.434,0.344,0.128,0.401,0.168,0.3,0.205,0.364,0.302,4.0,0.2171765,6.172,3.076,1.011,0.419052,2.78658087,46.314911,1005.372009,61.653831
7,4.638272163982407,1.07,247.864,5.289,1.607,0.973,0.157,0.956,0.536,0.361,0.911,0.279,0.254,0.362,0.259,0.361,0.377,0.618,0.481,,,,,,,,,,
8,7.096910013008056,7.13,299.25,7.849,1.254,0.97,0.151,0.372,0.552,0.311,0.223,0.478,0.142,0.505,0.189,0.58,0.191,0.411,0.281,8.0,0.3992221,6.171,3.144,1.07,0.412768,4.2293346,95.993179,152.930908,58.084492
9,7.522878745280337,0.49,16.616,6.268,1.415,0.684,0.153,0.438,0.388,0.399,0.517,0.179,0.12,0.273,0.193,0.232,0.213,0.408,0.272,6.0,0.2164092,6.702,5.044,1.023,0.475568,5.79715523,75.433563,159.551147,46.84108
10,7.0,8.59,13.28,6.721,1.73,0.611,0.151,0.462,0.372,0.361,0.564,0.176,0.289,0.238,0.267,0.222,0.267,0.398,0.343,2.0,0.2813626,6.846,3.178,1.085,0.446919,5.71524724,98.654739,170.021393,101.80619
11,7.522878745280337,7.43,127.469,21.902,1.341,0.846,0.149,0.25,0.479,0.389,0.213,0.359,0.139,0.378,0.203,0.388,0.241,0.373,0.237,4.0,0.1988925,7.239,3.178,1.018,0.503516,2.70335283,80.004974,180.636932,102.207901
12,6.102372908709558,8.37,15.72,7.952,1.289,0.63,0.151,0.415,0.403,0.377,0.281,0.48,0.146,0.35,0.217,0.554,0.216,0.398,0.302,3.0,0.1857929,6.907,4.343,1.048,0.462368,5.81242214,62.636387,154.527115,93.40464
13,5.801342913045577,7.03,60.05,13.544,6.255,0.752,0.151,0.046,0.395,0.463,0.47,0.001,0.062,0.407,0.355,0.487,0.408,0.301,0.178,4.0,0.2198554,6.567,3.042,1.061,0.467003,7.84497479,109.318047,149.921188,97.721298
14,6.200659450546418,0.09,19.332,8.342,1.748,0.657,0.149,0.519,0.355,0.348,0.846,0.219,0.201,0.239,0.221,0.275,0.205,0.407,0.422,7.0,0.1711849,7.928,3.212,1.009,0.565632,4.67740247,55.519051,151.811813,80.667015
15,6.823908740944319,0.67,315.168,10.248,4.304,0.956,0.147,0.782,0.504,0.325,0.788,0.252,0.462,0.335,0.328,0.271,0.665,0.537,0.501,6.0,0.3274316,7.624,2.939,1.026,0.485019,3.91307101,81.101067,175.353485,92.065918
16,7.698970004336019,6.27,286.71,31.147,2.525,0.895,0.153,0.561,0.067,0.402,0.521,0.018,0.154,0.028,0.27,0.035,0.256,0.343,0.231,7.0,0.1714708,6.644,4.479,1.037,0.462896,4.88895927,82.54406,162.175293,96.353973
17,7.838631997765025,6.71,18.062,1.741,0.925,0.871,0.166,0.561,0.439,0.35,0.44,0.202,0.101,0.246,0.178,0.328,0.178,0.45,0.247,4.0,0.1144287,4.92,3.076,1.015,0.417974,2.63728482,69.440002,182.048355,78.608406
18,4.701146923590294,2.87,399.332,29.667,5.752,0.919,0.161,0.796,0.075,0.255,0.721,0.026,0.002,0.036,0.018,0.039,0.063,0.375,0.25,4.0,0.0716552,5.34,3.178,1.02,0.416474,2.868384,50.825699,127.625893,47.415382
19,5.221848749616356,8.67,138.239,3.522,2.141,0.961,0.161,0.363,0.475,0.465,0.271,0.2,0.212,0.286,0.307,0.297,0.463,0.434,0.228,4.0,0.1862984,5.169,3.144,1.014,0.404058,2.90697197,48.952667,121.032616,60.091068
20,8.0,1.37,20.419,2.137,1.303,0.856,0.16,0.579,0.413,0.387,0.498,0.166,0.143,0.225,0.227,0.299,0.22,0.46,0.269,5.0,0.0970496,5.808,3.11,1.02,0.454875,1.85160815,55.317493,114.185768,49.910313
21,7.522878745280337,2.25,46.627,25.815,1.82,0.628,0.156,0.053,0.582,0.435,0.461,0.002,0.184,0.01,0.252,0.047,0.366,0.356,0.215,4.0,0.1103251,6.19,3.876,1.013,0.487607,2.69341641,55.717209,106.248894,42.704033
22,6.920818753952375,4.16,283.897,262.402,4.336,0.516,0.153,0.354,0.813,0.36,0.633,0.224,0.273,0.268,0.271,0.255,0.206,0.509,0.377,3.0,0.2406844,5.478,2.939,1.048,0.393603,4.26490048,60.916393,149.044327,61.618034
