mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,49.699,32.258,11.249,0.533,0.163,0.035,0.052,0.511,0.146,0.001,0.001,0.047,0.017,0.036,0.042,0.2,0.049,5.0,0.1948053,5.502,4.366,1.065,0.431848,5.21816781,47.313133,112.950859,69.265923
2,7.698970004336019,138.31,14.326,2.001,0.894,0.151,0.134,0.526,0.407,0.028,0.755,0.265,0.569,0.31,0.857,0.344,0.356,0.35,3.0,0.201393,6.797,3.042,1.045,0.515448,5.06587913,80.815063,151.732803,78.071793
3,8.0,238.41,98.631,7.823,0.691,0.154,0.88,0.086,0.464,0.886,0.124,0.263,0.071,0.317,0.216,0.33,0.477,0.425,4.0,0.2033154,6.737,2.973,1.042,0.493483,5.32913672,82.224861,173.857239,98.638611
4,8.0,293.102,22.409,1.936,0.923,0.149,0.964,0.526,0.501,1.005,0.395,0.265,0.426,0.321,0.383,0.407,0.664,0.555,5.0,0.1882068,7.522,4.412,1.036,0.514321,5.34819534,88.549156,170.830368,113.421021
5,7.301029995663981,254.449,7.367,3.263,0.96,0.151,0.362,0.348,0.434,0.585,0.178,0.286,0.227,0.342,0.232,0.339,0.381,0.35,4.0,0.108489,7.789,2.939,1.045,0.544574,5.39743586,90.647255,146.481873,76.937195
6,4.721246399047171,14.625,4.795,1.152,0.711,0.157,0.537,0.365,0.347,0.427,0.194,0.087,0.255,0.159,0.252,0.179,0.416,0.236,3.0,0.0480457,5.962,3.144,1.011,0.410222,2.61494324,77.631699,1010.146179,58.897194
8,7.096910013008056,10.105,5.827,2.001,0.564,0.151,0.513,0.478,0.462,0.339,0.499,0.163,0.48,0.262,0.58,0.258,0.485,0.334,8.0,0.4162171,6.297,3.076,1.066,0.387974,6.19927497,68.441612,989.34552,54.571823
9,7.522878745280337,17.315,6.53,1.2,0.691,0.153,0.45,0.378,0.336,0.524,0.185,0.146,0.274,0.183,0.238,0.244,0.388,0.285,7.0,0.1776023,6.944,4.304,1.025,0.48265,3.50598657,89.635788,202.516693,68.392715
10,7.0,14.544,4.431,2.418,0.68,0.151,0.46,0.43,0.35,0.505,0.27,0.259,0.322,0.278,0.359,0.381,0.414,0.345,4.0,0.3090401,7.038,3.042,1.082,0.440539,8.34640873,78.195808,142.317215,75.923599
11,7.522878745280337,23.655,6.98,1.333,0.74,0.149,0.55,0.366,0.399,0.439,0.17,0.147,0.242,0.217,0.244,0.247,0.438,0.252,5.0,0.0838915,7.466,3.144,1.017,0.51679,3.62305562,76.367798,180.388428,91.401871
12,6.102372908709558,67.026,13.639,1.444,0.816,0.151,0.116,0.492,0.352,0.035,0.414,0.241,0.431,0.219,0.509,0.362,0.32,0.23,5.0,0.2176158,7.205,4.276,1.048,0.468119,3.88520794,76.840805,162.757446,104.421982
13,5.801342913045577,363.233,13.409,5.565,0.95,0.151,0.851,0.392,0.397,0.946,0.308,0.209,0.339,0.288,0.301,0.255,0.547,0.488,3.0,0.229754,6.778,3.007,1.057,0.465067,7.99389923,45.100315,167.826385,110.184448
14,6.200659450546418,19.052,6.773,1.572,0.695,0.149,0.441,0.354,0.334,0.576,0.362,0.205,0.298,0.21,0.55,0.23,0.376,0.381,6.0,0.2786232,7.942,3.042,1.072,0.532374,6.70104758,78.446663,156.210846,94.279846
