mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,127.633,11.113,1.958,0.907,0.163,0.107,0.545,0.289,0.044,0.583,0.106,0.579,0.164,0.494,0.2,0.314,0.244,5.0,0.1617544,5.622,4.557,1.063,0.440547,5.8311426,39.245575,87.716415,64.655411
2,7.698970004336019,19.837,7.6,1.109,0.695,0.151,0.54,0.369,0.278,0.666,0.218,0.147,0.252,0.161,0.28,0.221,0.396,0.344,5.0,0.1459211,6.776,3.178,1.042,0.534193,5.81460345,95.321922,149.855225,68.662086
3,8.0,17.433,8.11,0.739,0.663,0.153,0.485,0.379,0.372,0.635,0.197,0.115,0.246,0.174,0.251,0.213,0.412,0.316,3.0,0.0984963,7.22,2.939,1.04,0.512482,2.61717877,70.102364,145.696869,72.746857
4,8.0,23.248,7.695,0.854,0.731,0.149,0.555,0.392,0.394,0.467,0.25,0.118,0.28,0.19,0.34,0.212,0.447,0.278,7.0,0.1344773,7.791,4.378,1.035,0.527429,4.83779351,99.011086,163.155884,85.915276
5,7.301029995663981,298.479,159.974,111.031,0.524,0.151,0.586,0.562,0.14,0.811,0.494,0.198,0.338,0.175,0.493,0.252,0.43,0.501,6.0,0.2373801,8.048,2.973,1.05,0.528325,3.96626934,125.476135,190.205933,85.126541
6,4.721246399047171,114.073,31.304,4.465,0.761,0.157,0.206,0.044,0.438,0.156,0.007,0.127,0.014,0.252,0.019,0.221,0.23,0.096,3.0,0.184852,5.742,3.076,1.011,0.40949,2.34135586,31.768278,1013.347778,62.43116
8,7.096910013008056,10.142,5.416,1.61,0.591,0.151,0.445,0.475,0.227,0.331,0.575,0.081,0.513,0.116,0.645,0.117,0.382,0.329,7.0,0.3661783,6.379,3.144,1.066,0.386419,7.07587989,77.019112,1018.64679,59.243137
9,7.522878745280337,16.359,7.779,0.968,0.652,0.153,0.492,0.381,0.285,0.587,0.163,0.193,0.243,0.171,0.201,0.339,0.386,0.314,3.0,0.1639053,6.944,4.912,1.026,0.48339,4.19722963,64.72525,158.922516,98.257912
10,7.0,226.934,5.499,4.133,0.959,0.151,0.823,0.487,0.365,0.863,0.314,0.166,0.403,0.217,0.349,0.259,0.558,0.448,4.0,0.4050716,7.149,2.939,1.078,0.45019,8.5121112,51.472942,173.102737,91.055687
11,7.522878745280337,144.983,68.004,4.758,0.666,0.149,0.214,0.131,0.319,0.173,0.114,0.224,0.097,0.245,0.095,0.225,0.221,0.17,10.0,0.1162042,7.575,3.11,1.016,0.510422,3.32462174,55.652,182.984482,89.642113
12,6.102372908709558,244.337,13.718,1.489,0.941,0.151,0.935,0.433,0.299,0.921,0.25,0.378,0.321,0.222,0.287,0.608,0.555,0.516,4.0,0.2047462,7.297,4.413,1.046,0.465675,4.58427828,64.227966,163.656311,92.429741
13,5.801342913045577,16.433,5.081,1.385,0.718,0.151,0.426,0.454,0.346,0.364,0.42,0.177,0.375,0.207,0.555,0.273,0.409,0.32,3.0,0.1155158,6.683,3.144,1.052,0.450395,7.90063792,77.550827,160.654572,69.884346
14,6.200659450546418,77.891,12.374,2.435,0.84,0.151,0.139,0.366,0.273,0.46,0.196,0.305,0.294,0.205,0.178,0.519,0.259,0.32,5.0,0.2498442,8.203,3.144,1.067,0.546918,5.18731229,84.709915,192.487823,56.211784
15,6.823908740944319,189.941,20.964,1.669,0.894,0.147,0.428,0.444,0.338,0.53,0.284,0.178,0.339,0.211,0.258,0.266,0.403,0.331,6.0,0.2735195,7.69,3.076,1.042,0.498595,5.69604536,109.374802,181.386185,99.169418
16,7.698970004336019,16.982,6.129,1.538,0.689,0.153,0.449,0.346,0.347,0.286,0.34,0.096,0.293,0.168,0.48,0.177,0.38,0.241,6.0,0.2163573,6.649,4.513,1.036,0.45078,4.45271311,103.969627,215.267029,103.462929
17,7.838631997765025,349.682,5.363,0.864,0.983,0.164,0.719,0.422,0.291,0.685,0.31,0.04,0.291,0.093,0.413,0.101,0.477,0.345,8.0,0.0610128,5.404,3.11,1.014,0.422183,2.90269113,65.783363,176.929565,95.082024
18,4.701146923590294,16.398,2.344,0.951,0.833,0.161,0.543,0.421,0.322,0.464,0.148,0.087,0.217,0.155,0.242,0.164,0.429,0.233,3.0,0.1066277,5.511,3.007,1.02,0.410815,3.70231533,43.042641,110.803429,50.777679
19,5.221848749616356,14.284,2.965,1.237,0.773,0.161,0.569,0.387,0.239,0.538,0.164,0.051,0.236,0.102,0.26,0.091,0.398,0.251,2.0,0.1745871,5.578,3.007,1.014,0.40141,2.2781414,58.297058,124.603058,68.296936
20,8.0,21.474,2.403,0.756,0.872,0.161,0.57,0.503,0.301,0.433,0.207,0.163,0.289,0.196,0.347,0.23,0.458,0.268,3.0,0.1557239,5.962,3.144,1.019,0.453248,2.27412538,42.976326,120.238655,51.296017
21,7.522878745280337,24.872,1.786,1.263,0.891,0.156,0.596,0.45,0.36,0.475,0.192,0.15,0.253,0.2,0.341,0.248,0.469,0.272,7.0,0.0584874,6.213,3.911,1.014,0.479714,2.8111007,78.001366,108.261101,57.428631
22,6.920818753952375,209.836,10.347,1.459,0.947,0.153,0.214,0.499,0.39,0.335,0.342,0.166,0.405,0.233,0.39,0.231,0.368,0.281,3.0,0.2586442,5.898,3.178,1.049,0.384925,4.59098416,83.308746,131.849564,59.901176
23,7.301029995663981,22.946,3.243,0.816,0.85,0.153,0.636,0.378,0.328,0.57,0.191,0.058,0.252,0.128,0.304,0.138,0.447,0.273,3.0,0.1641133,5.808,3.247,1.012,0.479131,2.69809503,64.421097,159.355225,48.067268
24,7.958212681028248,118.124,19.506,1.374,0.85,0.156,0.199,0.456,0.402,0.085,0.473,0.116,0.431,0.208,0.498,0.209,0.352,0.225,8.0,0.1079573,6.512,2.939,1.028,0.491333,4.15249532,59.976864,135.989975,46.7691
25,8.0,133.689,7.744,2.168,0.931,0.164,0.267,0.54,0.48,0.251,0.663,0.255,0.552,0.281,0.801,0.399,0.429,0.39,6.0,0.1855676,5.032,4.344,1.02,0.455047,5.71476465,38.775845,143.674484,33.862755
26,8.0,18.588,1.955,0.848,0.869,0.164,0.551,0.436,0.339,0.879,0.241,0.114,0.245,0.18,0.319,0.19,0.442,0.411,5.0,0.1023103,5.924,3.076,1.016,0.491906,3.17632001,62.876965,116.555321,38.542187
