mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
26,8.0,1.12,403.795,210.275,37.836,0.619,0.164,0.948,0.327,0.174,0.973,0.261,0.002,0.29,0.017,0.199,0.048,0.412,4.0,0.1619377,5.968,3.042,1.012,0.466524,0.637881766,58.656532,109.643463,38.761253
27,8.0,6.93,57.973,6.257,1.3,0.885,0.156,0.14,0.392,0.325,0.168,0.199,0.119,0.262,0.174,0.196,0.217,0.162,3.0,0.2372686,6.198,2.836,1.019,0.470641,3.11855493,33.106251,118.335442,41.917225
28,8.0,3.7,17.438,3.968,0.71,0.789,0.16,0.589,0.528,0.29,0.694,0.372,0.127,0.377,0.162,0.51,0.191,0.398,5.0,0.0893267,5.737,4.61,1.018,0.474418,3.56627427,59.7006,146.406647,68.596657
29,7.301029995663981,7.37,309.307,9.005,1.104,0.968,0.157,0.478,0.395,0.315,0.558,0.22,0.158,0.265,0.197,0.254,0.169,0.312,6.0,0.2488388,6.059,3.471,1.08,0.429355,4.86034975,102.24012,168.860031,51.831718
30,6.721246399047171,7.62,196.894,46.916,10.057,0.776,0.155,0.678,0.027,0.404,0.859,0.046,0.001,0.004,0.291,0.005,0.256,0.302,5.0,0.1720734,6.549,3.402,1.02,0.549368,5.10940486,70.775169,151.708252,64.63868
31,6.102372908709558,8.47,222.536,5.66,2.683,0.964,0.153,0.942,0.434,0.381,0.987,0.408,0.235,0.343,0.301,0.485,0.286,0.543,4.0,0.2550324,6.27,3.505,1.075,0.472755,5.72508623,73.885223,169.291321,50.491272
32,7.0,0.44,28.005,2.263,0.574,0.908,0.156,0.555,0.488,0.359,0.385,0.224,0.141,0.29,0.182,0.374,0.216,0.25,6.0,0.0874026,6.345,3.437,1.022,0.500478,4.32402781,95.712822,192.742172,75.526543
33,7.301029995663981,6.95,201.38,182.995,4.567,0.518,0.156,0.311,0.919,0.335,0.641,0.125,0.194,0.157,0.254,0.053,0.182,0.32,4.0,0.2034374,6.23,4.271,1.01,0.554311,2.78224109,86.626984,141.233795,50.892593
34,7.301029995663981,4.95,20.585,3.581,0.609,0.831,0.159,0.512,0.504,0.401,0.476,0.27,0.118,0.335,0.19,0.382,0.235,0.288,4.0,0.1004255,6.302,4.545,1.013,0.476335,2.17000873,90.990707,160.68219,91.93869
35,7.154901959985743,9.35,21.99,3.408,0.771,0.84,0.158,0.524,0.398,0.236,0.552,0.192,0.059,0.262,0.102,0.31,0.098,0.268,7.0,0.1839372,6.406,4.633,1.011,0.501184,1.87987815,59.757191,131.922531,36.284988
36,6.920818753952375,5.06,28.291,3.645,0.648,0.868,0.153,0.565,0.442,0.255,0.422,0.181,0.079,0.245,0.126,0.273,0.152,0.227,8.0,0.1091175,6.596,4.949,1.012,0.519961,2.69440958,36.916943,115.866798,32.690971
37,6.721246399047171,0.31,26.491,17.221,2.478,0.574,0.155,0.065,0.231,0.433,0.588,0.002,0.19,0.008,0.259,0.008,0.254,0.26,8.0,0.176573,6.685,4.665,1.01,0.508511,3.26687424,57.033749,152.122253,61.327335
38,5.5003129173815966,0.66,32.503,2.626,1.11,0.897,0.152,0.544,0.352,0.212,0.395,0.45,0.097,0.317,0.128,0.541,0.164,0.314,5.0,0.146418,7.252,4.305,1.012,0.551102,0.988976992,53.08606,181.032684,51.715553
39,6.200659450546418,5.28,26.311,2.692,1.076,0.875,0.155,0.555,0.39,0.23,0.561,0.56,0.096,0.312,0.127,0.891,0.153,0.406,3.0,0.1611575,7.236,4.271,1.009,0.540568,1.56121778,62.474651,162.68692,77.291138
40,7.522878745280337,0.36,135.184,6.621,1.257,0.945,0.155,0.609,0.45,0.437,0.714,0.245,0.181,0.321,0.243,0.325,0.258,0.38,9.0,0.0668047,6.625,3.403,1.004,0.494807,4.35425576,57.191887,148.656448,52.490807
41,7.301029995663981,7.04,49.131,12.234,1.703,0.779,0.158,0.058,0.257,0.448,0.15,0.615,0.191,0.199,0.276,0.011,0.313,0.319,7.0,0.1989809,5.781,4.875,1.022,0.52644,2.7531549,43.291908,127.758446,44.342571
42,8.0,1.62,121.042,18.635,1.382,0.858,0.155,0.271,0.455,0.326,0.14,0.582,0.186,0.461,0.215,0.73,0.257,0.303,2.0,0.1605437,6.705,3.11,1.023,0.51832,2.81215864,46.230488,127.389473,93.64196
43,8.0,4.31,19.881,3.954,1.015,0.8,0.156,0.551,0.415,0.354,0.361,0.275,0.173,0.296,0.223,0.38,0.271,0.27,5.0,0.0422704,6.111,4.012,1.048,0.446468,5.90388504,37.191425,146.053131,52.012424
44,6.823908740944319,2.72,27.953,4.539,0.677,0.843,0.153,0.552,0.443,0.287,0.586,0.228,0.218,0.31,0.177,0.285,0.334,0.344,2.0,0.1714537,7.22,4.378,1.02,0.56596,4.53661541,64.536217,132.580734,51.11557
45,6.920818753952375,5.42,36.352,2.838,0.987,0.905,0.151,0.574,0.444,0.21,0.438,0.233,0.079,0.275,0.115,0.336,0.14,0.25,4.0,0.1354325,6.713,3.076,1.01,0.586245,3.24107998,74.542381,132.333755,80.617706
46,8.0,1.23,331.252,40.345,7.834,0.873,0.155,0.274,0.113,0.406,0.184,0.045,0.257,0.068,0.303,0.034,0.254,0.162,3.0,0.1491128,6.37,4.615,1.012,0.435083,3.05683114,72.703957,137.846344,71.201843
47,8.0,1.37,214.324,6.231,1.471,0.965,0.154,0.862,0.456,0.414,0.866,0.269,0.172,0.334,0.225,0.379,0.221,0.436,5.0,0.2722797,6.572,3.007,1.014,0.470868,4.46949017,81.865486,164.89093,66.035049
48,8.0,3.26,107.009,6.474,2.933,0.919,0.155,0.127,0.41,0.463,0.309,0.186,0.252,0.279,0.312,0.266,0.328,0.249,1.0,0.1987786,6.598,3.042,1.021,0.464281,3.23723478,86.009506,139.360504,91.102341
49,8.0,0.49,15.696,6.522,0.697,0.685,0.155,0.496,0.372,0.251,0.557,0.216,0.09,0.266,0.127,0.292,0.147,0.288,7.0,0.1191166,6.288,2.836,1.005,0.46504,3.00204541,75.759491,145.878601,66.224083
50,7.698970004336019,1.65,156.055,9.225,5.567,0.913,0.153,0.214,0.336,0.355,0.347,0.464,0.152,0.328,0.238,0.736,0.258,0.321,7.0,0.249688,6.838,3.076,1.039,0.519098,4.84534921,53.475052,134.676895,63.86758
51,7.698970004336019,9.12,17.09,5.715,1.13,0.714,0.156,0.525,0.333,0.294,0.44,0.259,0.053,0.259,0.115,0.34,0.113,0.251,6.0,0.0738273,6.142,3.247,1.032,0.458496,4.60941802,76.550514,175.395828,97.389465
52,7.698970004336019,5.45,109.015,10.227,1.35,0.904,0.153,0.187,0.395,0.334,0.324,0.309,0.152,0.352,0.197,0.33,0.204,0.262,4.0,0.2530638,7.218,3.076,1.04,0.494042,7.25993868,86.557503,158.150345,84.304558
