mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,222.204,112.003,2.149,0.661,0.163,0.252,0.266,0.544,0.37,0.164,0.328,0.248,0.376,0.216,0.356,0.354,0.287,8.0,0.1170408,5.521,4.366,1.065,0.429564,5.25462453,60.443199,92.112793,91.132484
2,7.698970004336019,249.048,7.317,2.043,0.964,0.151,0.817,0.381,0.335,0.796,0.22,0.164,0.264,0.219,0.279,0.233,0.511,0.393,5.0,0.1276215,7.515,3.11,1.049,0.527167,4.19084087,83.492775,158.220215,76.641968
3,8.0,320.765,17.396,12.586,0.915,0.153,0.23,0.038,0.371,0.133,0.067,0.492,0.057,0.488,0.114,0.157,0.213,0.231,3.0,0.1185864,6.963,2.905,1.039,0.495486,3.14777018,60.930889,148.991104,91.608932
4,8.0,24.059,7.399,1.026,0.741,0.149,0.554,0.359,0.296,0.481,0.212,0.082,0.248,0.135,0.288,0.148,0.403,0.258,5.0,0.1539635,7.796,4.615,1.036,0.535927,4.51353182,109.059769,157.474747,112.435013
5,7.301029995663981,76.767,15.74,6.911,0.772,0.151,0.071,0.455,0.36,0.184,0.648,0.218,0.476,0.254,0.5,0.319,0.295,0.35,6.0,0.144293,7.331,3.007,1.049,0.542564,6.09286709,64.46666,158.682098,77.754944
6,4.721246399047171,332.864,115.884,8.642,0.728,0.157,0.528,0.203,0.416,0.636,0.308,0.192,0.29,0.28,0.264,0.194,0.382,0.379,4.0,0.2065524,5.814,3.042,1.011,0.416804,2.83672007,52.204048,997.386719,64.250298
8,7.096910013008056,93.204,25.933,3.708,0.759,0.151,0.139,0.04,0.407,0.144,0.009,0.005,0.014,0.072,0.017,0.085,0.195,0.053,9.0,0.3827839,6.202,2.905,1.07,0.395331,8.05605431,65.413651,173.629898,70.798065
9,7.522878745280337,223.891,33.685,8.869,0.84,0.153,0.501,0.037,0.24,0.605,0.155,0.073,0.03,0.113,0.443,0.113,0.259,0.278,5.0,0.180968,6.974,4.709,1.023,0.481838,2.92809057,49.659306,140.352386,62.40023
10,7.0,185.484,22.141,10.448,0.851,0.151,0.233,0.042,0.606,0.267,0.192,0.002,0.025,0.032,0.039,0.026,0.293,0.154,3.0,0.2671377,7.345,3.178,1.087,0.455914,4.81770077,87.040138,193.376434,87.901489
11,7.522878745280337,348.298,9.523,1.862,0.968,0.149,0.816,0.492,0.428,0.877,0.365,0.139,0.436,0.219,0.422,0.232,0.578,0.46,8.0,0.239762,7.072,3.212,1.017,0.490679,3.27983042,70.409744,161.036926,98.075439
12,6.102372908709558,59.388,15.559,2.893,0.763,0.151,0.052,0.464,0.302,0.067,0.183,0.129,0.236,0.2,0.268,0.166,0.273,0.126,4.0,0.1344282,6.986,4.241,1.047,0.439541,5.06216506,92.883133,151.603195,90.227226
13,5.801342913045577,72.441,6.733,1.062,0.903,0.151,0.135,0.402,0.317,0.04,0.353,0.225,0.336,0.198,0.452,0.378,0.285,0.206,4.0,0.1660479,7.021,2.905,1.061,0.477815,7.21938801,74.177879,161.950867,79.536865
14,6.200659450546418,18.315,8.744,1.247,0.647,0.149,0.485,0.371,0.309,0.736,0.283,0.154,0.259,0.184,0.423,0.226,0.389,0.391,3.0,0.1816309,7.852,3.144,1.073,0.548242,7.0310229,82.687538,182.811081,86.936172
15,6.823908740944319,136.548,6.379,1.234,0.947,0.147,0.263,0.412,0.352,0.234,0.35,0.229,0.348,0.214,0.417,0.339,0.342,0.271,6.0,0.3030966,7.216,2.905,1.04,0.506395,5.43039028,103.2005,181.451294,104.964218
16,7.698970004336019,112.972,7.594,1.277,0.927,0.153,0.23,0.421,0.376,0.19,0.376,0.199,0.344,0.243,0.504,0.276,0.342,0.255,4.0,0.1600273,6.733,4.241,1.036,0.455745,5.58199589,74.240692,124.695908,83.641731
17,7.838631997765025,33.544,6.704,1.696,0.8,0.164,0.084,0.226,0.501,0.053,0.003,0.015,0.014,0.292,0.02,0.377,0.27,0.024,3.0,0.0603135,5.185,2.871,1.015,0.421371,2.53566874,56.692848,132.944763,56.403503
18,4.701146923590294,13.978,3.222,0.841,0.775,0.161,0.545,0.447,0.374,0.509,0.192,0.088,0.273,0.164,0.299,0.177,0.455,0.263,2.0,0.1391918,5.537,2.939,1.02,0.397139,4.26726325,70.560532,131.442032,55.212269
19,5.221848749616356,14.504,2.625,1.721,0.769,0.161,0.584,0.377,0.35,0.534,0.174,0.085,0.24,0.158,0.268,0.149,0.437,0.264,5.0,0.1438985,5.957,3.178,1.014,0.403476,2.75525154,37.381126,111.381454,66.499916
20,8.0,19.781,2.976,0.816,0.839,0.16,0.57,0.478,0.413,0.471,0.197,0.156,0.291,0.211,0.315,0.231,0.487,0.275,6.0,0.2032143,5.708,3.144,1.019,0.447025,4.89809581,58.129166,139.776077,66.335556
21,7.522878745280337,305.416,105.056,3.994,0.737,0.156,0.62,0.233,0.474,0.883,0.1,0.416,0.15,0.389,0.144,0.535,0.442,0.466,2.0,0.1931248,5.709,3.843,1.014,0.468464,3.38979165,59.362885,141.605698,64.170883
22,6.920818753952375,10.866,5.569,0.85,0.629,0.153,0.553,0.486,0.294,0.454,0.43,0.066,0.428,0.128,0.543,0.152,0.444,0.317,6.0,0.2445952,5.66,2.768,1.042,0.38445,4.5498393,56.859573,129.244354,54.269958
23,7.301029995663981,307.288,87.39,2.783,0.773,0.153,0.69,0.353,0.386,0.808,0.412,0.14,0.373,0.204,0.382,0.257,0.476,0.453,3.0,0.1511363,6.24,3.11,1.012,0.494328,3.18501827,52.493172,136.448593,60.27993
24,7.958212681028248,312.799,165.099,4.548,0.648,0.156,0.487,0.649,0.428,0.462,0.672,0.234,0.694,0.284,0.75,0.287,0.521,0.456,6.0,0.1509313,6.263,3.212,1.025,0.488238,3.42958854,44.58276,147.289047,88.160011
25,8.0,17.385,1.829,1.147,0.854,0.166,0.558,0.407,0.33,0.665,0.185,0.12,0.227,0.185,0.296,0.174,0.432,0.323,2.0,0.2001468,4.966,4.31,1.022,0.454683,3.90236601,62.827812,107.189766,45.137913
26,8.0,216.771,7.873,2.639,0.954,0.164,0.551,0.458,0.427,0.41,0.759,0.212,0.597,0.237,0.493,0.267,0.479,0.46,6.0,0.2048773,6.068,3.076,1.014,0.457761,1.65130504,43.307526,112.885551,29.273787
27,8.0,21.944,2.907,1.129,0.845,0.156,0.575,0.364,0.353,0.477,0.141,0.176,0.194,0.218,0.218,0.29,0.431,0.265,6.0,0.2132181,5.892,3.076,1.02,0.472846,3.22433868,49.005779,127.926567,59.2005
