mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
106,7.638272163982407,12.4,3.935,0.904,0.719,0.167,0.579,0.402,0.284,0.717,0.28,0.049,0.297,0.11,0.274,0.134,0.422,0.349,124.935,6.0,0.1435102,5.257,2.245,1.028,0.414855,3.67504746,48.170677,83.866318,38.99815
107,7.455931955649724,228.843,3.82,2.624,0.973,0.162,0.504,0.407,0.445,0.499,0.451,0.136,0.362,0.244,0.382,0.261,0.452,0.362,4014.212,8.0,0.2056818,6.051,2.177,1.029,0.393757,3.97142394,43.459412,79.90139,57.998131
108,7.698970004336019,223.922,6.029,1.251,0.969,0.162,0.365,0.444,0.323,0.227,0.305,0.075,0.373,0.146,0.354,0.175,0.377,0.203,3557.778,8.0,0.1249091,5.718,3.215,1.029,0.404535,4.8560309,42.037804,117.271744,60.961121
109,6.1938200260161125,49.338,28.936,2.256,0.613,0.163,0.04,0.086,0.534,0.04,0.002,0.009,0.019,0.244,0.026,0.279,0.22,0.017,4905.179,8.0,0.143442,5.803,3.35,1.038,0.42187,3.87532222,76.84874,107.562675,37.963573
110,7.698970004336019,15.708,3.107,1.269,0.782,0.163,0.561,0.358,0.336,0.415,0.29,0.1,0.267,0.156,0.244,0.182,0.418,0.268,154.68,14.0,0.176933,5.261,3.864,1.044,0.40887,4.36189509,58.595009,121.56205,45.332336
112,7.744727494896693,13.999,5.591,1.67,0.658,0.158,0.624,0.448,0.401,0.429,0.371,0.142,0.331,0.217,0.31,0.269,0.491,0.314,262.914,10.0,0.1757413,5.725,4.07,1.037,0.417361,4.2346255,74.626495,118.017181,33.394279
113,8.698970004336019,17.441,5.376,1.024,0.732,0.158,0.591,0.436,0.303,0.396,0.357,0.088,0.314,0.151,0.311,0.185,0.443,0.28,237.033,9.0,0.1601318,5.981,4.388,1.048,0.440021,5.48287379,76.498398,99.201202,59.280533
114,8.045757490560675,15.779,5.941,1.518,0.679,0.152,0.531,0.447,0.358,0.399,0.397,0.082,0.351,0.171,0.348,0.191,0.445,0.293,292.241,12.0,0.0851995,6.463,4.32,1.105,0.44074,7.97556636,76.615738,112.714516,56.703632
115,8.698970004336019,16.725,3.955,0.884,0.776,0.16,0.554,0.416,0.287,0.316,0.375,0.082,0.332,0.131,0.321,0.175,0.419,0.258,164.426,8.0,0.1205068,5.993,5.191,1.029,0.409068,3.86027698,63.8904,138.556763,110.171211
116,7.4089353929735005,281.477,4.348,2.684,0.976,0.162,0.971,0.429,0.358,1.015,0.387,0.184,0.388,0.215,0.301,0.249,0.586,0.529,5564.879,5.0,0.0803818,5.141,4.364,1.022,0.395395,4.30061138,55.458858,106.64872,69.463806
117,8.096910013008056,127.813,79.271,11.487,0.585,0.162,0.159,0.142,0.512,0.17,0.247,0.318,0.098,0.403,0.069,0.402,0.271,0.245,129112.069,9.0,0.1747388,5.625,3.386,1.037,0.41423,5.79537461,72.493462,97.869171,42.623825
118,8.045757490560675,11.922,5.36,1.402,0.638,0.162,0.63,0.43,0.481,0.728,0.287,0.124,0.301,0.219,0.281,0.264,0.514,0.38,196.405,7.0,0.0809254,6.053,3.284,1.034,0.425816,4.17446379,76.960388,86.163315,54.821075
119,8.301029995663981,14.501,5.195,0.906,0.704,0.158,0.551,0.466,0.352,0.331,0.405,0.124,0.351,0.178,0.334,0.232,0.456,0.287,182.069,7.0,0.2115371,5.91,3.285,1.035,0.407332,4.21991814,62.93528,88.98555,43.231781
120,8.397940008672037,12.357,4.016,2.346,0.66,0.162,0.644,0.431,0.478,0.598,0.448,0.136,0.371,0.224,0.301,0.266,0.518,0.394,223.163,8.0,0.1385569,5.816,4.085,1.079,0.414672,3.99868929,47.275478,145.774673,31.805992
121,8.096910013008056,13.761,4.522,0.627,0.728,0.163,0.561,0.472,0.465,0.372,0.351,0.15,0.318,0.256,0.306,0.309,0.499,0.291,131.638,6.0,0.1813307,5.668,4.582,1.019,0.390894,5.33799951,44.067127,91.215393,68.933235
122,7.522878745280337,12.401,4.513,1.56,0.671,0.163,0.618,0.396,0.373,0.406,0.347,0.139,0.304,0.201,0.284,0.251,0.462,0.297,188.118,9.0,0.1759177,5.433,3.762,1.048,0.386608,6.23667732,61.851112,112.061417,60.606617
123,7.638272163982407,10.666,5.569,0.882,0.623,0.163,0.617,0.464,0.465,0.407,0.382,0.09,0.331,0.197,0.301,0.211,0.515,0.293,143.179,6.0,0.2042718,5.413,3.934,1.045,0.376351,6.48657909,35.328999,119.085251,41.943199
124,8.187086643357144,17.672,4.559,1.118,0.757,0.159,0.55,0.406,0.411,0.47,0.347,0.121,0.31,0.203,0.28,0.242,0.456,0.312,218.81,9.0,0.1076731,6.353,3.9,1.034,0.456467,1.74599728,48.174839,99.506966,53.732002
125,8.045757490560675,22.175,3.591,1.803,0.804,0.155,0.587,0.388,0.46,0.351,0.39,0.118,0.309,0.218,0.296,0.26,0.478,0.286,297.234,8.0,0.0939329,6.887,4.689,1.027,0.462186,4.43945127,44.293003,144.199799,50.680004
126,7.229147988357855,278.862,9.788,1.831,0.96,0.151,0.957,0.246,0.489,0.964,0.14,0.136,0.173,0.223,0.155,0.287,0.564,0.413,8546.372,7.0,0.167691,6.547,4.446,1.031,0.49071,5.62280672,54.725964,95.415237,79.989021
127,8.721246399047171,13.268,4.664,1.462,0.684,0.164,0.588,0.384,0.431,0.506,0.448,0.099,0.351,0.193,0.366,0.236,0.468,0.351,197.998,7.0,0.1184535,5.925,4.94,1.042,0.417057,5.28489484,49.803772,157.061234,86.780312
128,8.698970004336019,270.466,4.849,1.503,0.977,0.162,0.807,0.383,0.431,0.873,0.307,0.116,0.262,0.207,0.24,0.267,0.54,0.432,3972.923,9.0,0.1257679,6.238,3.42,1.04,0.44648,5.54698728,61.08456,82.594948,58.942364
129,9.096910013008056,16.673,4.044,1.906,0.737,0.158,0.578,0.392,0.285,0.374,0.406,0.082,0.32,0.14,0.324,0.154,0.418,0.288,258.034,10.0,0.1615156,5.943,3.453,1.04,0.428395,6.02916942,45.791458,88.096596,28.848732
130,8.698970004336019,137.602,4.998,0.596,0.961,0.163,0.167,0.456,0.362,0.131,0.27,0.207,0.305,0.273,0.306,0.256,0.328,0.203,1326.238,10.0,0.1252838,5.401,4.254,1.065,0.412417,4.05425135,43.112797,115.262077,55.677799
131,7.853871964321762,16.164,3.212,1.085,0.79,0.163,0.562,0.389,0.297,0.377,0.391,0.09,0.311,0.152,0.306,0.191,0.416,0.286,149.739,5.0,0.1372659,5.478,4.306,1.05,0.409159,5.0746484,76.528839,91.396019,40.649784
132,6.958607314841775,21.306,4.665,0.968,0.791,0.155,0.596,0.392,0.333,0.357,0.376,0.077,0.309,0.151,0.323,0.181,0.441,0.27,247.638,7.0,0.1556265,6.522,4.241,1.029,0.458473,4.54941455,51.098804,82.471832,48.637115
133,7.795880017344075,25.032,4.642,1.807,0.795,0.151,0.666,0.37,0.461,0.453,0.371,0.114,0.301,0.223,0.308,0.255,0.499,0.313,411.321,9.0,0.1620394,6.948,4.377,1.029,0.50221,4.30432127,48.485653,131.295212,63.701454
134,8.096910013008056,220.824,28.885,6.917,0.86,0.151,0.418,0.077,0.311,0.306,0.037,0.021,0.047,0.067,0.046,0.116,0.269,0.121,52482.066,10.0,0.1374215,6.252,4.513,1.035,0.515249,4.69868085,47.369308,114.911758,111.578232
135,9.397940008672036,226.128,14.622,2.679,0.929,0.158,0.945,0.625,0.346,1.001,0.656,0.542,0.546,0.356,0.578,0.388,0.639,0.733,13053.66,6.0,0.1951214,6.787,4.975,1.062,0.451961,4.98665459,86.427002,148.501053,104.881958
136,9.397940008672036,14.605,4.86,2.98,0.651,0.155,0.636,0.405,0.388,0.426,0.356,0.133,0.303,0.202,0.297,0.228,0.476,0.305,362.939,8.0,0.1585202,6.201,3.989,1.066,0.425256,5.84696204,68.82486,102.355583,94.692467
137,7.060480747381382,195.879,5.681,1.165,0.966,0.152,0.44,0.346,0.443,0.325,0.362,0.115,0.296,0.203,0.293,0.247,0.41,0.268,2846.441,8.0,0.197275,6.329,4.723,1.039,0.449689,2.13524715,54.113934,115.328499,74.034309
138,8.698970004336019,22.972,5.078,2.17,0.76,0.148,0.653,0.378,0.438,0.457,0.38,0.148,0.313,0.235,0.324,0.263,0.49,0.328,460.831,12.0,0.1259255,7.164,5.05,1.052,0.495544,4.92189207,45.575813,165.104187,93.068398
139,8.522878745280337,18.854,6.345,0.655,0.729,0.149,0.584,0.437,0.333,0.458,0.408,0.055,0.367,0.126,0.382,0.172,0.452,0.307,240.395,10.0,0.2495774,6.537,4.914,1.064,0.476339,7.06753398,64.746979,211.179443,74.74263
140,8.346787486224656,11.172,3.174,2.455,0.665,0.163,0.615,0.397,0.479,0.411,0.296,0.129,0.255,0.218,0.232,0.248,0.497,0.279,174.525,9.0,0.1392121,5.273,5.646,1.02,0.364691,3.09324862,70.465401,132.218246,150.766891
141,8.522878745280337,208.62,5.297,1.781,0.967,0.163,0.973,0.488,0.318,0.993,0.596,0.185,0.444,0.207,0.373,0.3,0.593,0.591,3670.133,9.0,0.2262355,5.384,3.565,1.028,0.392225,3.9273273,45.659325,100.279289,89.956955
142,6.568636235841013,161.001,6.569,3.882,0.939,0.159,0.324,0.431,0.467,0.238,0.314,0.283,0.32,0.341,0.283,0.355,0.407,0.278,5984.97,7.0,0.2158829,5.764,3.291,1.017,0.384454,1.49676469,60.954479,109.233025,54.902374
143,8.431798275933005,12.166,4.063,2.259,0.658,0.159,0.634,0.487,0.434,0.526,0.317,0.134,0.312,0.238,0.276,0.261,0.518,0.326,216.22,10.0,0.1957539,5.682,3.856,1.022,0.395463,3.01397815,37.726063,129.822144,94.663559
144,8.080921907623926,164.891,3.694,3.174,0.96,0.162,0.313,0.438,0.404,0.255,0.387,0.125,0.32,0.184,0.244,0.25,0.385,0.256,3248.875,14.0,0.1609913,5.653,4.227,1.065,0.397701,4.62700479,33.052189,112.608238,79.142342
145,7.638272163982407,43.578,11.193,2.003,0.768,0.164,0.036,0.564,0.354,0.209,0.001,0.136,0.52,0.227,0.566,0.299,0.318,0.115,1631.527,8.0,0.167003,5.545,4.487,1.057,0.370752,6.81625397,44.009815,108.06514,62.627945
146,7.795880017344075,257.707,6.838,1.831,0.967,0.164,0.633,0.291,0.481,0.517,0.134,0.156,0.143,0.241,0.132,0.284,0.468,0.269,5738.932,8.0,0.1502358,5.427,3.943,1.052,0.374356,3.60546169,67.28215,100.799545,73.928123
147,8.113509274827518,102.932,10.601,3.81,0.877,0.16,0.098,0.486,0.475,0.041,0.543,0.304,0.49,0.324,0.501,0.289,0.353,0.296,5798.239,14.0,0.1044259,5.753,4.077,1.037,0.430055,2.91917744,56.707924,88.240852,83.136169
148,7.301029995663981,25.274,3.408,0.727,0.859,0.152,0.607,0.375,0.286,0.427,0.323,0.052,0.296,0.115,0.318,0.113,0.423,0.267,198.992,9.0,0.2032678,6.456,4.834,1.024,0.493826,4.03132646,45.152817,96.285599,76.558365
149,7.619788758288394,121.036,7.565,1.74,0.929,0.163,0.201,0.486,0.363,0.054,0.444,0.222,0.423,0.23,0.407,0.194,0.35,0.24,2862.709,8.0,0.1469725,5.335,4.781,1.053,0.365756,5.19358856,68.684196,144.471573,92.687386
150,5.826813731587726,9.692,1.529,0.631,0.818,0.183,0.595,0.378,0.307,0.394,0.421,0.142,0.289,0.164,0.312,0.133,0.427,0.319,43.111,5.0,0.046488,4.342,4.142,1.013,0.314261,1.54736588,43.829128,163.725815,109.313225
151,6.337242168318426,198.138,1.962,1.443,0.983,0.177,0.837,0.466,0.356,0.97,0.358,0.146,0.252,0.35,0.24,0.166,0.553,0.491,1439.954,6.0,0.127856,4.516,2.382,1.014,0.318609,2.8393129,29.791054,46.972328,21.289064
152,6.142667503568731,11.649,3.686,1.473,0.693,0.167,0.627,0.392,0.376,0.495,0.281,0.221,0.276,0.231,0.264,0.288,0.465,0.332,145.594,5.0,0.2073247,5.703,2.314,1.014,0.378732,2.48529917,30.246136,61.578926,31.642876
153,6.187086643357144,180.955,5.83,1.731,0.96,0.168,0.626,0.396,0.394,0.538,0.374,0.242,0.328,0.247,0.344,0.311,0.472,0.385,3392.451,7.0,0.1317006,5.288,2.244,1.01,0.367414,2.70463667,51.919582,92.488251,29.922531
154,5.136677139879544,8.028,3.123,0.226,0.706,0.177,0.549,0.511,0.462,0.523,0.134,0.172,0.222,0.229,0.25,0.326,0.507,0.277,44.615,5.0,0.0419413,4.192,2.792,1.06,0.304745,4.04887834,38.503582,84.658928,33.254021
155,6.154901959985743,7.354,3.086,0.858,0.651,0.174,0.515,0.522,0.354,0.498,0.171,0.162,0.286,0.18,0.264,0.311,0.464,0.277,62.435,5.0,0.0629331,4.31,2.762,1.063,0.306238,6.82321219,41.082287,47.917797,36.873734
156,5.823908740944319,296.229,4.73,1.998,0.978,0.168,0.729,0.514,0.292,0.934,0.251,0.093,0.346,0.139,0.355,0.174,0.512,0.426,5105.035,5.0,0.0886723,4.518,2.659,1.064,0.312974,4.98170122,32.575928,66.329994,55.773148
157,6.42021640338319,220.942,117.018,1.647,0.651,0.167,0.399,0.92,0.475,0.6,1.015,0.244,0.982,0.308,1.045,0.386,0.598,0.62,69332.823,5.0,0.1255081,4.345,2.795,1.066,0.303746,5.13085925,17.80867,51.214931,37.664795
158,6.6777807052660805,7.465,3.675,1.062,0.612,0.163,0.468,0.489,0.428,0.375,0.363,0.134,0.379,0.198,0.473,0.286,0.462,0.291,80.603,6.0,0.1419691,4.758,2.625,1.08,0.313657,7.17185251,27.339462,233.369949,134.730972
159,6.619788758288394,6.98,5.449,1.01,0.519,0.16,0.552,0.402,0.362,0.438,0.27,0.12,0.349,0.18,0.356,0.211,0.439,0.276,102.463,5.0,0.0918987,5.12,2.727,1.055,0.333063,4.28517822,37.054024,97.987221,76.282082
160,6.537602002101044,6.801,5.496,0.451,0.534,0.167,0.493,0.463,0.31,0.465,0.223,0.1,0.306,0.134,0.296,0.197,0.422,0.262,72.507,3.0,0.0328083,4.409,2.692,1.055,0.320209,5.49922609,33.330811,86.592331,63.901226
161,6.161150909262744,6.694,5.649,0.601,0.517,0.163,0.438,0.424,0.252,0.475,0.265,0.063,0.369,0.11,0.347,0.111,0.371,0.267,80.913,5.0,0.105131,5.073,2.761,1.057,0.328339,4.48124016,40.365433,947.040161,36.393253
162,6.4089353929735005,122.933,64.762,1.036,0.651,0.164,0.16,0.078,0.342,0.053,0.087,0.105,0.056,0.168,0.09,0.205,0.193,0.081,16595.675,5.0,0.0945786,4.946,2.625,1.056,0.319122,7.01276251,39.236721,198.791138,162.991028
163,6.2076083105017466,242.691,105.369,3.543,0.69,0.167,0.673,0.367,0.427,0.774,0.265,0.401,0.162,0.423,0.561,0.353,0.489,0.48,117767.098,6.0,0.0552552,5.22,2.523,1.055,0.328757,4.0434156,29.317875,69.30896,38.786755
164,6.0,7.716,5.913,0.835,0.533,0.165,0.412,0.401,0.265,0.369,0.322,0.054,0.285,0.103,0.295,0.136,0.36,0.248,109.58,3.0,0.0574903,5.655,2.521,1.06,0.357039,6.00703031,42.449471,26.041958,76.281342
165,5.958607314841775,7.704,4.312,0.788,0.602,0.165,0.47,0.522,0.36,0.492,0.259,0.154,0.335,0.193,0.347,0.298,0.451,0.301,81.662,8.0,0.1252481,4.762,3.786,1.084,0.33424,4.85989171,41.559517,62.182308,86.758728
166,5.6777807052660805,7.436,3.985,1.123,0.593,0.164,0.462,0.466,0.562,0.476,0.23,0.206,0.31,0.28,0.311,0.416,0.497,0.304,88.294,6.0,0.1135452,4.747,3.663,1.058,0.323589,5.13056847,39.459885,211.250931,143.459961
167,6.337242168318426,9.418,5.044,0.594,0.626,0.162,0.484,0.458,0.32,0.485,0.218,0.177,0.32,0.178,0.305,0.321,0.421,0.293,99.342,5.0,0.0325475,5.635,3.546,1.041,0.350408,2.72146877,25.789068,221.604645,136.504105
168,5.494850021680094,8.318,4.798,0.761,0.599,0.163,0.501,0.497,0.306,0.444,0.227,0.142,0.325,0.173,0.307,0.241,0.435,0.271,94.152,6.0,0.1442844,5.006,3.663,1.054,0.329962,4.1158804,39.189758,230.13913,126.664268
169,6.161150909262744,181.644,5.375,2.292,0.959,0.168,0.295,0.463,0.474,0.095,0.197,0.362,0.356,0.417,0.432,0.444,0.411,0.218,3832.502,4.0,0.1430764,4.297,2.659,1.071,0.295057,4.94635048,48.546894,268.940613,124.021614
170,5.693360558975739,13.299,2.168,0.263,0.845,0.169,0.619,0.54,0.2,0.486,0.298,0.015,0.333,0.053,0.53,0.058,0.453,0.266,56.228,5.0,0.0950882,4.411,2.624,1.157,0.356826,9.8316942,13.233007,51.619778,25.634733
171,5.2826624172761365,14.537,1.709,0.954,0.845,0.168,0.625,0.394,0.268,0.522,0.209,0.128,0.247,0.134,0.374,0.234,0.429,0.286,81.278,7.0,0.154175,4.988,2.802,1.165,0.384317,9.53725876,36.938049,40.049671,50.76339
172,5.460171441622101,13.055,1.639,0.526,0.858,0.172,0.611,0.46,0.371,0.458,0.197,0.144,0.238,0.23,0.393,0.259,0.481,0.267,55.593,5.0,0.0245438,4.406,3.942,1.164,0.351547,9.14786063,64.838669,54.949429,32.464737
173,5.88672530753565,16.197,1.556,0.716,0.877,0.164,0.615,0.435,0.274,0.515,0.156,0.056,0.219,0.114,0.357,0.109,0.441,0.242,74.455,7.0,0.0471834,4.699,2.666,1.246,0.39139,11.2447133,40.176414,926.734131,60.215561
174,6.050122295963125,180.61,16.893,1.234,0.909,0.158,0.309,0.455,0.398,0.221,0.52,0.095,0.488,0.179,0.595,0.181,0.387,0.278,7258.138,8.0,0.0989939,5.155,2.836,1.155,0.447873,9.48543511,40.8787,139.898224,89.863037
175,6.266000713461613,74.169,9.533,1.621,0.869,0.164,0.078,0.559,0.457,0.01,0.015,0.104,0.258,0.2,0.444,0.208,0.365,0.043,2074.571,9.0,0.1183118,5.231,2.768,1.153,0.408284,7.93529952,21.162727,57.67178,48.092838
176,6.350665141287858,93.826,37.272,1.583,0.707,0.162,0.155,0.042,0.409,0.113,0.005,0.131,0.012,0.221,0.016,0.249,0.202,0.083,9374.238,7.0,0.1703465,5.246,2.802,1.154,0.407117,10.1389874,32.612122,52.506565,59.874821
177,6.277366077466188,184.733,8.26,1.106,0.952,0.158,0.494,0.425,0.354,0.568,0.481,0.11,0.449,0.186,0.528,0.191,0.424,0.386,3620.6,7.0,0.1952535,5.716,2.871,1.158,0.48019,9.88854734,40.233891,40.915363,65.620651
178,6.348721986001856,7.977,1.918,0.07,0.801,0.185,0.548,0.472,0.205,0.52,0.146,0.075,0.23,0.101,0.282,0.173,0.408,0.247,27.023,7.0,0.0139267,3.558,2.768,1.179,0.29711,9.73858874,58.62458,66.497826,72.198349
179,6.576754126063192,211.867,11.965,0.945,0.943,0.162,0.246,0.505,0.332,0.197,0.408,0.073,0.452,0.144,0.458,0.147,0.361,0.226,5366.09,13.0,0.2185235,5.372,2.905,1.107,0.411828,7.68495331,37.563511,106.276756,37.082821
180,7.346787486224656,15.123,2.243,1.559,0.799,0.164,0.646,0.465,0.365,0.565,0.404,0.14,0.325,0.2,0.516,0.212,0.492,0.369,132.793,7.0,0.2061115,5.253,3.383,1.071,0.414194,5.95625915,53.525532,140.537155,44.257034
181,7.638272163982407,16.268,2.648,0.904,0.821,0.164,0.63,0.448,0.381,0.611,0.599,0.082,0.389,0.169,0.612,0.175,0.487,0.431,118.909,6.0,0.169864,5.707,2.973,1.091,0.439714,4.87387085,38.366974,110.55484,64.905365
182,6.705533773838407,315.252,11.953,2.08,0.957,0.164,0.469,0.443,0.533,0.306,0.756,0.216,0.491,0.282,0.535,0.402,0.482,0.426,12615.208,9.0,0.1153469,5.485,2.905,1.157,0.445299,9.45412103,45.67487,144.566177,50.214058
183,7.040958607678906,193.583,90.61,1.741,0.677,0.164,0.386,0.164,0.488,0.363,0.122,0.303,0.159,0.277,0.14,0.576,0.346,0.263,48857.023,8.0,0.159012,5.173,2.836,1.08,0.405835,4.93517497,63.751736,101.01442,54.682201
184,7.585026652029182,16.697,2.209,0.903,0.843,0.164,0.607,0.525,0.302,0.622,0.216,0.236,0.277,0.187,0.37,0.343,0.478,0.358,107.06,9.0,0.0345125,5.237,3.076,1.169,0.43598,10.6342923,60.796875,125.785713,46.976212
185,7.154901959985743,16.205,2.27,1.074,0.829,0.164,0.614,0.478,0.382,0.614,0.392,0.142,0.32,0.209,0.585,0.236,0.491,0.383,115.69,9.0,0.1122295,5.246,2.973,1.119,0.433849,6.70785247,46.282387,111.976273,48.871117
186,7.154901959985743,365.02,140.975,8.948,0.709,0.161,0.583,0.77,0.472,0.551,0.684,0.428,0.776,0.402,0.778,0.38,0.608,0.554,516975.847,7.0,0.1469593,5.526,2.871,1.082,0.42074,7.5222251,72.450745,112.806389,50.04995
187,7.318758762624412,38.628,5.149,2.336,0.838,0.164,0.069,0.329,0.436,0.027,0.481,0.002,0.019,0.362,0.038,0.387,0.278,0.17,811.818,9.0,0.1896191,5.734,3.007,1.158,0.441967,3.69444561,49.861366,139.853271,51.89518
188,7.795880017344075,332.73,3.046,1.212,0.987,0.164,0.967,0.425,0.436,0.954,0.694,0.143,0.371,0.239,0.582,0.266,0.609,0.597,2985.286,4.0,0.2182743,5.906,2.973,1.087,0.441564,5.90040777,34.38205,102.904556,38.472679
189,7.552841968657781,88.363,12.899,1.807,0.857,0.164,0.113,0.564,0.487,0.179,0.635,0.075,0.598,0.21,0.589,0.249,0.388,0.296,3485.028,5.0,0.1303492,6.101,3.042,1.101,0.453826,10.0843379,49.074032,122.592804,49.295746
190,5.596879478824182,33.28,14.521,0.968,0.682,0.169,0.042,0.601,0.425,0.206,0.002,0.017,0.052,0.228,0.205,0.365,0.356,0.075,1045.9,6.0,0.0760937,4.703,2.871,1.054,0.378479,4.43627833,28.660749,99.923943,36.276676
191,5.3693687559795,13.795,2.323,0.268,0.842,0.172,0.587,0.477,0.39,0.476,0.268,0.095,0.332,0.177,0.461,0.258,0.485,0.28,61.343,7.0,0.129077,4.644,2.585,1.257,0.372629,10.6293785,31.123034,119.010101,26.68055
192,5.419075024324381,178.37,2.246,0.891,0.983,0.159,0.657,0.422,0.429,0.897,0.171,0.122,0.24,0.206,0.333,0.228,0.502,0.396,1099.691,7.0,0.1576729,5.262,3.531,1.056,0.421301,4.43630379,40.634056,97.637283,34.080978
193,8.0,68.978,8.44,1.132,0.878,0.161,0.111,0.566,0.332,0.046,0.438,0.083,0.452,0.146,0.516,0.169,0.336,0.189,1407.177,7.0,0.1439342,5.26,3.234,1.04,0.370323,5.43566985,52.991962,142.24324,83.457458
194,5.543482142194737,141.811,6.005,1.082,0.952,0.179,0.241,0.379,0.43,0.36,0.296,0.131,0.306,0.229,0.434,0.229,0.35,0.262,2082.103,4.0,0.1436329,3.736,3.144,1.008,0.326232,0.924787547,56.15258,145.282669,39.711876
195,5.349498205121633,310.292,2.525,0.647,0.99,0.181,0.971,0.469,0.23,0.947,0.223,0.061,0.304,0.091,0.278,0.124,0.557,0.41,1806.477,6.0,0.0821401,3.97,3.016,1.023,0.32404,2.00483001,18.447281,130.084641,26.471935
196,5.4061603389187285,204.592,58.078,2.766,0.771,0.171,0.845,0.121,0.445,0.978,0.004,0.097,0.019,0.339,0.03,0.376,0.47,0.36,45736.53,5.0,0.0695598,4.594,3.259,1.024,0.365428,3.54674329,36.954735,130.698792,42.649433
197,5.46826569072345,260.056,141.466,3.259,0.642,0.153,0.434,0.271,0.306,0.535,0.209,0.166,0.26,0.222,0.278,0.242,0.337,0.304,158401.572,2.0,0.1358381,6.744,3.271,1.016,0.450279,2.83440916,36.336212,140.117584,55.583946
198,5.583193128177055,8.371,7.4,1.34,0.489,0.153,0.431,0.44,0.39,0.438,0.291,0.13,0.366,0.202,0.37,0.276,0.421,0.286,183.196,4.0,0.0486493,5.63,3.196,1.021,0.382804,2.40340314,69.297806,182.157547,116.667236
199,7.758827213229953,102.695,7.789,3.266,0.903,0.157,0.126,0.552,0.47,0.107,0.366,0.486,0.416,0.443,0.425,0.699,0.383,0.32,3887.12,6.0,0.1652813,6.008,3.281,1.072,0.384582,5.45914678,44.737251,178.704254,91.424576
200,6.91721462968355,11.36,5.119,0.972,0.651,0.159,0.54,0.451,0.349,0.582,0.4,0.099,0.406,0.162,0.548,0.197,0.447,0.36,148.121,12.0,0.1215393,6.331,3.588,1.039,0.417021,5.51612475,53.826775,123.42968,58.384853
201,6.192464971931146,207.429,3.842,3.36,0.966,0.156,0.333,0.351,0.354,0.42,0.618,0.163,0.443,0.239,0.33,0.375,0.346,0.4,4399.307,4.0,0.1494701,5.417,3.486,1.07,0.397558,9.20979561,44.902409,129.796478,59.17527
202,7.599980364934842,12.282,3.959,1.472,0.693,0.158,0.528,0.328,0.277,0.419,0.228,0.078,0.209,0.145,0.295,0.157,0.378,0.242,161.833,4.0,0.140394,5.715,3.613,1.073,0.3826,6.07948477,64.798477,312.447906,56.68235
204,5.700000503883016,154.357,3.265,1.746,0.969,0.156,0.571,0.38,0.333,0.608,0.206,0.216,0.242,0.197,0.291,0.307,0.428,0.343,1818.301,8.0,0.1832455,6.992,3.677,1.083,0.574245,6.25616351,58.980194,97.778259,73.757179
205,6.799998134593398,153.862,9.395,0.794,0.938,0.163,0.252,0.473,0.277,0.162,0.448,0.093,0.42,0.134,0.5,0.143,0.334,0.234,2886.774,8.0,0.030224,5.111,4.152,1.058,0.380137,7.37693592,84.762024,100.979736,91.459946
206,5.300000202445418,6.528,4.56,0.558,0.561,0.175,0.537,0.545,0.339,0.531,0.162,0.299,0.301,0.238,0.329,0.171,0.473,0.331,64.201,8.0,0.0698984,4.865,3.061,1.118,0.312992,6.6004533,31.98856,40.872894,74.89048
207,6.299997602857746,19.309,4.517,1.211,0.771,0.156,0.64,0.464,0.381,0.444,0.358,0.122,0.355,0.183,0.444,0.209,0.495,0.308,246.766,7.0,0.0882083,6.201,2.823,1.099,0.454529,5.74981053,42.616062,140.193024,57.880928
208,6.699991797446187,14.691,2.409,1.865,0.775,0.156,0.617,0.359,0.4,0.542,0.208,0.156,0.263,0.223,0.291,0.243,0.459,0.302,152.283,6.0,0.1406232,5.8,3.622,1.039,0.403832,4.28038145,53.406197,130.590378,58.615467
209,6.199998172182031,30.508,6.906,1.341,0.787,0.154,0.076,0.338,0.442,0.051,0.013,0.152,0.059,0.21,0.079,0.234,0.285,0.072,582.271,5.0,0.1146893,6.198,3.828,1.092,0.45206,7.72726525,57.596657,158.22168,111.211456
210,5.200000237109354,17.447,6.021,1.186,0.708,0.151,0.542,0.547,0.339,0.498,0.446,0.115,0.48,0.17,0.566,0.174,0.476,0.353,282.145,8.0,0.3038012,6.244,3.337,1.014,0.476554,2.09897801,31.966206,74.304588,102.621361
211,5.40000018605658,80.893,4.504,0.845,0.938,0.153,0.292,0.44,0.379,0.326,0.366,0.262,0.336,0.284,0.531,0.378,0.37,0.318,830.516,3.0,0.1403961,6.685,3.87,1.069,0.599062,2.65913796,39.525475,78.77253,67.678391
212,7.299988937677887,20.167,2.06,0.964,0.87,0.156,0.578,0.31,0.382,0.424,0.607,0.069,0.294,0.159,0.375,0.139,0.423,0.367,126.235,9.0,0.1976324,6.069,4.628,1.038,0.446624,6.53302976,103.696632,107.842377,94.709816
213,7.0,11.417,4.61,0.952,0.672,0.159,0.592,0.504,0.379,0.407,0.324,0.108,0.353,0.18,0.343,0.207,0.492,0.28,134.942,9.0,0.0869385,5.844,4.045,1.077,0.364473,4.93601281,73.903358,159.179199,116.832306
