mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
25,8.0,13.557,3.719,0.494,0.763,0.164,0.558,0.509,0.352,0.761,0.195,0.12,0.299,0.175,0.287,0.165,0.473,0.359,101.624,4.0,0.1637921,5.424,4.346,1.013,0.427832,2.78988572,58.127041,155.677505,57.391026
26,8.0,18.237,1.7,1.027,0.87,0.164,0.551,0.376,0.303,0.877,0.209,0.176,0.199,0.183,0.278,0.186,0.41,0.421,104.3,3.0,0.082598,6.161,3.007,1.014,0.486864,3.33851012,54.856979,124.189362,56.00312
27,8.0,83.971,18.903,3.332,0.791,0.156,0.085,0.599,0.447,0.032,0.554,0.177,0.545,0.255,0.605,0.259,0.377,0.254,7325.6,7.0,0.1924047,6.196,2.802,1.019,0.463171,1.94746796,61.117477,109.838707,70.027344
28,8.0,21.995,2.291,0.725,0.879,0.16,0.563,0.515,0.317,0.628,0.354,0.164,0.326,0.193,0.494,0.248,0.465,0.382,129.598,4.0,0.2136821,6.161,4.746,1.017,0.504923,3.66325988,79.883324,169.311584,55.472866
29,7.301029995663981,292.411,48.907,4.012,0.847,0.157,0.936,0.054,0.504,1.005,0.009,0.013,0.016,0.142,0.018,0.103,0.498,0.342,73385.479,2.0,0.1633697,6.272,3.539,1.083,0.455234,6.36718442,61.476795,123.832787,69.175285
30,6.721246399047171,40.598,2.949,2.492,0.882,0.155,0.179,0.394,0.188,0.111,0.303,0.003,0.323,0.014,0.399,0.018,0.254,0.139,572.619,5.0,0.1613642,6.823,3.164,1.021,0.540474,2.3192209,93.510345,149.848907,72.989716
31,6.102372908709558,18.472,6.256,1.258,0.711,0.154,0.527,0.426,0.413,0.385,0.426,0.145,0.398,0.236,0.482,0.241,0.455,0.319,318.09,3.0,0.2740712,6.82,3.437,1.075,0.462704,5.94497008,61.954029,147.350876,54.082993
32,7.0,27.727,1.863,1.19,0.901,0.156,0.551,0.46,0.334,0.374,0.235,0.117,0.28,0.17,0.358,0.164,0.448,0.242,179.123,7.0,0.1433066,6.265,3.504,1.016,0.496852,2.84119845,63.516613,131.807251,76.691093
33,7.301029995663981,22.013,3.181,1.764,0.817,0.156,0.543,0.371,0.282,0.558,0.217,0.213,0.254,0.206,0.295,0.293,0.399,0.33,264.961,4.0,0.1138773,6.115,4.441,1.01,0.505078,1.2351139,69.008728,161.60939,52.996769
34,7.301029995663981,261.415,128.092,2.646,0.667,0.159,0.397,0.173,0.326,0.356,0.039,0.328,0.075,0.311,0.086,0.21,0.299,0.241,123509.797,5.0,0.2025476,6.029,4.338,1.01,0.499101,2.99365671,100.855522,159.614471,58.091412
35,7.154901959985743,179.789,1.987,1.694,0.98,0.158,0.881,0.397,0.458,0.879,0.236,0.157,0.235,0.235,0.285,0.274,0.579,0.424,1453.66,5.0,0.0587747,6.074,4.531,1.012,0.532756,2.57858015,51.571918,120.428398,46.28759
36,6.920818753952375,25.782,2.736,1.901,0.848,0.153,0.557,0.382,0.325,0.377,0.231,0.151,0.268,0.179,0.307,0.186,0.421,0.253,289.221,10.0,0.2361523,6.641,4.917,1.012,0.493786,2.79594098,50.700829,127.207497,57.85854
37,6.721246399047171,22.968,3.348,2.189,0.806,0.154,0.565,0.372,0.317,0.514,0.32,0.184,0.273,0.203,0.39,0.22,0.418,0.339,331.308,5.0,0.2515501,6.859,5.074,1.012,0.507243,0.510293302,47.47818,141.933685,61.502686
38,5.5003129173815966,131.324,21.199,2.972,0.845,0.152,0.104,0.531,0.351,0.026,0.537,0.238,0.491,0.229,0.573,0.307,0.329,0.267,11667.055,4.0,0.1638907,6.928,4.202,1.011,0.548871,4.23400472,72.64093,161.283875,66.294312
39,6.200659450546418,23.636,2.534,1.642,0.85,0.155,0.549,0.339,0.385,0.55,0.574,0.188,0.312,0.232,0.884,0.242,0.424,0.437,229.028,2.0,0.2409909,7.305,4.373,1.005,0.518853,2.10487973,76.794884,178.464523,52.969048
40,7.522878745280337,31.006,2.058,0.597,0.921,0.155,0.546,0.444,0.304,0.406,0.2,0.079,0.259,0.143,0.338,0.158,0.431,0.228,155.289,10.0,0.203934,6.183,3.539,1.009,0.532972,2.14979935,59.596306,168.192307,77.925377
41,7.301029995663981,229.011,6.622,1.323,0.966,0.158,0.834,0.468,0.33,0.87,0.345,0.172,0.352,0.209,0.405,0.262,0.544,0.463,4071.107,3.0,0.2093655,6.264,4.703,1.014,0.524155,3.97156437,55.768311,162.020676,55.801632
42,8.0,27.67,2.084,1.503,0.885,0.155,0.58,0.289,0.325,0.462,0.215,0.156,0.193,0.195,0.249,0.252,0.398,0.278,220.368,6.0,0.1973984,6.654,3.042,1.024,0.521381,2.4996541,21.226147,139.042389,46.096756
43,8.0,10.174,6.908,1.496,0.548,0.156,0.567,0.403,0.397,0.519,0.243,0.172,0.289,0.233,0.33,0.274,0.456,0.311,219.523,6.0,0.1814394,6.15,3.842,1.046,0.395149,5.1966777,66.676918,142.14325,58.426834
44,6.823908740944319,241.839,13.168,3.378,0.936,0.153,0.253,0.396,0.419,0.202,0.431,0.173,0.345,0.256,0.536,0.249,0.356,0.269,15059.838,3.0,0.20087,7.218,4.311,1.021,0.568378,4.98374679,55.151375,151.08522,63.9669
45,6.920818753952375,113.395,5.638,1.831,0.938,0.151,0.413,0.395,0.374,0.365,0.333,0.191,0.328,0.227,0.317,0.344,0.394,0.296,2148.331,4.0,0.1442522,7.331,3.11,1.009,0.60576,2.49925841,63.70821,143.228104,86.046379
46,8.0,264.956,205.53,3.232,0.559,0.155,0.322,0.502,0.496,0.331,0.32,0.255,0.388,0.353,0.371,0.35,0.44,0.302,232476.176,2.0,0.1545089,6.713,4.548,1.013,0.421441,3.2983263,63.618172,160.368225,74.681114
47,8.0,294.404,6.195,1.354,0.975,0.153,0.561,0.445,0.369,0.648,0.269,0.178,0.325,0.201,0.337,0.236,0.458,0.365,5002.136,2.0,0.1531979,6.815,3.11,1.018,0.497383,1.50249091,60.29995,128.313187,77.837143
48,8.0,187.133,88.719,3.467,0.67,0.155,0.302,0.193,0.324,0.191,0.175,0.439,0.17,0.299,0.26,0.586,0.273,0.268,75400.583,4.0,0.2162271,6.541,3.178,1.02,0.471006,2.25811881,77.198929,168.587418,106.640274
49,8.0,180.048,30.301,1.666,0.849,0.155,0.431,0.05,0.358,0.323,0.011,0.02,0.018,0.098,0.022,0.165,0.28,0.118,15108.909,2.0,0.1942716,6.412,3.178,1.013,0.462259,3.15338956,62.676468,124.054924,87.842125
50,7.698970004336019,193.811,13.454,5.722,0.91,0.153,0.245,0.341,0.332,0.285,0.536,0.148,0.328,0.229,0.823,0.208,0.306,0.323,18924.96,4.0,0.2640796,6.845,3.042,1.035,0.519711,3.71595244,93.193039,142.235504,74.18985
51,7.698970004336019,205.609,6.009,0.628,0.969,0.155,0.725,0.455,0.293,0.669,0.356,0.077,0.349,0.117,0.491,0.164,0.491,0.367,2356.661,6.0,0.2365947,6.221,2.905,1.033,0.418433,3.94849844,66.140221,154.981308,74.532089
52,7.698970004336019,166.246,8.731,2.547,0.936,0.153,0.304,0.321,0.439,0.303,0.46,0.288,0.293,0.319,0.61,0.381,0.355,0.35,5771.067,3.0,0.2285611,6.608,3.281,1.044,0.508313,6.95326804,56.398777,146.315155,76.151787
53,7.698970004336019,254.497,6.347,1.425,0.97,0.155,0.673,0.379,0.439,0.684,0.29,0.242,0.291,0.272,0.394,0.334,0.497,0.405,4550.999,3.0,0.1413731,6.584,3.11,1.033,0.497191,4.74857527,71.563583,136.398514,82.687668
54,7.397940008672037,17.267,6.178,1.474,0.693,0.153,0.5,0.379,0.393,0.791,0.288,0.139,0.296,0.196,0.398,0.208,0.424,0.406,323.416,6.0,0.2344901,7.937,3.11,1.041,0.519071,7.25877223,40.335075,146.735458,96.927414
55,8.0,32.88,9.642,1.309,0.75,0.151,0.131,0.229,0.239,0.121,0.027,0.003,0.055,0.026,0.071,0.034,0.199,0.05,831.628,5.0,0.110333,7.053,3.076,1.024,0.518668,5.03192186,73.497414,165.533752,92.712013
56,5.300162274132754,19.818,7.35,0.644,0.713,0.152,0.489,0.353,0.325,0.324,0.251,0.093,0.269,0.157,0.306,0.173,0.389,0.223,284.827,6.0,0.0410145,6.688,4.414,1.031,0.474743,4.33159061,66.975471,181.255219,114.450432
57,4.500312917381596,328.896,90.056,4.656,0.776,0.15,0.954,0.187,0.407,0.912,0.189,0.299,0.157,0.276,0.317,0.4,0.516,0.467,169900.585,3.0,0.2956234,7.124,4.113,1.039,0.538609,2.76868851,83.307274,146.274826,75.039825
58,5.100179497572904,388.489,9.674,2.414,0.97,0.152,0.958,0.555,0.435,0.929,0.539,0.149,0.496,0.227,0.603,0.24,0.65,0.539,14191.13,6.0,0.1366305,6.504,4.01,1.08,0.462048,4.95343556,98.603302,176.523438,125.612854
59,4.508638306165727,376.765,7.342,2.195,0.975,0.15,0.937,0.513,0.48,0.923,0.294,0.334,0.372,0.318,0.323,0.543,0.643,0.517,10069.213,3.0,0.3469697,7.013,4.147,1.088,0.439656,7.80312842,59.539028,193.648788,59.68116
60,5.300162274132754,26.427,6.665,0.928,0.777,0.148,0.526,0.316,0.341,0.395,0.215,0.112,0.239,0.172,0.288,0.187,0.395,0.241,404.281,5.0,0.1429124,7.444,4.113,1.028,0.535484,5.17071329,95.767632,192.06987,82.866699
61,6.823908740944319,373.23,113.097,5.268,0.759,0.153,0.767,0.3,0.29,0.825,0.221,0.133,0.219,0.194,0.262,0.173,0.453,0.393,267647.055,4.0,0.2670494,6.661,5.382,1.036,0.427561,4.64568214,90.606873,177.071533,114.350571
62,6.508638306165727,13.359,7.165,2.004,0.593,0.153,0.425,0.399,0.362,0.565,0.371,0.121,0.322,0.196,0.487,0.173,0.395,0.352,351.227,3.0,0.2086361,6.732,3.178,1.029,0.482155,4.47981452,99.536034,153.665085,88.109238
63,7.301029995663981,357.423,8.919,4.184,0.965,0.149,0.677,0.342,0.335,0.554,0.216,0.209,0.261,0.25,0.276,0.29,0.451,0.326,18428.99,7.0,0.1211794,7.422,3.144,1.036,0.547726,4.61601132,69.644714,186.471771,85.04789
64,6.0,474.173,147.486,9.78,0.751,0.151,0.876,0.377,0.478,0.924,0.278,0.287,0.329,0.39,0.313,0.331,0.577,0.497,760563.267,3.0,0.1616722,7.583,4.446,1.047,0.53045,8.82145658,83.367157,172.365967,109.032967
65,5.903089986991944,13.929,6.201,0.637,0.671,0.155,0.446,0.393,0.389,0.294,0.526,0.085,0.365,0.159,0.376,0.18,0.409,0.302,175.021,2.0,0.2288381,6.591,2.871,1.027,0.43058,4.12871343,94.044456,147.746887,70.077286
