mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
26,8.0,14.573,3.539,0.732,0.773,0.164,0.549,0.402,0.191,0.998,0.145,0.214,0.226,0.145,0.253,0.157,0.381,0.452,5.0,0.2189691,6.021,3.144,1.015,0.463793,1.97934643,57.56633,126.38665,39.92205
27,8.0,54.936,21.342,1.853,0.703,0.156,0.056,0.562,0.392,0.491,0.002,0.169,0.391,0.241,0.529,0.25,0.337,0.221,7.0,0.1522989,6.568,3.042,1.019,0.482454,3.6070784,70.130615,109.438454,61.676094
28,8.0,207.477,6.353,1.733,0.962,0.16,0.537,0.377,0.348,0.569,0.266,0.168,0.294,0.212,0.29,0.253,0.421,0.334,3.0,0.2337692,5.923,4.813,1.018,0.500783,2.89185423,78.522743,162.302612,42.575741
29,7.301029995663981,121.517,6.932,4.122,0.917,0.157,0.202,0.506,0.486,0.132,0.475,0.459,0.453,0.429,0.623,0.503,0.398,0.355,5.0,0.3254346,5.759,3.335,1.08,0.386037,6.64143508,54.662983,139.634094,65.142708
30,6.721246399047171,21.895,5.574,0.599,0.78,0.155,0.58,0.461,0.294,0.551,0.309,0.129,0.368,0.146,0.352,0.232,0.445,0.33,3.0,0.2228223,6.713,3.54,1.02,0.50311,2.9170144,67.791275,138.457977,53.827965
31,6.102372908709558,77.544,17.004,4.664,0.782,0.153,0.105,0.493,0.38,0.355,0.234,0.23,0.339,0.316,0.237,0.27,0.326,0.273,3.0,0.3033711,6.355,3.538,1.073,0.451886,6.31597968,68.536621,148.033401,61.236645
32,7.0,28.335,1.691,0.998,0.913,0.156,0.539,0.336,0.247,0.364,0.149,0.082,0.194,0.124,0.264,0.13,0.374,0.198,6.0,0.1136932,6.122,3.607,1.014,0.498951,4.15418399,71.721016,143.477966,83.519394
33,7.301029995663981,430.194,131.732,3.056,0.761,0.156,0.549,0.58,0.322,0.514,0.518,0.193,0.588,0.214,0.424,0.269,0.483,0.408,4.0,0.1727016,6.389,4.271,1.01,0.508999,1.71118723,66.059357,188.062561,44.786625
34,7.301029995663981,260.348,4.275,3.164,0.972,0.16,0.968,0.433,0.413,0.989,0.453,0.189,0.407,0.257,0.305,0.285,0.605,0.544,7.0,0.095007,5.886,4.27,1.012,0.48326,2.36979998,86.02066,137.016403,102.105103
35,7.154901959985743,27.352,1.741,0.67,0.919,0.158,0.541,0.385,0.291,0.551,0.18,0.067,0.232,0.121,0.352,0.12,0.406,0.266,7.0,0.117141,6.115,4.53,1.01,0.535869,3.93906085,37.185814,135.017349,53.059666
36,6.920818753952375,184.225,64.122,13.342,0.704,0.153,0.138,0.125,0.454,0.088,0.055,0.192,0.074,0.392,0.064,0.34,0.239,0.111,6.0,0.1373529,6.91,4.948,1.012,0.522302,6.75582356,66.336388,140.134598,82.21788
37,6.721246399047171,25.765,3.083,1.076,0.861,0.154,0.551,0.362,0.369,0.521,0.203,0.156,0.216,0.208,0.266,0.253,0.427,0.293,8.0,0.1473633,6.447,5.174,1.012,0.528309,2.70977756,77.618744,158.7565,39.277523
38,5.5003129173815966,55.61,5.305,0.889,0.9,0.152,0.166,0.329,0.334,0.087,0.018,0.115,0.081,0.17,0.063,0.202,0.276,0.073,6.0,0.1984875,6.682,4.202,1.013,0.567487,3.45144119,56.803844,167.613052,60.961262
39,6.200659450546418,30.245,22.915,1.377,0.555,0.155,0.068,0.177,0.313,0.594,0.001,0.166,0.005,0.202,0.006,0.246,0.186,0.254,4.0,0.2351533,6.475,4.17,1.009,0.550707,3.77102106,56.408947,149.207367,69.94236
40,7.522878745280337,28.883,15.593,1.746,0.625,0.156,0.405,0.042,0.436,0.456,0.001,0.189,0.006,0.25,0.008,0.289,0.294,0.215,4.0,0.2041947,6.546,3.369,1.01,0.519728,2.29531934,67.107567,150.428085,63.168976
41,7.301029995663981,286.262,24.362,1.387,0.917,0.158,0.786,0.494,0.453,0.723,0.614,0.148,0.428,0.23,0.689,0.255,0.578,0.495,4.0,0.1741479,6.111,4.772,1.022,0.526127,3.83277238,95.240494,143.227722,77.30761
42,8.0,200.367,55.262,4.342,0.771,0.155,0.546,0.089,0.41,0.497,0.092,0.392,0.09,0.37,0.118,0.493,0.348,0.327,4.0,0.2411037,6.339,3.247,1.022,0.496026,5.04532112,50.463516,136.322433,40.957413
43,8.0,19.263,4.62,0.963,0.775,0.156,0.571,0.471,0.328,0.373,0.286,0.153,0.322,0.194,0.379,0.24,0.456,0.271,5.0,0.187424,5.773,3.978,1.05,0.445492,5.51666258,79.191048,171.917587,57.98111
