mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,142.647,25.259,1.616,0.841,0.163,0.263,0.057,0.279,0.35,0.005,0.094,0.016,0.154,0.021,0.231,0.2,0.149,10.0,0.1813468,5.743,4.407,1.064,0.437164,6.54509235,73.003441,77.587486,74.570572
2,7.698970004336019,293.476,210.937,8.954,0.572,0.151,0.975,0.396,0.549,1.083,0.398,0.385,0.402,0.407,0.42,0.464,0.64,0.622,4.0,0.2300172,7.238,3.144,1.047,0.500479,6.64568576,87.470367,144.187958,82.333527
3,8.0,339.103,8.512,2.088,0.97,0.153,0.925,0.478,0.37,0.945,0.327,0.349,0.361,0.27,0.415,0.535,0.591,0.54,6.0,0.1180609,7.029,3.144,1.04,0.508785,4.86311726,74.388794,168.956314,66.936295
4,8.0,66.494,8.865,6.502,0.812,0.149,0.105,0.449,0.352,0.056,0.137,0.231,0.279,0.299,0.455,0.271,0.302,0.141,5.0,0.1972425,7.185,4.276,1.036,0.529367,5.18804997,94.419434,176.91832,88.422234
5,7.301029995663981,332.784,101.345,2.107,0.763,0.151,0.827,0.259,0.353,0.79,0.7,0.194,0.343,0.239,0.579,0.218,0.48,0.562,4.0,0.240063,7.979,3.144,1.047,0.522737,7.37161362,66.832069,164.930618,78.277649
6,4.721246399047171,14.654,5.009,0.586,0.724,0.157,0.531,0.406,0.342,0.421,0.214,0.089,0.281,0.151,0.292,0.168,0.426,0.241,4.0,0.1017286,6.022,3.315,1.011,0.407672,2.69984397,75.205551,1000.156616,73.527817
8,7.096910013008056,12.971,7.608,2.008,0.574,0.151,0.455,0.541,0.438,0.291,0.517,0.165,0.511,0.233,0.586,0.231,0.478,0.324,8.0,0.2783248,7.074,2.973,1.071,0.431322,7.29941245,56.491692,1006.141296,76.633629
9,7.522878745280337,191.33,7.894,3.379,0.944,0.153,0.496,0.392,0.471,0.541,0.182,0.325,0.25,0.389,0.229,0.418,0.453,0.35,5.0,0.1141075,6.957,5.449,1.024,0.488593,3.53015947,46.1502,166.339584,60.043919
10,7.0,12.977,5.044,2.519,0.632,0.151,0.449,0.489,0.362,0.482,0.285,0.267,0.363,0.28,0.377,0.243,0.433,0.345,5.0,0.3164624,7.308,2.939,1.084,0.427241,9.18677406,79.651604,156.250427,87.913712
11,7.522878745280337,116.924,6.158,1.589,0.938,0.149,0.124,0.361,0.359,0.044,0.227,0.148,0.294,0.208,0.298,0.26,0.281,0.14,3.0,0.1408706,7.195,2.905,1.018,0.510465,4.17209845,72.742195,152.312332,87.257248
