mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
25,8.0,6.03,147.18,4.024,0.817,0.968,0.164,0.345,0.576,0.24,0.351,0.349,0.122,0.427,0.128,0.394,0.236,0.387,0.274,2.0,0.1836379,5.419,4.31,1.022,0.46265,3.6579717,50.86422,144.012894,89.330978
26,8.0,6.91,15.439,3.099,0.801,0.798,0.164,0.554,0.381,0.18,0.974,0.103,0.177,0.2,0.125,0.222,0.137,0.372,0.418,1.0,0.1968508,6.084,3.178,1.014,0.468364,2.74031063,58.769455,110.38166,41.192993
27,8.0,4.21,349.272,10.223,1.431,0.968,0.156,0.785,0.266,0.333,0.76,0.208,0.141,0.186,0.191,0.156,0.309,0.461,0.37,10.0,0.1709305,5.733,3.042,1.019,0.477662,3.63110838,53.949375,105.945648,61.038929
28,8.0,0.17,17.666,3.218,1.159,0.801,0.16,0.572,0.402,0.268,0.705,0.185,0.206,0.251,0.178,0.253,0.294,0.414,0.365,9.0,0.1766217,5.797,4.612,1.013,0.47741,5.10361879,48.846561,149.702957,49.902145
29,7.301029995663981,2.39,143.807,109.554,3.065,0.561,0.157,0.136,0.181,0.411,0.376,0.094,0.191,0.109,0.251,0.043,0.293,0.243,0.22,5.0,0.1324579,6.252,3.266,1.083,0.473234,6.55983628,43.831997,111.274757,66.669693
30,6.721246399047171,4.95,25.487,3.72,1.132,0.84,0.155,0.545,0.404,0.229,0.516,0.21,0.121,0.287,0.141,0.254,0.181,0.392,0.282,4.0,0.1689107,6.366,3.47,1.02,0.523958,3.58654241,63.381741,128.726532,48.108032
31,6.102372908709558,7.66,16.174,6.538,0.89,0.685,0.153,0.507,0.451,0.297,0.289,0.462,0.134,0.412,0.168,0.589,0.225,0.418,0.295,2.0,0.3307967,6.384,3.471,1.075,0.432561,7.05827502,86.482727,156.092438,128.989883
32,7.0,0.34,29.522,1.586,1.068,0.918,0.156,0.546,0.343,0.215,0.369,0.157,0.078,0.198,0.117,0.273,0.12,0.368,0.201,5.0,0.1308895,6.303,3.641,1.02,0.508304,2.86157686,65.483078,158.887512,66.97271
33,7.301029995663981,8.52,362.234,22.48,1.415,0.938,0.156,0.527,0.543,0.406,0.423,0.61,0.221,0.478,0.284,0.86,0.176,0.492,0.418,8.0,0.2122191,6.547,4.304,1.011,0.520946,2.02816118,66.177452,140.454407,78.115257
34,7.301029995663981,8.53,218.413,7.339,1.496,0.961,0.159,0.926,0.495,0.5,0.92,0.433,0.171,0.452,0.252,0.312,0.323,0.64,0.508,6.0,0.2168238,5.955,4.373,1.013,0.509433,2.59230411,41.552094,114.892609,36.318726
35,7.154901959985743,8.32,185.808,6.651,1.074,0.96,0.158,0.692,0.387,0.412,0.715,0.241,0.223,0.272,0.238,0.321,0.225,0.497,0.393,6.0,0.2006714,6.164,4.598,1.011,0.504478,1.85910929,57.638847,120.345268,48.038235
36,6.920818753952375,8.37,24.503,3.27,2.159,0.819,0.153,0.58,0.403,0.305,0.434,0.209,0.106,0.268,0.145,0.296,0.14,0.429,0.25,8.0,0.2300384,6.588,5.052,1.012,0.498082,3.19502755,60.078049,203.841721,55.732254
37,6.721246399047171,2.69,21.914,3.35,2.385,0.793,0.154,0.561,0.453,0.342,0.561,0.19,0.303,0.283,0.202,0.182,0.246,0.452,0.351,7.0,0.2410421,6.768,4.903,1.012,0.508502,3.66964775,62.713524,140.667389,90.107841
38,5.5003129173815966,5.04,147.699,3.335,2.232,0.964,0.152,0.63,0.367,0.33,0.597,0.502,0.18,0.314,0.195,0.757,0.18,0.442,0.426,6.0,0.1724917,7.453,4.068,1.013,0.558603,4.88879314,83.004677,153.663284,70.066246
39,6.200659450546418,4.9,28.633,2.086,1.573,0.887,0.155,0.565,0.313,0.38,0.562,0.537,0.137,0.238,0.195,0.888,0.214,0.419,0.412,4.0,0.1980348,6.839,4.543,1.009,0.559991,2.23221807,70.504295,170.614792,78.001915
40,7.522878745280337,5.13,405.102,12.234,1.038,0.968,0.155,0.806,0.436,0.303,0.807,0.203,0.119,0.287,0.167,0.246,0.192,0.515,0.376,6.0,0.061221,6.391,3.471,1.01,0.498041,2.33785998,64.75943,153.950409,59.922684
41,7.301029995663981,4.7,26.353,1.584,0.747,0.919,0.158,0.548,0.339,0.246,0.599,0.162,0.065,0.198,0.103,0.254,0.132,0.378,0.275,4.0,0.196003,5.835,4.908,1.02,0.530563,4.29666055,59.394157,158.81546,79.207664
42,8.0,4.38,21.377,3.447,2.022,0.796,0.155,0.597,0.357,0.257,0.559,0.224,0.257,0.227,0.179,0.299,0.312,0.404,0.347,5.0,0.1743912,6.373,3.247,1.023,0.49041,3.0553457,85.481621,150.496399,72.841904
43,8.0,3.41,19.715,4.403,0.917,0.788,0.156,0.565,0.462,0.275,0.367,0.288,0.102,0.319,0.143,0.384,0.157,0.434,0.252,3.0,0.1540486,6.121,3.706,1.046,0.447331,5.88246162,71.636948,148.791901,49.555588
44,6.823908740944319,7.72,229.038,80.637,2.156,0.734,0.153,0.573,0.36,0.32,0.579,0.185,0.219,0.301,0.202,0.119,0.365,0.417,0.328,6.0,0.2337165,6.84,4.618,1.021,0.598271,3.70139447,67.286217,119.811905,80.716331
45,6.920818753952375,5.59,178.403,13.957,1.71,0.919,0.151,0.515,0.478,0.431,0.448,0.507,0.134,0.447,0.213,0.388,0.279,0.475,0.363,7.0,0.1103631,6.728,3.144,1.01,0.598626,2.32619355,59.817268,151.367264,100.760849
46,8.0,8.09,16.481,5.893,1.082,0.703,0.155,0.516,0.335,0.318,0.386,0.216,0.07,0.25,0.134,0.288,0.143,0.39,0.224,1.0,0.1404814,6.108,4.207,1.016,0.438893,2.94405729,53.346622,145.718155,71.785995
47,8.0,9.41,109.96,7.156,2.976,0.916,0.153,0.193,0.398,0.374,0.312,0.397,0.154,0.35,0.237,0.302,0.176,0.321,0.288,4.0,0.2269559,6.922,2.973,1.026,0.49675,5.21955807,48.373177,145.696686,87.610535
48,8.0,9.04,15.822,6.107,1.103,0.687,0.155,0.525,0.347,0.296,0.688,0.178,0.101,0.243,0.133,0.232,0.198,0.389,0.322,6.0,0.169738,6.642,3.11,1.023,0.476853,2.80224858,71.512589,153.874969,89.260208
49,8.0,4.17,15.948,6.137,1.048,0.689,0.155,0.518,0.349,0.323,0.585,0.182,0.232,0.247,0.175,0.237,0.454,0.397,0.333,7.0,0.1878593,6.425,3.007,1.013,0.46793,2.85373504,66.336365,137.855988,81.533218
50,7.698970004336019,3.15,363.402,12.607,1.354,0.963,0.153,0.746,0.453,0.403,0.648,0.438,0.148,0.413,0.198,0.398,0.274,0.534,0.411,3.0,0.1564808,7.463,2.939,1.039,0.500383,5.53232655,54.338276,141.64209,74.564705
51,7.698970004336019,3.62,264.406,56.123,3.677,0.816,0.155,0.432,0.056,0.372,0.335,0.075,0.215,0.026,0.287,0.014,0.246,0.287,0.208,5.0,0.0565496,6.647,3.144,1.032,0.452711,4.44110392,84.016129,158.750992,67.099716
52,7.698970004336019,6.35,233.409,8.24,1.237,0.961,0.153,0.942,0.339,0.314,0.969,0.232,0.247,0.262,0.212,0.16,0.385,0.532,0.483,4.0,0.2083732,7.515,2.802,1.041,0.512342,5.42423745,45.397488,139.829056,76.482002
53,7.698970004336019,0.01,16.745,6.03,1.005,0.704,0.155,0.514,0.351,0.375,0.674,0.243,0.103,0.26,0.166,0.321,0.188,0.413,0.34,7.0,0.0776642,6.318,3.178,1.002,0.496476,3.34450592,87.906067,151.307373,78.119339
54,7.397940008672037,0.9,323.332,145.57,10.284,0.675,0.153,0.894,0.17,0.36,1.116,0.161,0.547,0.156,0.346,0.048,0.59,0.475,0.608,6.0,0.1302903,7.094,2.939,1.038,0.536476,6.38676754,101.896561,145.132874,76.278702
55,8.0,3.74,164.126,133.201,4.434,0.544,0.151,0.263,0.102,0.341,0.386,0.083,0.206,0.064,0.248,0.029,0.321,0.235,0.225,5.0,0.0651618,7.119,3.076,1.024,0.510805,4.35193757,73.628128,159.327713,86.653015
56,5.300162274132754,6.46,345.565,10.846,1.551,0.965,0.152,0.964,0.423,0.433,1.061,0.395,0.106,0.389,0.194,0.586,0.237,0.607,0.521,5.0,0.0911817,6.912,4.481,1.03,0.47467,4.33089225,111.063171,172.552292,94.775314
57,4.500312917381596,0.34,19.364,8.122,1.1,0.677,0.15,0.561,0.357,0.408,0.653,0.193,0.19,0.248,0.222,0.215,0.322,0.442,0.346,0.0,0.2140225,7.523,4.113,1.021,0.523306,5.64922941,87.434814,173.436127,97.082085
58,5.100179497572904,9.5,241.951,10.461,2.102,0.951,0.152,0.661,0.462,0.433,0.644,0.444,0.382,0.407,0.309,0.573,0.428,0.519,0.49,6.0,0.3286533,6.654,4.181,1.106,0.405959,8.87253621,66.57502,184.943314,87.617012
59,4.508638306165727,6.48,235.93,5.57,2.588,0.967,0.15,0.762,0.555,0.401,0.888,0.461,0.386,0.491,0.324,0.442,0.473,0.573,0.578,6.0,0.4252425,6.853,3.908,1.116,0.423621,7.78335406,70.511269,151.64978,70.505119
60,5.300162274132754,2.78,24.422,7.081,1.091,0.749,0.148,0.538,0.303,0.315,0.44,0.184,0.102,0.215,0.154,0.251,0.174,0.385,0.242,7.0,0.177848,7.444,4.045,1.03,0.530668,5.36116532,55.020164,206.62355,71.373856
61,6.823908740944319,1.22,240.613,57.721,4.374,0.795,0.153,0.559,0.087,0.433,0.451,0.03,0.297,0.05,0.344,0.022,0.287,0.36,0.259,4.0,0.2604002,6.546,5.484,1.04,0.427281,4.44653988,117.083298,207.747009,92.929024
62,6.508638306165727,3.56,45.282,12.104,1.125,0.774,0.153,0.043,0.455,0.388,0.047,0.003,0.174,0.043,0.209,0.018,0.331,0.295,0.075,6.0,0.0560197,6.973,2.973,1.045,0.525438,4.98090464,79.41185,164.375519,91.177826
63,7.301029995663981,6.34,199.089,6.523,1.859,0.96,0.149,0.786,0.329,0.377,0.753,0.368,0.192,0.28,0.224,0.544,0.287,0.498,0.438,3.0,0.1148268,7.837,3.11,1.04,0.541626,5.09646328,65.231293,163.078186,92.030136
64,6.0,6.39,313.199,14.481,2.061,0.95,0.151,0.735,0.411,0.389,0.74,0.43,0.425,0.385,0.279,0.374,0.397,0.511,0.532,3.0,0.2037491,7.53,4.548,1.053,0.511459,5.19808435,84.549744,154.131149,107.086571
65,5.903089986991944,8.65,225.071,5.161,1.523,0.971,0.155,0.332,0.351,0.279,0.231,0.325,0.12,0.289,0.145,0.4,0.152,0.321,0.225,3.0,0.1436322,6.778,3.007,1.03,0.468461,4.73282186,82.823303,165.472427,94.515396
66,5.600326278518962,2.23,181.445,13.939,2.324,0.918,0.153,0.176,0.468,0.368,0.234,0.25,0.13,0.366,0.19,0.228,0.187,0.337,0.204,2.0,0.1368073,7.157,3.11,1.039,0.524908,3.67708216,72.918251,136.199417,88.263237
67,6.0,4.16,15.856,6.253,0.976,0.687,0.156,0.515,0.349,0.367,0.708,0.317,0.101,0.285,0.16,0.285,0.212,0.411,0.375,5.0,0.1161315,6.672,3.11,1.036,0.499906,3.63500801,68.46402,158.248672,92.840034
68,5.400116927926312,5.19,32.095,5.499,2.619,0.798,0.153,0.045,0.608,0.3,0.299,0.626,0.37,0.548,0.243,0.214,0.555,0.318,0.432,3.0,0.3691081,6.801,2.973,1.077,0.421689,9.58180471,54.000561,153.331177,109.943405
69,6.102372908709558,6.02,23.796,5.6,0.925,0.785,0.151,0.558,0.318,0.284,0.524,0.303,0.082,0.27,0.135,0.323,0.153,0.387,0.303,5.0,0.1382708,7.664,3.178,1.028,0.536537,5.01091831,85.84745,196.045258,80.85302
