mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,16.761,2.308,1.424,0.818,0.163,0.548,0.366,0.381,0.603,0.187,0.179,0.225,0.215,0.23,0.162,0.432,0.323,7.0,0.1567852,5.723,4.476,1.063,0.444868,4.29511284,41.200203,98.184319,75.527756
2,7.698970004336019,20.089,5.119,1.459,0.753,0.151,0.461,0.36,0.414,0.487,0.301,0.181,0.301,0.224,0.398,0.297,0.412,0.323,4.0,0.210957,6.936,3.042,1.04,0.5064,5.00160424,58.618103,142.522919,92.905304
3,8.0,18.077,4.874,0.869,0.759,0.153,0.44,0.436,0.323,0.43,0.356,0.081,0.355,0.142,0.492,0.156,0.4,0.289,5.0,0.2122127,6.556,3.007,1.038,0.472729,5.16477899,51.630821,146.497452,96.306702
4,8.0,23.71,5.331,1.155,0.785,0.149,0.478,0.35,0.298,0.337,0.3,0.109,0.286,0.165,0.462,0.176,0.376,0.249,4.0,0.2375244,7.65,4.447,1.034,0.503423,4.51789808,81.366379,177.281433,96.631195
5,7.301029995663981,292.119,26.551,3.733,0.906,0.151,0.942,0.037,0.426,0.879,0.101,0.32,0.029,0.337,0.25,0.419,0.468,0.433,3.0,0.1357103,7.443,3.178,1.045,0.531803,7.30391956,70.688866,172.720245,67.265625
6,4.721246399047171,14.57,5.018,0.752,0.716,0.157,0.534,0.396,0.344,0.422,0.207,0.093,0.274,0.152,0.277,0.176,0.425,0.241,5.0,0.100155,6.063,3.007,1.011,0.407824,2.46570972,56.91795,1012.062073,75.246109
8,7.096910013008056,9.709,5.43,2.365,0.555,0.151,0.479,0.541,0.328,0.341,0.637,0.135,0.564,0.172,0.691,0.167,0.449,0.371,6.0,0.3345951,5.989,2.836,1.064,0.388264,6.48370638,81.492165,1005.550049,69.642159
9,7.522878745280337,315.307,8.369,3.751,0.963,0.153,0.802,0.5,0.442,0.892,0.246,0.288,0.337,0.288,0.344,0.38,0.581,0.475,3.0,0.1564448,6.331,5.044,1.029,0.488625,4.09264747,66.063133,172.261307,42.843796
10,7.0,154.358,7.399,1.155,0.947,0.151,0.329,0.454,0.285,0.502,0.217,0.158,0.297,0.163,0.277,0.157,0.356,0.292,3.0,0.3764844,6.474,2.871,1.059,0.441993,8.08657776,61.610069,152.86676,93.495033
11,7.522878745280337,33.939,8.34,2.475,0.758,0.149,0.119,0.392,0.151,0.063,0.158,0.003,0.245,0.016,0.246,0.026,0.221,0.075,4.0,0.1505621,7.644,3.042,1.015,0.509562,2.64507624,68.213264,174.180267,86.404961
