mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101
1,9.154901959985745,8.62,9.488,2.702,1.921,0.672,0.156,0.488,0.345,0.405,0.342,0.174,0.32,0.24,0.351,0.289,0.413,0.368
2,9.30102999566398,4.37,7.632,2.825,2.405,0.593,0.156,0.513,0.368,0.422,0.337,0.259,0.331,0.323,0.419,0.157,0.434,0.411
3,6.214670164989233,2.57,16.742,2.213,1.187,0.831,0.151,0.467,0.378,0.31,0.191,0.081,0.239,0.148,0.397,0.143,0.385,0.265
4,7.920818753952375,9.98,13.776,2.565,1.723,0.763,0.151,0.473,0.399,0.348,0.239,0.14,0.269,0.207,0.407,0.213,0.407,0.303
6,7.823908740944319,1.49,210.612,5.646,1.48,0.967,0.156,0.823,0.403,0.453,0.377,0.16,0.351,0.251,0.256,0.288,0.56,0.492
7,7.207608310501746,4.12,10.597,2.593,2.305,0.684,0.163,0.546,0.462,0.461,0.253,0.204,0.291,0.28,0.37,0.28,0.49,0.326
8,8.619788758288394,2.39,50.449,13.395,1.862,0.768,0.153,0.05,0.468,0.488,0.002,0.201,0.562,0.34,0.753,0.436,0.335,0.283
9,7.341988603342887,3.1,190.646,38.154,2.903,0.823,0.165,0.575,0.035,0.484,0.001,0.125,0.007,0.383,0.014,0.534,0.365,0.306
10,8.698970004336019,7.53,250.055,5.333,2.562,0.969,0.155,0.958,0.454,0.428,0.317,0.24,0.362,0.284,0.346,0.37,0.613,0.519
12,7.744727494896693,0.59,197.646,10.032,0.852,0.948,0.154,0.474,0.496,0.427,0.548,0.231,0.475,0.274,0.39,0.314,0.466,0.399
13,7.552841968657781,0.22,16.249,2.121,1.144,0.833,0.153,0.545,0.41,0.388,0.297,0.123,0.324,0.19,0.511,0.193,0.448,0.309
14,8.017728766960431,4.69,97.36,10.888,2.946,0.876,0.153,0.143,0.443,0.437,0.364,0.195,0.446,0.27,0.574,0.352,0.341,0.293
