mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
33,7.886056647693163,218.952,9.456,1.108,0.954,0.154,0.31,0.408,0.332,0.391,0.072,0.143,0.472,0.164,0.35,0.268
34,8.494850021680094,12.517,2.681,1.441,0.752,0.159,0.485,0.401,0.307,0.237,0.083,0.151,0.393,0.15,0.398,0.273
35,7.045757490560675,7.255,3.718,1.013,0.605,0.166,0.519,0.43,0.27,0.235,0.103,0.127,0.368,0.238,0.406,0.266
36,8.585026652029182,237.08,8.918,0.967,0.96,0.154,0.84,0.471,0.313,0.312,0.076,0.14,0.497,0.168,0.542,0.415
37,8.214670164989233,267.701,39.909,2.816,0.862,0.155,0.928,0.065,0.384,0.003,0.158,0.236,0.026,0.254,0.459,0.334
38,8.346787486224656,11.765,3.689,0.882,0.72,0.155,0.476,0.361,0.356,0.178,0.079,0.163,0.35,0.167,0.398,0.324
39,8.823908740944319,147.629,31.579,4.153,0.805,0.153,0.266,0.029,0.388,0.003,0.02,0.461,0.013,0.325,0.228,0.167
40,8.698970004336019,6.123,4.273,0.951,0.54,0.162,0.519,0.41,0.289,0.186,0.197,0.161,0.266,0.394,0.406,0.267
41,6.823908740944319,298.918,128.46,3.887,0.693,0.162,0.665,0.296,0.369,0.14,0.251,0.243,0.161,0.341,0.443,0.32
42,8.55284196865778,155.17,6.868,1.071,0.951,0.163,0.197,0.508,0.447,0.451,0.174,0.249,0.557,0.271,0.384,0.256
43,7.744727494896693,223.676,33.734,4.165,0.855,0.163,0.903,0.037,0.454,0.005,0.004,0.247,0.015,0.353,0.465,0.337
44,8.886056647693163,7.617,2.929,0.909,0.665,0.161,0.534,0.474,0.305,0.278,0.061,0.13,0.47,0.132,0.438,0.276
45,9.045757490560677,10.258,3.739,0.964,0.686,0.156,0.498,0.341,0.324,0.189,0.107,0.165,0.331,0.144,0.388,0.293
46,8.886056647693163,16.049,3.518,0.596,0.796,0.151,0.478,0.427,0.256,0.212,0.042,0.096,0.349,0.099,0.387,0.268
47,8.0,7.174,3.919,0.708,0.608,0.162,0.536,0.468,0.291,0.255,0.047,0.113,0.407,0.112,0.432,0.263
49,9.221848749616356,192.379,135.506,5.211,0.578,0.151,0.252,0.188,0.457,0.16,0.563,0.435,0.338,0.335,0.299,0.31
50,8.522878745280337,9.122,6.007,0.686,0.577,0.154,0.372,0.469,0.282,0.325,0.053,0.116,0.473,0.135,0.374,0.241
51,8.481486060122112,6.674,6.061,1.69,0.463,0.152,0.412,0.443,0.446,0.316,0.216,0.286,0.358,0.241,0.434,0.312
52,8.275724130399212,7.222,4.175,1.67,0.553,0.156,0.455,0.548,0.499,0.341,0.16,0.272,0.434,0.243,0.501,0.344
53,8.67778070526608,167.503,41.727,5.792,0.779,0.152,0.2,0.067,0.404,0.051,0.475,0.422,0.097,0.552,0.224,0.209
54,8.585026652029182,145.923,5.271,1.322,0.957,0.154,0.186,0.429,0.451,0.291,0.142,0.241,0.52,0.274,0.355,0.255
55,8.585026652029182,11.035,5.505,0.836,0.635,0.153,0.378,0.451,0.283,0.382,0.053,0.12,0.442,0.133,0.371,0.262
56,8.0,8.081,4.033,1.303,0.602,0.155,0.462,0.544,0.386,0.381,0.088,0.176,0.54,0.188,0.464,0.316
57,7.552841968657781,6.478,5.249,1.935,0.474,0.155,0.459,0.493,0.505,0.357,0.184,0.296,0.335,0.322,0.486,0.355
58,7.997833938243493,6.648,5.973,1.353,0.476,0.156,0.437,0.48,0.514,0.312,0.339,0.373,0.368,0.27,0.477,0.34
59,8.3767507096021,415.104,213.16,97.405,0.572,0.153,0.564,0.403,0.485,0.374,0.441,0.48,0.453,0.444,0.484,0.541
60,8.301029995663981,8.556,6.895,1.116,0.516,0.151,0.434,0.381,0.376,0.387,0.141,0.196,0.237,0.2,0.397,0.379
61,7.920818753952375,9.556,6.967,0.925,0.548,0.151,0.378,0.446,0.371,0.327,0.129,0.188,0.306,0.266,0.398,0.342
62,8.769551078621726,166.707,7.359,2.282,0.945,0.148,0.181,0.422,0.235,0.391,0.327,0.22,0.536,0.147,0.279,0.326
