mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107
1,9.154901959985745,9.187,2.462,2.052,0.671,0.156,0.509,0.382,0.406,0.317,0.221,0.325,0.262,0.398,0.171,0.432,0.378,106.627
2,9.30102999566398,186.125,5.946,2.589,0.956,0.156,0.288,0.471,0.384,0.36,0.278,0.391,0.29,0.52,0.435,0.381,0.33,4664.717
3,6.214670164989233,12.835,2.417,1.872,0.75,0.151,0.472,0.462,0.495,0.196,0.208,0.276,0.295,0.368,0.282,0.476,0.321,134.768
4,7.920818753952375,339.358,66.075,6.691,0.823,0.151,0.583,0.125,0.44,0.047,0.545,0.073,0.49,0.096,0.719,0.382,0.373,175574.176
6,7.823908740944319,12.581,2.496,1.754,0.747,0.156,0.523,0.476,0.423,0.276,0.146,0.322,0.23,0.464,0.224,0.474,0.32,129.791
7,7.207608310501746,13.912,2.488,1.363,0.783,0.158,0.54,0.463,0.337,0.244,0.134,0.297,0.19,0.442,0.192,0.446,0.3,121.894
8,8.619788758288394,14.997,2.576,1.034,0.806,0.154,0.493,0.404,0.331,0.258,0.074,0.28,0.145,0.425,0.15,0.41,0.294,115.36
9,7.341988603342887,179.709,4.464,1.315,0.969,0.165,0.272,0.4,0.445,0.374,0.148,0.374,0.25,0.498,0.247,0.372,0.308,2284.852
10,8.698970004336019,13.135,2.678,1.235,0.77,0.156,0.487,0.439,0.335,0.243,0.138,0.289,0.188,0.375,0.207,0.42,0.336,115.217
12,7.744727494896693,229.385,76.351,0.851,0.748,0.154,0.913,0.158,0.453,0.136,0.167,0.119,0.244,0.164,0.306,0.508,0.385,32991.864
13,7.552841968657781,13.354,2.97,1.187,0.763,0.153,0.549,0.458,0.426,0.324,0.103,0.34,0.202,0.455,0.208,0.478,0.329,123.64
14,8.017728766960431,12.724,3.307,1.295,0.734,0.153,0.531,0.404,0.369,0.324,0.106,0.31,0.177,0.351,0.187,0.435,0.344,134.666
15,8.920818753952375,10.172,2.918,0.859,0.729,0.159,0.508,0.38,0.292,0.207,0.087,0.268,0.136,0.416,0.12,0.393,0.327,80.372
16,7.301029995663981,11.016,2.497,0.809,0.769,0.16,0.514,0.401,0.309,0.275,0.054,0.304,0.124,0.475,0.127,0.408,0.268,75.023
17,8.537602002101044,199.413,6.025,1.221,0.965,0.159,0.267,0.419,0.444,0.808,0.148,0.506,0.248,1.073,0.241,0.376,0.405,3126.254
19,7.494850021680094,122.003,10.169,2.428,0.906,0.153,0.215,0.449,0.404,0.391,0.188,0.409,0.253,0.424,0.253,0.356,0.312,4708.062
20,7.657577319177793,179.631,9.762,1.942,0.939,0.147,0.203,0.462,0.433,0.521,0.239,0.489,0.293,0.602,0.409,0.366,0.281,5717.222
