mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101
1,9.154901959985745,1.13,268.438,4.506,1.952,0.977,0.156,0.963,0.402,0.468,0.326,0.291,0.317,0.315,0.237,0.328,0.611,0.548
2,9.30102999566398,5.26,7.715,2.871,2.427,0.593,0.156,0.516,0.433,0.39,0.281,0.22,0.28,0.245,0.452,0.151,0.447,0.383
3,6.214670164989233,8.34,170.542,2.248,1.882,0.976,0.151,0.56,0.362,0.41,0.255,0.177,0.257,0.266,0.374,0.255,0.444,0.304
4,7.920818753952375,5.92,8.949,4.289,2.376,0.573,0.151,0.566,0.485,0.432,0.251,0.248,0.339,0.286,0.397,0.411,0.495,0.375
6,7.823908740944319,1.43,68.579,9.747,1.259,0.862,0.156,0.127,0.429,0.342,0.473,0.101,0.457,0.171,0.596,0.217,0.3,0.235
7,7.207608310501746,8.29,260.419,12.392,1.284,0.95,0.158,0.851,0.485,0.412,0.359,0.232,0.432,0.257,0.326,0.377,0.583,0.451
8,8.619788758288394,7.77,13.226,2.529,1.587,0.763,0.153,0.502,0.38,0.35,0.234,0.111,0.258,0.182,0.381,0.193,0.411,0.306
9,7.341988603342887,1.39,40.054,5.791,0.876,0.857,0.165,0.041,0.469,0.272,0.018,0.06,0.281,0.123,0.396,0.118,0.261,0.027
10,8.698970004336019,1.52,134.123,6.163,1.468,0.946,0.155,0.281,0.374,0.37,0.442,0.154,0.398,0.213,0.615,0.251,0.342,0.342
12,7.744727494896693,0.06,9.831,3.847,1.806,0.635,0.154,0.503,0.477,0.525,0.22,0.3,0.309,0.331,0.383,0.395,0.502,0.345
13,7.552841968657781,0.22,16.249,2.121,1.144,0.833,0.153,0.545,0.41,0.388,0.297,0.123,0.324,0.19,0.511,0.193,0.448,0.309
14,8.017728766960431,6.29,158.475,24.08,2.339,0.857,0.153,0.303,0.06,0.398,0.019,0.006,0.029,0.052,0.044,0.119,0.254,0.116
15,8.920818753952375,3.01,249.542,132.365,1.134,0.651,0.159,0.446,0.291,0.383,0.343,0.13,0.329,0.199,0.319,0.223,0.373,0.328
