mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
1,9.154901959985745,8.17,129.605,7.348,1.817,0.934,0.156,0.191,0.385,0.395,0.306,0.198,0.319,0.248,0.342,0.267,0.324,0.262,0.315
2,9.30102999566398,8.46,98.572,5.157,2.965,0.924,0.156,0.123,0.45,0.425,0.652,0.297,0.517,0.337,0.681,0.188,0.333,0.354,0.312
3,6.214670164989233,2.35,370.925,193.679,117.149,0.544,0.151,0.599,0.272,0.226,0.19,0.126,0.239,0.173,0.163,0.165,0.366,0.347,0.346
4,7.920818753952375,0.0,14.016,2.422,1.813,0.768,0.152,0.472,0.39,0.361,0.233,0.139,0.262,0.211,0.396,0.219,0.408,0.299,0.422
6,7.823908740944319,5.34,13.786,2.571,1.435,0.775,0.156,0.531,0.468,0.41,0.289,0.119,0.329,0.203,0.477,0.205,0.47,0.32,0.447
7,7.207608310501746,2.84,387.859,3.708,2.211,0.985,0.158,0.973,0.419,0.446,0.137,0.207,0.218,0.275,0.222,0.314,0.613,0.442,0.503
8,8.619788758288394,6.24,15.161,2.365,1.116,0.813,0.153,0.489,0.373,0.41,0.228,0.087,0.252,0.175,0.372,0.188,0.424,0.284,0.41
9,7.341988603342887,0.71,7.462,2.89,0.857,0.666,0.165,0.588,0.436,0.292,0.284,0.046,0.319,0.113,0.465,0.106,0.439,0.283,0.397
10,8.698970004336019,2.85,238.024,113.873,1.463,0.674,0.155,0.615,0.127,0.494,0.125,0.223,0.107,0.321,0.048,0.252,0.412,0.303,0.263
12,7.744727494896693,5.04,168.441,10.87,0.957,0.934,0.154,0.183,0.534,0.328,0.551,0.084,0.553,0.144,0.7,0.18,0.348,0.245,0.318
13,7.552841968657781,3.3,123.017,10.527,2.79,0.902,0.153,0.207,0.465,0.443,0.396,0.259,0.445,0.309,0.404,0.339,0.372,0.336,0.358
14,8.017728766960431,4.49,13.41,3.269,1.205,0.75,0.153,0.529,0.41,0.356,0.3,0.128,0.297,0.179,0.355,0.165,0.432,0.341,0.428
15,8.920818753952375,3.62,10.637,2.785,0.921,0.742,0.159,0.495,0.366,0.301,0.214,0.087,0.263,0.141,0.41,0.123,0.388,0.297,0.365
16,7.301029995663981,1.4,70.784,9.748,0.97,0.869,0.159,0.062,0.511,0.28,0.507,0.055,0.491,0.12,0.703,0.151,0.284,0.211,0.294
17,8.537602002101044,0.24,10.178,2.795,0.974,0.73,0.159,0.506,0.37,0.319,0.2,0.092,0.259,0.146,0.255,0.165,0.399,0.356,0.506
19,7.494850021680094,0.44,78.352,3.875,1.674,0.934,0.153,0.132,0.511,0.401,0.319,0.124,0.356,0.2,0.492,0.246,0.348,0.203,0.274
20,7.657577319177793,7.94,17.431,3.147,1.313,0.796,0.147,0.562,0.434,0.327,0.255,0.113,0.306,0.17,0.446,0.174,0.441,0.324,0.459
21,7.958607314841775,2.79,170.732,5.541,1.768,0.959,0.149,0.61,0.426,0.391,0.236,0.127,0.326,0.203,0.274,0.276,0.476,0.386,0.441
22,7.017728766960431,9.29,186.383,3.683,1.461,0.973,0.162,0.509,0.463,0.511,0.301,0.185,0.371,0.279,0.469,0.318,0.494,0.266,0.355
23,8.080921907623926,5.6,320.152,237.485,3.703,0.57,0.153,0.596,0.633,0.488,0.312,0.233,0.428,0.325,0.304,0.309,0.572,0.328,0.36
24,8.769551078621726,9.26,9.926,2.464,1.437,0.718,0.156,0.51,0.42,0.365,0.214,0.112,0.306,0.181,0.522,0.18,0.432,0.342,0.426
25,7.481486060122112,0.77,10.546,2.765,0.938,0.74,0.161,0.497,0.43,0.318,0.219,0.062,0.296,0.127,0.293,0.123,0.415,0.357,0.499
27,7.958607314841775,5.94,30.652,17.881,8.678,0.536,0.153,0.073,0.048,0.218,0.002,0.001,0.008,0.012,0.014,0.026,0.113,0.027,0.037
28,8.031517051446064,0.06,15.545,2.482,1.041,0.815,0.153,0.527,0.387,0.357,0.255,0.084,0.277,0.161,0.436,0.166,0.424,0.298,0.412
30,8.229147988357855,2.5,446.788,21.621,0.977,0.952,0.151,0.987,0.523,0.376,0.671,0.141,0.607,0.201,0.562,0.336,0.629,0.61,0.62
31,8.568636235841012,9.42,415.335,10.514,3.132,0.968,0.156,0.962,0.477,0.44,0.408,0.204,0.439,0.295,0.27,0.321,0.626,0.534,0.497
32,8.022276394711152,1.45,13.342,3.249,0.726,0.77,0.156,0.465,0.404,0.343,0.229,0.082,0.283,0.142,0.376,0.137,0.404,0.277,0.368
33,7.886056647693163,8.99,211.411,110.507,1.394,0.654,0.154,0.716,0.135,0.468,0.04,0.171,0.071,0.26,0.045,0.301,0.44,0.373,0.424
34,8.494850021680094,4.05,10.099,3.396,1.756,0.662,0.159,0.508,0.52,0.41,0.253,0.22,0.331,0.288,0.414,0.325,0.479,0.319,0.447
35,7.045757490560675,4.79,7.16,3.887,0.871,0.601,0.16,0.526,0.467,0.308,0.259,0.123,0.313,0.143,0.406,0.29,0.434,0.287,0.427
36,8.585026652029182,1.37,91.905,4.998,2.27,0.927,0.154,0.157,0.39,0.424,0.493,0.182,0.405,0.263,0.439,0.372,0.324,0.265,0.293
37,8.214670164989233,9.01,167.333,5.408,0.907,0.964,0.155,0.552,0.444,0.283,0.306,0.072,0.337,0.126,0.371,0.136,0.427,0.379,0.417
38,8.346787486224656,8.53,222.409,10.524,2.086,0.946,0.154,0.728,0.443,0.45,0.408,0.187,0.414,0.283,0.361,0.266,0.54,0.43,0.433
39,8.823908740944319,4.24,66.188,10.27,3.248,0.83,0.153,0.079,0.484,0.359,0.529,0.199,0.545,0.243,0.571,0.341,0.307,0.26,0.315
40,8.698970004336019,9.93,250.25,3.63,0.974,0.982,0.162,0.66,0.477,0.32,0.226,0.192,0.308,0.175,0.236,0.443,0.486,0.414,0.426
41,6.823908740944319,4.53,71.388,6.339,2.98,0.885,0.162,0.064,0.479,0.371,0.03,0.299,0.496,0.338,0.66,0.4,0.304,0.111,0.362
42,8.55284196865778,5.46,6.992,3.937,0.564,0.608,0.163,0.539,0.485,0.26,0.233,0.067,0.311,0.107,0.388,0.131,0.428,0.265,0.375
43,7.744727494896693,1.54,6.175,4.059,0.939,0.553,0.165,0.531,0.436,0.304,0.219,0.051,0.279,0.122,0.35,0.115,0.424,0.256,0.36
44,8.886056647693163,9.79,7.846,3.105,0.88,0.663,0.161,0.534,0.464,0.289,0.261,0.056,0.316,0.121,0.456,0.121,0.429,0.265,0.39
45,9.045757490560677,7.88,160.122,78.465,2.585,0.664,0.156,0.2,0.138,0.375,0.143,0.372,0.121,0.382,0.066,0.554,0.238,0.229,0.239
