mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106
1,9.154901959985745,8.54,10.265,2.317,1.912,0.708,0.156,0.475,0.381,0.364,0.615,0.298,0.161,0.307,0.221,0.415,0.198,0.407,0.358,0.39
2,9.30102999566398,4.46,8.115,3.067,2.315,0.601,0.158,0.493,0.385,0.342,0.72,0.271,0.197,0.308,0.233,0.417,0.151,0.407,0.396,0.394
3,6.214670164989233,8.02,13.702,2.678,1.9,0.75,0.151,0.484,0.466,0.408,0.558,0.205,0.177,0.293,0.245,0.313,0.313,0.452,0.313,0.433
4,7.920818753952375,1.75,22.656,9.955,2.482,0.646,0.151,0.039,0.387,0.418,0.241,0.002,0.236,0.014,0.277,0.033,0.433,0.281,0.16,0.174
6,7.823908740944319,3.25,209.04,3.776,1.107,0.977,0.156,0.759,0.509,0.38,0.966,0.3,0.087,0.366,0.168,0.434,0.178,0.549,0.451,0.513
7,7.207608310501746,8.02,10.384,2.878,2.171,0.673,0.158,0.55,0.484,0.423,0.542,0.264,0.214,0.308,0.272,0.424,0.29,0.485,0.34,0.458
8,8.619788758288394,0.95,117.316,6.732,2.624,0.926,0.153,0.115,0.466,0.438,0.131,0.554,0.21,0.549,0.275,0.622,0.378,0.34,0.298,0.351
9,7.341988603342887,5.13,7.656,2.838,0.726,0.682,0.165,0.576,0.453,0.306,0.524,0.294,0.048,0.333,0.116,0.489,0.109,0.445,0.289,0.405
10,8.698970004336019,4.29,231.515,67.507,2.795,0.767,0.155,0.738,0.096,0.471,0.885,0.005,0.11,0.019,0.308,0.026,0.377,0.435,0.333,0.396
12,7.744727494896693,4.48,13.115,3.313,1.389,0.736,0.154,0.515,0.445,0.39,0.568,0.234,0.196,0.286,0.234,0.369,0.208,0.45,0.333,0.43
13,7.552841968657781,8.49,314.242,8.057,1.693,0.97,0.153,0.446,0.365,0.522,0.286,0.333,0.272,0.312,0.341,0.338,0.353,0.444,0.297,0.324
14,8.017728766960431,3.69,76.365,3.851,2.712,0.921,0.153,0.128,0.486,0.392,0.094,0.492,0.196,0.458,0.27,0.537,0.388,0.335,0.261,0.327
15,8.920818753952375,7.99,10.389,2.799,0.949,0.735,0.159,0.508,0.376,0.303,0.665,0.212,0.075,0.27,0.135,0.42,0.126,0.395,0.317,0.377
16,7.301029995663981,9.54,10.323,2.546,0.879,0.751,0.159,0.51,0.404,0.312,0.468,0.288,0.057,0.314,0.127,0.493,0.134,0.409,0.271,0.402
17,8.537602002101044,8.26,7.98,3.336,0.956,0.65,0.159,0.483,0.43,0.302,0.8,0.244,0.078,0.304,0.132,0.287,0.149,0.405,0.374,0.524
19,7.494850021680094,9.96,101.182,14.791,1.48,0.861,0.153,0.142,0.491,0.314,0.04,0.358,0.096,0.399,0.16,0.596,0.17,0.316,0.165,0.278
20,7.657577319177793,3.59,16.223,3.289,1.359,0.777,0.147,0.558,0.48,0.3,0.598,0.258,0.123,0.335,0.169,0.484,0.162,0.446,0.327,0.462
21,7.958607314841775,5.17,118.485,11.112,1.598,0.903,0.149,0.257,0.413,0.491,0.145,0.385,0.243,0.38,0.32,0.524,0.472,0.387,0.257,0.375
22,7.017728766960431,0.46,6.421,3.229,0.903,0.608,0.162,0.543,0.489,0.301,0.527,0.293,0.053,0.343,0.123,0.474,0.116,0.444,0.291,0.412
23,8.080921907623926,5.02,320.898,207.39,5.065,0.602,0.153,0.826,0.484,0.411,0.764,0.352,0.336,0.391,0.349,0.263,0.338,0.574,0.484,0.435
24,8.769551078621726,0.75,9.687,2.451,1.619,0.704,0.156,0.511,0.436,0.396,0.716,0.221,0.113,0.317,0.192,0.55,0.195,0.447,0.35,0.438
25,7.481486060122112,7.96,10.823,2.71,0.927,0.748,0.156,0.503,0.416,0.294,0.782,0.21,0.056,0.287,0.116,0.282,0.116,0.404,0.349,0.488
27,7.958607314841775,5.66,96.044,8.245,1.1,0.911,0.153,0.153,0.389,0.354,0.335,0.411,0.076,0.384,0.16,0.489,0.243,0.299,0.274,0.297
28,8.031517051446064,1.97,16.383,2.28,1.018,0.832,0.153,0.531,0.363,0.325,0.555,0.25,0.073,0.268,0.146,0.444,0.151,0.406,0.293,0.409
30,8.229147988357855,6.62,236.118,6.085,2.097,0.967,0.151,0.872,0.457,0.418,0.877,0.388,0.252,0.426,0.286,0.345,0.215,0.582,0.505,0.49
31,8.568636235841012,6.5,26.422,9.06,2.331,0.699,0.156,0.043,0.378,0.371,0.125,0.613,0.187,0.438,0.258,0.056,0.424,0.264,0.308,0.171
32,8.022276394711152,6.97,405.631,45.504,9.372,0.881,0.156,0.92,0.065,0.418,0.995,0.051,0.342,0.066,0.346,0.029,0.342,0.468,0.463,0.46
33,7.886056647693163,3.64,245.72,3.957,2.296,0.975,0.154,0.971,0.447,0.391,0.942,0.232,0.173,0.299,0.243,0.37,0.239,0.603,0.449,0.516
34,8.494850021680094,6.88,323.145,147.973,3.469,0.681,0.159,0.651,0.3,0.392,0.589,0.277,0.212,0.317,0.276,0.164,0.304,0.448,0.36,0.372
35,7.045757490560675,7.87,7.063,3.786,1.031,0.595,0.16,0.521,0.454,0.286,0.465,0.25,0.115,0.304,0.135,0.395,0.267,0.42,0.276,0.409
36,8.585026652029182,0.99,13.905,3.602,0.794,0.76,0.154,0.426,0.34,0.285,0.471,0.183,0.058,0.234,0.12,0.309,0.117,0.35,0.237,0.319
37,8.214670164989233,1.59,12.273,3.63,0.837,0.733,0.155,0.456,0.344,0.258,0.515,0.186,0.047,0.234,0.108,0.324,0.113,0.353,0.25,0.331
38,8.346787486224656,5.46,297.743,4.7,2.326,0.977,0.154,0.596,0.455,0.473,0.671,0.292,0.224,0.375,0.339,0.459,0.37,0.508,0.396,0.43
39,8.823908740944319,1.72,239.868,5.673,1.471,0.971,0.153,0.58,0.518,0.412,0.481,0.354,0.162,0.422,0.231,0.507,0.234,0.504,0.332,0.383
40,8.698970004336019,8.16,296.706,81.175,3.614,0.778,0.164,0.91,0.151,0.434,0.97,0.196,0.27,0.175,0.345,0.039,0.278,0.498,0.479,0.43
41,6.823908740944319,7.62,176.373,6.721,0.652,0.96,0.162,0.505,0.514,0.291,0.629,0.431,0.075,0.442,0.122,0.443,0.173,0.437,0.378,0.389
42,8.55284196865778,2.48,7.082,3.915,0.609,0.61,0.163,0.54,0.48,0.25,0.492,0.234,0.073,0.308,0.111,0.39,0.13,0.424,0.266,0.373
43,7.744727494896693,3.34,6.037,4.121,0.974,0.542,0.165,0.526,0.423,0.301,0.484,0.214,0.051,0.269,0.121,0.337,0.113,0.417,0.249,0.352
44,8.886056647693163,9.76,7.68,3.137,0.869,0.657,0.161,0.532,0.467,0.279,0.469,0.277,0.056,0.328,0.118,0.467,0.117,0.426,0.267,0.39
45,9.045757490560677,7.02,273.081,90.069,3.482,0.745,0.156,0.325,0.19,0.381,0.439,0.471,0.246,0.338,0.289,0.177,0.306,0.299,0.385,0.319
46,8.886056647693163,5.04,15.189,3.572,0.728,0.779,0.151,0.474,0.409,0.246,0.55,0.199,0.054,0.253,0.107,0.332,0.106,0.376,0.268,0.372
47,8.0,5.45,7.314,3.215,0.891,0.64,0.162,0.541,0.482,0.281,0.508,0.262,0.055,0.332,0.12,0.454,0.114,0.435,0.275,0.393
49,9.221848749616356,2.17,227.852,114.354,24.355,0.622,0.151,0.754,0.174,0.048,0.707,0.041,0.002,0.079,0.009,0.086,0.024,0.326,0.25,0.247
50,8.522878745280337,0.87,188.351,6.782,0.844,0.961,0.154,0.311,0.444,0.268,0.302,0.276,0.049,0.345,0.111,0.445,0.137,0.341,0.209,0.271
51,8.481486060122112,6.64,7.064,6.246,1.434,0.479,0.153,0.392,0.451,0.418,0.394,0.323,0.21,0.382,0.271,0.35,0.223,0.42,0.309,0.39
52,8.275724130399212,4.28,105.8,8.196,0.772,0.922,0.156,0.166,0.488,0.338,0.013,0.282,0.114,0.44,0.163,0.476,0.192,0.331,0.136,0.248
53,8.67778070526608,5.29,11.601,5.721,0.961,0.635,0.152,0.431,0.431,0.313,0.492,0.256,0.09,0.356,0.15,0.443,0.153,0.392,0.279,0.329
54,8.585026652029182,0.38,42.987,8.276,1.016,0.822,0.154,0.062,0.416,0.361,0.01,0.017,0.116,0.351,0.176,0.331,0.167,0.28,0.048,0.175
55,8.585026652029182,4.85,11.318,5.598,0.791,0.639,0.153,0.377,0.438,0.285,0.338,0.369,0.051,0.383,0.118,0.439,0.131,0.367,0.253,0.322
56,8.0,5.39,256.059,8.233,1.288,0.964,0.155,0.554,0.444,0.459,0.344,0.414,0.119,0.399,0.221,0.415,0.252,0.485,0.292,0.342
57,7.552841968657781,2.91,313.666,102.9,5.175,0.744,0.155,0.905,0.132,0.482,0.903,0.105,0.242,0.113,0.337,0.073,0.392,0.506,0.416,0.468
58,7.997833938243493,5.89,7.557,5.495,1.291,0.527,0.156,0.427,0.449,0.468,0.364,0.332,0.288,0.365,0.317,0.398,0.234,0.448,0.328,0.396
59,8.3767507096021,3.49,44.793,5.615,2.793,0.842,0.153,0.062,0.456,0.546,0.005,0.181,0.053,0.442,0.273,0.607,0.424,0.355,0.08,0.353
60,8.301029995663981,2.44,27.878,8.198,1.597,0.74,0.151,0.034,0.405,0.405,0.128,0.422,0.169,0.381,0.229,0.289,0.166,0.281,0.239,0.159
61,7.920818753952375,2.48,41.815,8.416,1.491,0.808,0.151,0.063,0.406,0.419,0.011,0.086,0.014,0.33,0.156,0.217,0.238,0.296,0.037,0.162
62,8.769551078621726,4.99,53.341,10.378,1.546,0.817,0.148,0.053,0.373,0.451,0.122,0.415,0.137,0.324,0.246,0.338,0.299,0.292,0.225,0.221
