mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
1,9.154901959985745,7.21,208.544,2.591,1.499,0.981,0.156,0.514,0.469,0.527,0.335,0.168,0.273,0.384,0.242,0.503,0.344
2,9.30102999566398,0.31,7.616,3.26,2.261,0.58,0.156,0.5,0.445,0.378,0.342,0.246,0.272,0.429,0.204,0.441,0.432
3,6.214670164989233,8.95,295.908,7.249,2.145,0.969,0.151,0.456,0.368,0.414,0.215,0.136,0.232,0.213,0.303,0.413,0.291
4,7.920818753952375,6.59,11.708,3.429,2.25,0.673,0.151,0.478,0.47,0.356,0.232,0.227,0.25,0.351,0.375,0.434,0.327
6,7.823908740944319,8.76,13.829,2.736,0.968,0.789,0.156,0.55,0.466,0.336,0.288,0.079,0.149,0.482,0.165,0.451,0.312
7,7.207608310501746,9.55,234.303,3.344,1.948,0.978,0.158,0.957,0.478,0.396,0.269,0.18,0.239,0.413,0.283,0.61,0.476
8,8.619788758288394,8.12,27.847,10.273,1.199,0.708,0.153,0.049,0.285,0.468,0.002,0.052,0.264,0.033,0.332,0.268,0.052
9,7.341988603342887,1.26,7.299,3.08,0.633,0.663,0.165,0.572,0.464,0.283,0.297,0.041,0.103,0.481,0.102,0.44,0.287
10,8.698970004336019,5.35,12.63,2.806,1.492,0.746,0.155,0.521,0.446,0.394,0.233,0.194,0.241,0.33,0.3,0.454,0.366
12,7.744727494896693,5.53,14.811,2.513,1.545,0.785,0.154,0.512,0.371,0.329,0.234,0.108,0.172,0.342,0.187,0.404,0.296
13,7.552841968657781,4.58,250.91,123.231,1.807,0.667,0.153,0.267,0.22,0.417,0.11,0.237,0.271,0.093,0.356,0.301,0.194
14,8.017728766960431,3.32,340.457,23.272,2.559,0.929,0.153,0.868,0.032,0.488,0.002,0.264,0.337,0.012,0.387,0.463,0.397
15,8.920818753952375,1.3,10.056,2.711,0.932,0.734,0.159,0.506,0.372,0.319,0.232,0.085,0.146,0.423,0.137,0.399,0.318
16,7.301029995663981,8.05,10.809,2.394,1.013,0.76,0.159,0.519,0.39,0.305,0.271,0.06,0.132,0.482,0.131,0.404,0.273
17,8.537602002101044,0.54,7.604,3.508,0.934,0.631,0.159,0.512,0.446,0.306,0.303,0.074,0.129,0.334,0.147,0.421,0.314
19,7.494850021680094,1.9,14.145,3.572,0.836,0.762,0.154,0.507,0.414,0.312,0.277,0.059,0.127,0.398,0.139,0.411,0.289
20,7.657577319177793,6.12,367.315,4.935,2.058,0.981,0.147,0.93,0.33,0.484,0.144,0.24,0.318,0.256,0.372,0.581,0.435
21,7.958607314841775,9.56,17.717,2.479,1.601,0.813,0.149,0.569,0.43,0.46,0.251,0.157,0.236,0.435,0.214,0.487,0.336
22,7.017728766960431,9.83,276.747,156.198,2.676,0.635,0.162,0.541,0.482,0.459,0.358,0.367,0.427,0.386,0.347,0.494,0.465
23,8.080921907623926,3.21,10.485,3.315,1.627,0.68,0.153,0.447,0.432,0.491,0.318,0.153,0.248,0.455,0.251,0.456,0.324
24,8.769551078621726,6.75,365.006,161.637,1.409,0.691,0.156,0.739,0.349,0.398,0.132,0.116,0.221,0.178,0.24,0.495,0.396
25,7.481486060122112,9.92,153.258,30.645,1.964,0.825,0.156,0.29,0.046,0.494,0.005,0.21,0.33,0.016,0.358,0.277,0.193
27,7.958607314841775,4.14,16.08,2.023,1.447,0.822,0.154,0.531,0.379,0.348,0.287,0.104,0.178,0.458,0.178,0.419,0.296
28,8.031517051446064,3.32,163.15,11.648,0.867,0.929,0.153,0.407,0.508,0.451,0.559,0.093,0.187,0.529,0.265,0.455,0.382
30,8.229147988357855,1.72,18.293,2.595,1.507,0.817,0.151,0.526,0.434,0.291,0.25,0.244,0.231,0.441,0.121,0.417,0.408
31,8.568636235841012,3.96,366.125,24.19,2.683,0.932,0.156,0.952,0.034,0.355,0.002,0.028,0.206,0.012,0.329,0.447,0.323
32,8.022276394711152,4.76,15.884,2.351,0.829,0.833,0.156,0.45,0.363,0.291,0.226,0.063,0.126,0.388,0.118,0.368,0.251
33,7.886056647693163,7.95,10.91,3.521,1.175,0.699,0.154,0.519,0.462,0.397,0.255,0.086,0.172,0.415,0.193,0.459,0.323
34,8.494850021680094,1.84,13.089,2.866,0.759,0.783,0.159,0.478,0.408,0.29,0.235,0.079,0.13,0.393,0.127,0.392,0.264
35,7.045757490560675,3.29,7.023,3.948,0.809,0.596,0.16,0.523,0.468,0.313,0.262,0.117,0.141,0.412,0.285,0.435,0.285
36,8.585026652029182,7.41,263.054,164.905,2.088,0.612,0.154,0.843,0.424,0.392,0.526,0.143,0.233,0.354,0.231,0.553,0.477
37,8.214670164989233,5.69,227.608,8.062,1.414,0.96,0.155,0.915,0.452,0.435,0.318,0.163,0.247,0.286,0.28,0.601,0.503
38,8.346787486224656,3.9,11.377,3.79,0.944,0.706,0.154,0.483,0.38,0.344,0.17,0.071,0.149,0.359,0.166,0.402,0.33
