mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
25,8.0,9.69,154.679,4.859,0.96,0.964,0.164,0.342,0.345,0.188,0.339,0.206,0.219,0.255,0.137,0.187,0.425,0.292,0.255,2.0,0.0940234,5.31,4.515,1.021,0.438339,2.32355709,53.794224,102.619637,42.042732
26,8.0,5.54,16.057,3.089,0.773,0.806,0.164,0.556,0.39,0.191,0.984,0.115,0.22,0.207,0.142,0.229,0.154,0.379,0.44,1.0,0.1355048,6.224,3.144,1.015,0.477129,2.76557991,35.58485,106.675301,29.545837
27,8.0,9.31,19.288,3.406,1.845,0.786,0.156,0.621,0.515,0.43,0.56,0.226,0.144,0.313,0.22,0.334,0.2,0.522,0.31,5.0,0.1379218,6.072,3.007,1.019,0.461183,2.35714687,53.990879,135.529785,69.500031
28,8.0,3.15,129.694,2.334,1.147,0.974,0.16,0.551,0.467,0.379,0.653,0.266,0.149,0.292,0.207,0.279,0.241,0.466,0.356,3.0,0.2299523,5.873,4.474,1.017,0.511174,2.0701686,72.967216,131.534134,89.474266
29,7.301029995663981,9.23,184.925,9.111,0.542,0.95,0.157,0.613,0.576,0.278,0.759,0.502,0.123,0.528,0.15,0.397,0.241,0.489,0.462,5.0,0.3267926,6.181,3.402,1.078,0.398541,6.65229145,82.604416,147.499069,72.312088
30,6.721246399047171,1.23,109.776,3.832,2.176,0.948,0.155,0.314,0.424,0.429,0.189,0.559,0.182,0.376,0.29,0.823,0.265,0.389,0.31,7.0,0.1530568,6.255,3.675,1.023,0.527508,3.26586133,80.660339,146.982666,59.780411
31,6.102372908709558,0.61,15.527,6.723,1.162,0.663,0.153,0.513,0.441,0.262,0.4,0.417,0.133,0.412,0.156,0.441,0.206,0.405,0.317,4.0,0.3123913,6.278,3.572,1.078,0.442007,6.33390564,67.34613,166.088593,48.222408
32,7.0,7.84,388.417,6.549,2.178,0.978,0.156,0.854,0.378,0.367,0.924,0.222,0.212,0.275,0.253,0.271,0.273,0.533,0.452,6.0,0.2215904,6.006,3.369,1.013,0.47608,2.52412771,52.386444,142.762756,64.65786
33,7.301029995663981,1.17,22.262,3.344,1.376,0.825,0.158,0.547,0.403,0.254,0.584,0.216,0.172,0.276,0.175,0.274,0.256,0.401,0.324,4.0,0.1386433,6.368,4.442,1.01,0.508469,1.19859132,77.317184,147.136322,46.834499
34,7.301029995663981,7.51,21.799,3.423,0.688,0.841,0.159,0.511,0.405,0.191,0.472,0.219,0.033,0.27,0.073,0.311,0.085,0.369,0.241,5.0,0.1020099,5.917,4.067,1.012,0.48714,2.59423406,72.991325,149.143326,53.810894
35,7.154901959985743,9.8,22.023,3.587,0.674,0.838,0.158,0.523,0.394,0.207,0.553,0.207,0.047,0.269,0.086,0.312,0.087,0.375,0.269,7.0,0.1900547,6.787,4.769,1.011,0.503798,2.10120559,97.471924,215.631134,73.766411
36,6.920818753952375,9.1,224.726,15.27,1.457,0.931,0.153,0.857,0.27,0.321,0.858,0.211,0.116,0.205,0.159,0.132,0.24,0.483,0.395,6.0,0.1349322,6.74,5.017,1.013,0.519296,1.52326432,68.747902,149.868744,65.227333
37,6.721246399047171,6.53,27.698,2.126,1.669,0.879,0.154,0.571,0.247,0.354,0.523,0.18,0.154,0.159,0.205,0.218,0.247,0.391,0.286,6.0,0.1538921,6.906,4.938,1.012,0.539861,2.99129978,66.498596,187.829041,55.054817
38,5.5003129173815966,4.13,25.646,3.654,2.408,0.809,0.152,0.552,0.383,0.255,0.507,0.184,0.139,0.264,0.15,0.243,0.176,0.397,0.277,5.0,0.2343251,7.092,4.169,1.013,0.531685,2.91570498,54.816288,148.682816,57.257004
39,6.200659450546418,9.97,234.029,3.106,0.671,0.984,0.155,0.39,0.399,0.3,0.292,0.524,0.199,0.319,0.176,0.804,0.327,0.363,0.338,4.0,0.206492,6.796,4.203,1.008,0.552338,2.21401315,55.315952,132.494141,45.941715
