mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
24,7.958212681028248,4.72,215.454,145.47,3.289,0.592,0.156,0.369,0.389,0.369,0.308,0.718,0.16,0.515,0.208,0.271,0.267,0.376,0.395,0.261,6.0,0.1256056,6.161,3.076,1.028,0.480822,4.58311678,75.806091,149.320297,55.551544
25,8.0,3.78,197.341,2.985,0.914,0.981,0.164,0.844,0.48,0.331,0.751,0.339,0.09,0.347,0.16,0.465,0.135,0.552,0.393,0.427,6.0,0.2062377,5.498,4.549,1.019,0.463367,3.83833101,45.907471,136.776352,62.760239
26,8.0,1.17,402.492,5.514,0.937,0.984,0.164,0.799,0.442,0.47,0.875,0.321,0.169,0.339,0.303,0.437,0.339,0.57,0.455,0.499,4.0,0.1369314,5.975,3.11,1.012,0.466098,2.71495421,75.837112,114.38826,54.548813
27,8.0,3.53,155.97,112.399,49.62,0.49,0.156,0.173,0.351,0.066,0.101,0.313,0.004,0.493,0.014,0.072,0.02,0.197,0.139,0.1,6.0,0.2347514,6.376,3.144,1.018,0.46636,3.00108855,84.124153,134.004837,47.259781
28,8.0,5.17,34.962,15.409,1.162,0.678,0.16,0.039,0.615,0.313,0.116,0.684,0.272,0.572,0.219,0.01,0.448,0.322,0.357,0.197,5.0,0.1571747,5.796,4.476,1.018,0.480777,3.51941029,52.334518,172.760803,83.295654
29,7.301029995663981,7.8,42.56,9.016,2.9,0.781,0.157,0.036,0.378,0.401,0.124,0.207,0.198,0.257,0.282,0.238,0.144,0.272,0.176,0.131,4.0,0.2800455,6.25,3.436,1.079,0.417696,5.79494693,49.591507,127.962914,67.998024
30,6.721246399047171,4.45,162.14,7.033,1.501,0.95,0.155,0.616,0.476,0.448,0.545,0.621,0.227,0.466,0.303,0.68,0.316,0.513,0.464,0.483,4.0,0.164606,6.639,3.607,1.021,0.53475,4.33506794,60.382908,152.957962,54.970879
31,6.102372908709558,2.54,14.193,6.464,0.713,0.664,0.153,0.466,0.485,0.247,0.23,0.575,0.1,0.481,0.128,0.728,0.187,0.399,0.302,0.385,7.0,0.3725068,6.614,3.436,1.072,0.415809,8.36270981,75.563194,133.686432,66.250153
32,7.0,9.2,90.036,6.027,1.701,0.921,0.156,0.157,0.37,0.416,0.112,0.231,0.173,0.258,0.238,0.316,0.249,0.314,0.172,0.206,4.0,0.2467701,6.25,3.708,1.014,0.45757,1.55371417,35.687458,127.496231,46.01799
33,7.301029995663981,4.35,330.733,7.565,0.948,0.975,0.156,0.728,0.45,0.292,0.81,0.319,0.187,0.328,0.192,0.365,0.274,0.49,0.439,0.497,7.0,0.1662471,7.464,4.204,1.01,0.525196,1.58215188,48.450382,147.19014,48.079422
34,7.301029995663981,8.88,24.864,1.793,1.062,0.897,0.159,0.52,0.424,0.314,0.467,0.208,0.101,0.249,0.161,0.341,0.2,0.419,0.259,0.302,5.0,0.1711764,6.489,4.34,1.013,0.503922,2.29601699,51.399036,127.005821,43.496716
35,7.154901959985743,1.59,26.773,1.648,0.972,0.911,0.158,0.533,0.379,0.364,0.54,0.146,0.122,0.208,0.188,0.294,0.186,0.426,0.269,0.288,10.0,0.1513806,6.422,4.598,1.011,0.531637,2.1671721,71.46624,117.281235,54.182869
36,6.920818753952375,2.58,23.599,4.332,1.451,0.803,0.153,0.56,0.508,0.336,0.42,0.273,0.11,0.337,0.177,0.369,0.166,0.468,0.268,0.329,9.0,0.2236512,6.784,5.085,1.012,0.492387,1.59943041,61.143379,125.873344,51.434086
37,6.721246399047171,9.61,452.841,120.457,1.684,0.788,0.155,0.873,0.449,0.436,0.831,0.462,0.311,0.504,0.273,0.334,0.505,0.586,0.535,0.525,4.0,0.1693123,6.457,5.379,1.012,0.544564,1.47391746,99.890755,133.623367,66.254478
38,5.5003129173815966,9.48,231.88,8.499,2.148,0.956,0.152,0.882,0.428,0.341,0.918,0.287,0.162,0.327,0.202,0.318,0.213,0.551,0.456,0.484,5.0,0.1466342,7.22,4.476,1.013,0.558505,0.730409782,66.230751,191.272644,60.08564
39,6.200659450546418,7.97,27.311,2.103,1.557,0.882,0.155,0.567,0.301,0.354,0.574,0.571,0.13,0.264,0.184,0.922,0.206,0.407,0.425,0.597,4.0,0.2317526,6.885,4.611,1.008,0.54933,1.88503736,69.053894,150.785721,87.055397
40,7.522878745280337,8.41,148.062,91.912,4.864,0.605,0.155,0.473,0.235,0.393,0.476,0.099,0.369,0.185,0.313,0.051,0.238,0.367,0.315,0.229,6.0,0.1586581,6.285,3.539,1.009,0.512062,1.5896213,62.054733,148.338852,62.250851
41,7.301029995663981,8.77,20.288,3.783,0.769,0.817,0.158,0.552,0.397,0.251,0.7,0.147,0.072,0.243,0.108,0.194,0.146,0.4,0.306,0.407,4.0,0.1386973,6.305,4.67,1.022,0.499562,2.35480535,62.403404,106.340324,47.260246
42,8.0,2.07,25.311,2.734,1.277,0.863,0.155,0.575,0.312,0.354,0.528,0.187,0.18,0.185,0.22,0.239,0.29,0.414,0.299,0.383,4.0,0.2064456,6.651,2.973,1.025,0.518183,5.89250206,46.43272,114.913261,57.385479
43,8.0,6.17,191.512,4.155,1.439,0.972,0.156,0.706,0.364,0.377,0.728,0.187,0.198,0.242,0.237,0.147,0.273,0.482,0.371,0.338,5.0,0.1842698,6.081,3.911,1.05,0.446028,5.63323858,68.8731,146.827805,62.58823
