mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
797,8.0,2.0,0.0170277,5.916,3.227,1.012,0.36568,1.04561327,49.796356,163.445892,208.884628
798,5.795880017344075,3.0,0.0824766,7.125,3.158,1.01,0.426371,1.5840877,63.127037,124.95253,100.28138
799,5.236572006437063,4.0,0.1019929,6.217,3.057,1.016,0.432638,2.36751996,67.377396,103.316925,102.360016
800,7.698970004336019,2.0,0.1977846,6.48,3.226,1.016,0.402812,2.84034309,96.239708,117.749176,110.286453
801,7.698970004336019,3.0,0.0519149,4.53,3.361,1.014,0.321934,2.49821985,64.755608,154.083542,123.679169
802,5.236572006437063,3.0,0.1765218,6.083,3.091,1.016,0.391932,4.04033532,89.738297,84.704117,117.604073
803,4.8297382846050425,4.0,0.0391276,4.973,3.227,1.016,0.336205,2.70904309,65.679794,85.118042,89.839722
804,7.657577319177793,10.0,0.1405795,6.601,3.293,1.035,0.456197,3.49024833,35.535591,117.604332,75.862106
805,7.045757490560675,8.0,0.2217412,7.087,5.37,1.03,0.473086,4.485077,49.337151,144.921555,111.723022
806,7.130768280269024,9.0,0.2025598,7.567,5.395,1.031,0.530586,5.82081989,78.233521,139.213089,111.847298
807,9.00436480540245,10.0,0.1769669,7.013,5.631,1.04,0.511203,3.92338961,82.697174,118.966019,106.414108
808,6.161150909262744,7.0,0.136014,7.97,5.827,1.039,0.512365,4.08216212,99.582428,136.584305,106.683403
809,7.920818753952375,8.0,0.2789063,6.675,5.76,1.028,0.463297,4.76858863,109.622559,125.365524,136.660507
810,9.318758762624412,9.0,0.1262318,7.358,5.071,1.056,0.49705,1.92532481,77.313698,145.836334,133.224533
811,9.657577319177792,8.0,0.1104914,7.597,5.548,1.027,0.524629,2.8633807,59.936333,146.763214,104.635269
812,6.431798275933005,7.0,0.2778296,7.017,5.891,1.058,0.503034,6.89872024,82.934113,120.267784,172.792236
813,7.1938200260161125,10.0,0.1030255,7.082,5.336,1.064,0.511106,3.43935324,104.683693,143.805588,120.262505
814,6.920818753952375,8.0,0.2984457,7.215,5.401,1.059,0.500298,8.3574653,72.437447,130.555038,131.260376
815,7.795880017344075,8.0,0.1269769,7.136,4.948,1.059,0.542333,5.16697546,106.078201,169.446793,133.776398
816,8.508638306165727,9.0,0.1657319,6.949,5.172,1.078,0.535603,6.93873623,65.214714,94.261459,104.408867
817,8.075720713938118,11.0,0.1760057,7.539,5.002,1.037,0.521332,3.48974113,84.618698,113.998985,163.642838
818,7.698970004336019,9.0,0.1660268,6.963,5.743,1.066,0.530594,4.00745659,119.598442,103.44136,122.222466
819,9.173925197299171,7.0,0.2470426,6.624,5.478,1.027,0.493826,1.762691,81.53981,139.738953,97.101395
820,7.920818753952375,9.0,0.0497025,5.791,5.593,1.043,0.474868,5.75863992,43.875763,78.745094,115.932037
821,9.397940008672036,8.0,0.2543347,7.002,4.855,1.046,0.500094,3.46500661,80.984566,86.910118,81.912598
822,8.356547323513812,6.0,0.206904,6.69,5.064,1.043,0.483975,3.33712892,77.999573,145.731659,109.65477
823,8.309803919971486,11.0,0.1377849,7.18,4.921,1.039,0.501592,3.52733906,116.539864,105.729797,115.304688
824,7.744727494896693,10.0,0.1769457,7.42,5.474,1.033,0.587174,4.65251575,117.367493,110.49382,139.193176
825,8.698970004336019,10.0,0.1462231,6.594,4.895,1.067,0.517851,6.79048904,113.299576,89.785133,143.235382
826,8.200659450546418,8.0,0.1489058,7.385,5.704,1.034,0.52488,4.69121847,71.058578,112.590187,73.918282
827,8.045757490560675,8.0,0.17093,6.693,5.503,1.051,0.486502,5.59694125,121.924736,175.661194,114.572441
828,8.823908740944319,7.0,0.149803,7.544,5.515,1.04,0.517776,3.44949929,71.174965,98.960754,111.199585
829,8.958607314841775,7.0,0.2250059,7.516,5.271,1.071,0.492427,7.14268102,86.860039,143.390884,153.323273
830,9.337242168318426,9.0,0.1339756,7.399,5.53,1.028,0.518421,3.30234533,128.279327,134.106552,153.48465
831,8.886056647693163,5.0,0.2554989,6.993,5.373,1.028,0.504511,5.77248223,83.8563,121.414177,165.982788
832,6.522878745280337,7.0,0.2189738,6.504,5.47,1.105,0.387676,9.58056799,99.484375,99.635368,123.054749
833,7.130768280269024,7.0,0.3438039,7.276,4.479,1.062,0.520673,6.86535098,91.993248,144.645905,123.076271
835,7.236572006437063,7.0,0.189783,5.789,5.401,1.039,0.429275,5.61311324,98.370338,148.743652,125.71167
836,5.267606240177032,6.0,0.0547846,7.024,3.076,1.065,0.418519,6.63881269,36.553883,126.777679,61.999847
837,5.045757490560675,4.0,0.0424268,5.617,3.829,1.033,0.349939,3.19318674,96.191444,162.826645,127.739975
838,5.356547323513812,4.0,0.1048198,6.017,3.811,1.032,0.378617,4.46335186,60.052361,117.018784,77.157944
839,5.318758762624412,7.0,0.0983416,5.621,3.643,1.034,0.373297,5.03003779,44.145065,122.975494,74.470886
840,5.795880017344075,9.0,0.2267229,6.499,4.29,1.08,0.407868,5.90934276,82.115158,109.656204,108.762909
841,6.221848749616356,5.0,0.1779209,6.186,4.381,1.136,0.546574,8.16736952,48.988235,175.996643,149.843658
842,7.823908740944319,8.0,0.1813184,7.104,5.205,1.118,0.573163,8.25821754,32.683071,63.465015,110.044601
843,6.721246399047171,11.0,0.1228757,7.032,3.557,1.245,0.481862,13.0109387,45.49131,111.399628,141.118576
844,8.045757490560675,11.0,0.1579391,6.291,3.691,1.134,0.422039,7.20636015,76.138626,999.621338,90.048386
845,7.154901959985743,10.0,0.0861433,6.097,3.588,1.084,0.431396,7.99139886,83.133827,976.241699,65.483337
846,4.795880017344075,0.0,0.0433666,5.336,3.691,1.097,0.363827,6.91473716,71.256554,971.064819,51.426582
847,5.251811972993799,2.0,0.1057871,6.57,2.305,1.012,0.401156,2.48423743,80.250931,60.538193,140.324203
848,5.200659450546418,3.0,0.0990493,6.494,2.021,1.034,0.419815,5.02338376,66.369614,75.165939,137.064133
849,6.3979400086720375,7.0,0.1977072,6.634,3.124,1.174,0.480187,11.6979431,56.643368,100.652054,147.365021
850,5.721246399047171,12.0,0.2771204,8.373,5.204,1.104,0.602861,8.47943531,41.285515,81.078629,55.311478
851,5.6777807052660805,10.0,0.2508587,8.173,5.724,1.103,0.644505,5.84119735,64.869179,110.482529,107.696869
852,6.187086643357144,6.0,0.1408442,7.027,6.098,1.073,0.521319,7.64279451,60.058609,114.602333,154.798187
853,6.275724130399211,6.0,0.161567,6.764,4.294,1.095,0.524042,11.0280164,57.887432,182.145935,82.203384
854,7.657577319177793,6.0,0.2165839,6.682,4.361,1.106,0.512791,9.57894191,87.385643,173.850861,83.507561
855,6.853871964321762,10.0,0.1577842,7.998,4.414,1.073,0.585692,4.49125162,73.098785,88.45639,97.910881
856,6.6777807052660805,4.0,0.1703833,4.808,5.527,1.086,0.331546,2.87214264,68.785027,157.379715,65.558334
