mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,7.698970004336019,8.0,0.1170408,5.521,4.366,1.065,0.429564,5.25462453,60.443199,92.112793,91.132484
2,7.698970004336019,5.0,0.1276215,7.515,3.11,1.049,0.527167,4.19084087,83.492775,158.220215,76.641968
3,8.0,3.0,0.1185864,6.963,2.905,1.039,0.495486,3.14777018,60.930889,148.991104,91.608932
4,8.0,5.0,0.1539635,7.796,4.615,1.036,0.535927,4.51353182,109.059769,157.474747,112.435013
5,7.301029995663981,6.0,0.144293,7.331,3.007,1.049,0.542564,6.09286709,64.46666,158.682098,77.754944
6,4.721246399047171,4.0,0.2065524,5.814,3.042,1.011,0.416804,2.83672007,52.204048,997.386719,64.250298
8,7.096910013008056,9.0,0.3827839,6.202,2.905,1.07,0.395331,8.05605431,65.413651,173.629898,70.798065
9,7.522878745280337,5.0,0.180968,6.974,4.709,1.023,0.481838,2.92809057,49.659306,140.352386,62.40023
10,7.0,3.0,0.2671377,7.345,3.178,1.087,0.455914,4.81770077,87.040138,193.376434,87.901489
11,7.522878745280337,8.0,0.239762,7.072,3.212,1.017,0.490679,3.27983042,70.409744,161.036926,98.075439
12,6.102372908709558,4.0,0.1344282,6.986,4.241,1.047,0.439541,5.06216506,92.883133,151.603195,90.227226
13,5.801342913045577,4.0,0.1660479,7.021,2.905,1.061,0.477815,7.21938801,74.177879,161.950867,79.536865
14,6.200659450546418,3.0,0.1816309,7.852,3.144,1.073,0.548242,7.0310229,82.687538,182.811081,86.936172
15,6.823908740944319,6.0,0.3030966,7.216,2.905,1.04,0.506395,5.43039028,103.2005,181.451294,104.964218
16,7.698970004336019,4.0,0.1600273,6.733,4.241,1.036,0.455745,5.58199589,74.240692,124.695908,83.641731
17,7.838631997765025,3.0,0.0603135,5.185,2.871,1.015,0.421371,2.53566874,56.692848,132.944763,56.403503
18,4.701146923590294,2.0,0.1391918,5.537,2.939,1.02,0.397139,4.26726325,70.560532,131.442032,55.212269
19,5.221848749616356,5.0,0.1438985,5.957,3.178,1.014,0.403476,2.75525154,37.381126,111.381454,66.499916
20,8.0,6.0,0.2032143,5.708,3.144,1.019,0.447025,4.89809581,58.129166,139.776077,66.335556
21,7.522878745280337,2.0,0.1931248,5.709,3.843,1.014,0.468464,3.38979165,59.362885,141.605698,64.170883
22,6.920818753952375,6.0,0.2445952,5.66,2.768,1.042,0.38445,4.5498393,56.859573,129.244354,54.269958
23,7.301029995663981,3.0,0.1511363,6.24,3.11,1.012,0.494328,3.18501827,52.493172,136.448593,60.27993
24,7.958212681028248,6.0,0.1509313,6.263,3.212,1.025,0.488238,3.42958854,44.58276,147.289047,88.160011
25,8.0,2.0,0.2001468,4.966,4.31,1.022,0.454683,3.90236601,62.827812,107.189766,45.137913
26,8.0,6.0,0.2048773,6.068,3.076,1.014,0.457761,1.65130504,43.307526,112.885551,29.273787
27,8.0,6.0,0.2132181,5.892,3.076,1.02,0.472846,3.22433868,49.005779,127.926567,59.2005
28,8.0,6.0,0.2060625,5.914,4.578,1.018,0.48605,3.20531769,67.979736,138.940887,55.542656
29,7.301029995663981,2.0,0.3084865,6.003,3.505,1.079,0.412839,6.30510963,58.274406,146.177292,47.063171
30,6.721246399047171,2.0,0.1601705,6.381,3.095,1.02,0.54452,1.30011687,50.06469,128.975601,56.975121
31,6.102372908709558,8.0,0.3299358,6.566,3.708,1.075,0.432191,9.08643044,57.799004,129.212555,58.917187
32,7.0,5.0,0.2259076,5.828,3.335,1.013,0.474519,2.45793295,52.173313,155.7612,60.914188
33,7.301029995663981,6.0,0.2228206,6.213,4.271,1.011,0.509653,2.83354194,34.649197,154.53511,77.516251
34,7.301029995663981,6.0,0.1061191,6.519,4.271,1.012,0.4843,2.23021112,52.645653,124.618286,62.823181
35,7.154901959985743,9.0,0.2135547,6.43,4.666,1.011,0.496907,1.1166523,36.017902,106.182053,46.107471
36,6.920818753952375,7.0,0.23785,6.284,4.848,1.012,0.493309,2.30725905,50.512085,150.874054,30.524324
37,6.721246399047171,7.0,0.237548,6.616,4.836,1.012,0.502787,1.1174589,68.496445,177.364136,53.468559
38,5.5003129173815966,4.0,0.2331079,7.093,4.475,1.013,0.532454,4.12959026,51.230946,154.670105,82.258316
39,6.200659450546418,6.0,0.2378983,6.735,4.407,1.008,0.542925,1.59952866,74.885033,137.314972,90.209328
40,7.522878745280337,7.0,0.1879249,6.508,3.3,1.009,0.526914,1.88052753,61.879272,149.013321,45.880085
41,7.301029995663981,3.0,0.2082232,6.387,4.705,1.022,0.527061,3.04471645,47.137699,146.892303,57.128517
42,8.0,7.0,0.1796438,6.502,2.973,1.021,0.489007,2.12731244,57.687004,142.40387,66.066139
43,8.0,11.0,0.1978112,6.265,3.842,1.047,0.411206,4.12281543,50.065441,131.353577,66.092339
44,6.823908740944319,5.0,0.285816,7.079,4.445,1.021,0.59366,3.88818889,63.642162,123.276901,59.537056
45,6.920818753952375,8.0,0.0908113,7.038,3.11,1.01,0.597948,1.32054838,116.7724,185.988312,100.245872
46,8.0,4.0,0.1398805,6.086,4.377,1.016,0.435158,3.08209743,82.165672,131.160721,72.36216
47,8.0,4.0,0.1556021,7.184,3.076,1.027,0.500654,0.721822301,93.051773,149.531769,62.752762
48,8.0,1.0,0.239855,6.72,3.144,1.023,0.477982,3.95318525,47.803562,158.143677,61.993324
49,8.0,5.0,0.0998325,6.626,2.871,1.014,0.473377,2.26867634,91.016281,174.543976,80.290131
50,7.698970004336019,3.0,0.2624014,7.349,3.042,1.035,0.519115,1.4191543,63.251049,155.034607,94.475418
51,7.698970004336019,3.0,0.0712138,6.58,3.11,1.032,0.446993,5.26243803,89.590508,153.479111,59.333824
52,7.698970004336019,5.0,0.1653418,6.973,2.973,1.042,0.482694,3.06329969,71.470016,146.25975,88.654091
53,7.698970004336019,7.0,0.1687143,6.865,2.973,1.038,0.493145,3.11864061,100.198257,152.872803,67.120575
54,7.397940008672037,5.0,0.1408008,7.795,3.144,1.049,0.537667,6.82777657,64.423508,163.249191,87.188477
55,8.0,6.0,0.2036213,6.828,3.144,1.03,0.489785,3.76004872,73.65789,166.754288,113.59874
56,5.300162274132754,6.0,0.1142581,6.579,4.481,1.031,0.455207,3.61120675,95.710106,176.188324,71.478073
57,4.500312917381596,5.0,0.1500445,7.612,4.181,1.041,0.501061,4.98431842,72.717918,152.4543,77.420479
58,5.100179497572904,3.0,0.3599317,6.046,4.284,1.102,0.403751,9.14519371,105.192238,167.993484,81.143814
59,4.508638306165727,6.0,0.3588428,6.67,4.113,1.121,0.427842,10.4763081,82.615349,176.551498,101.804871
60,5.300162274132754,5.0,0.1590371,7.164,4.113,1.031,0.505019,4.21274281,68.73761,180.305634,96.195702
61,6.823908740944319,3.0,0.1973828,6.728,5.518,1.041,0.462036,4.39135913,61.398865,156.962479,69.518265
62,6.508638306165727,5.0,0.0895691,7.078,3.042,1.052,0.528812,3.61925618,70.033501,143.172073,79.237495
63,7.301029995663981,7.0,0.1204782,7.616,3.178,1.039,0.520235,4.5666802,62.445118,169.116608,111.323036
64,6.0,4.0,0.2428061,7.341,4.413,1.053,0.488117,5.73924988,85.180435,153.936401,111.239647
65,5.903089986991944,3.0,0.1448075,6.831,3.007,1.03,0.473216,4.66442556,65.21241,139.895935,94.502136
66,5.600326278518962,3.0,0.1522891,7.201,3.076,1.036,0.536873,2.99705648,116.730408,155.10968,103.10437
67,6.0,2.0,0.157279,6.653,3.144,1.034,0.487204,2.56145605,63.380459,151.415115,79.01046
68,5.400116927926312,5.0,0.207774,7.279,2.973,1.095,0.501833,5.80830826,58.587803,155.669754,83.026756
69,6.102372908709558,5.0,0.1796472,7.636,2.939,1.028,0.546145,4.92844798,80.316994,166.368103,101.117859
70,7.301029995663981,5.0,0.1404211,6.658,4.48,1.017,0.451417,3.53498309,94.871162,158.07077,69.194145
71,7.397940008672037,3.0,0.1458144,7.078,3.007,1.029,0.512612,4.25376984,65.433365,156.463165,96.058052
72,5.096910013008056,9.0,0.176937,6.88,3.042,1.06,0.516715,5.33074889,52.97551,119.777916,158.784058
73,7.472284193781353,6.0,0.1298227,5.206,4.541,1.091,0.459226,6.91946337,49.547729,70.318016,46.503006
74,7.657577319177793,8.0,0.1127242,5.336,4.123,1.053,0.383264,4.76378464,89.763756,109.786263,52.160038
75,5.985479461242076,10.0,0.0597624,6.605,2.7,1.137,0.439091,12.4259508,70.008675,100.451393,72.80455
76,6.638272163982407,6.0,0.2324384,6.05,4.576,1.089,0.477349,8.13223151,45.172905,114.16938,117.2033
77,5.537602002101044,5.0,0.1314067,5.706,3.43,1.099,0.386615,5.87193295,57.46151,81.213928,73.933334
78,10.045757490560677,6.0,0.1444983,7.421,3.178,1.058,0.516773,6.53456977,87.164124,84.16124,168.972137
79,7.136677139879544,13.0,0.088603,5.389,4.692,1.071,0.373909,5.49414941,102.294113,96.937691,77.043335
80,7.619788758288394,10.0,0.0754861,5.757,3.383,1.013,0.374927,3.0643004,93.228096,99.378372,80.429794
81,6.505845405981557,10.0,0.1264379,6.012,2.871,1.14,0.413464,10.1450258,89.808472,127.164093,75.996216
82,7.292429823902063,6.0,0.1547622,5.988,2.768,1.023,0.383457,3.03427948,72.346725,95.450401,74.212357
83,6.767003889607846,8.0,0.1054698,5.956,2.893,1.046,0.377579,3.00741862,77.100166,74.535118,63.807671
84,6.899629454882437,7.0,0.1919523,5.577,3.231,1.047,0.366659,4.99856159,67.412239,66.828514,49.304718
85,7.481486060122112,8.0,0.1323786,6.663,3.299,1.156,0.445651,11.0757702,68.697258,86.721695,80.97364
86,7.356547323513812,6.0,0.1482319,6.216,3.032,1.137,0.441029,9.65542702,93.23967,86.502022,80.343674
87,7.318758762624412,7.0,0.1970612,6.611,3.06,1.194,0.421626,10.1911763,95.751793,92.49691,80.540123
88,8.096910013008056,9.0,0.1741708,7.007,3.06,1.148,0.451644,9.17839636,76.965111,116.026474,66.643562
89,6.94692155651658,10.0,0.2063264,6.126,2.895,1.098,0.391353,3.80982812,86.646843,108.645699,55.167686
90,6.665546248849069,11.0,0.1578821,6.381,3.203,1.178,0.40159,11.5298128,90.571693,107.123428,104.350464
91,6.906578314837765,10.0,0.1333775,6.486,3.351,1.177,0.447991,9.12745976,61.669731,119.598251,63.415821
92,5.932557157223619,15.0,0.1098927,6.489,4.274,1.166,0.455064,10.6866918,105.870888,131.708542,91.190651
93,7.173925197299173,12.0,0.0633282,6.743,4.556,1.076,0.484085,6.01943998,84.769981,121.370361,103.036209
94,7.769551078621726,7.0,0.1819191,7.165,4.927,1.183,0.481283,10.3132218,85.416252,113.364357,134.195145
95,5.823908740944319,12.0,0.2218191,7.331,4.508,1.161,0.446464,8.2420883,91.188171,196.993866,73.24559
96,5.881404634776238,12.0,0.1618803,7.105,4.536,1.095,0.500491,7.25220008,89.240707,993.745972,109.748474
97,6.218244625347531,11.0,0.1050778,6.421,4.542,1.14,0.460748,8.9207867,73.999664,96.994453,65.131691
98,6.471083299722345,14.0,0.0845395,7.45,4.674,1.163,0.526215,12.5208849,65.169395,994.952759,95.014824
99,6.586700235918748,6.0,0.0432248,4.832,4.645,1.052,0.331664,5.06298335,35.226101,64.185547,37.981068
100,6.698970004336019,9.0,0.1419511,5.284,3.559,1.031,0.370487,3.5625305,34.196861,80.473251,46.500313
101,6.6020599913279625,6.0,0.1582162,5.189,3.201,1.041,0.358476,1.01952078,38.44706,82.282867,51.384094
102,6.070581074285707,8.0,0.1771728,6.306,3.065,1.025,0.386153,3.15366173,43.508095,100.435471,56.82415
103,7.356547323513812,5.0,0.2066841,6.217,3.284,1.052,0.417013,5.64950858,36.206062,116.940689,56.536053
104,7.00436480540245,7.0,0.1285509,5.355,3.989,1.017,0.373412,3.09293874,28.097979,72.874031,31.868671
105,6.920818753952375,6.0,0.1762466,5.562,2.484,1.026,0.396393,3.76382566,55.195263,116.317535,50.801971
106,7.638272163982407,7.0,0.1237269,5.215,2.45,1.031,0.419966,3.77628168,44.871918,111.522743,47.915047
107,7.455931955649724,7.0,0.1165854,5.803,2.348,1.029,0.412989,4.21778041,54.03159,148.784821,59.100136
108,7.698970004336019,8.0,0.121944,5.497,3.284,1.031,0.420974,3.95240645,44.365379,89.021233,43.783428
109,6.1938200260161125,7.0,0.1119486,5.289,3.284,1.035,0.396024,3.62937213,63.976665,122.721062,63.3941
110,7.698970004336019,9.0,0.1359462,5.662,3.76,1.049,0.400295,3.84250852,46.00528,101.047951,46.859276
112,7.744727494896693,8.0,0.1970728,5.444,4.205,1.037,0.419864,4.82868068,62.045792,116.160149,72.064987
113,8.698970004336019,6.0,0.1496656,6.057,4.355,1.049,0.45478,6.30807479,48.944958,116.209282,67.380516
114,8.045757490560675,12.0,0.2519927,6.803,4.287,1.102,0.44978,5.53223823,95.831604,129.191711,66.486244
115,8.698970004336019,11.0,0.2096589,5.903,5.224,1.034,0.404877,4.47197504,64.970184,141.161774,42.136925
116,7.4089353929735005,7.0,0.1256323,5.582,4.329,1.027,0.405942,3.27300392,35.535126,101.071106,48.03838
117,8.096910013008056,6.0,0.1089588,5.928,3.114,1.035,0.435615,5.23660619,42.759338,87.81427,40.991314
118,8.045757490560675,8.0,0.1073858,6.081,3.25,1.037,0.41062,5.69480272,41.295391,96.276138,59.656601
119,8.301029995663981,6.0,0.1690701,5.986,3.25,1.036,0.432247,6.05641217,48.828514,132.165283,70.099182
120,8.397940008672037,6.0,0.0885958,5.948,4.152,1.08,0.443693,5.00850803,76.831268,82.120583,62.354759
121,8.096910013008056,5.0,0.1723627,5.52,4.343,1.019,0.392522,4.30212568,50.918552,100.965675,38.92907
122,7.522878745280337,6.0,0.1574753,5.194,3.592,1.057,0.378629,6.22220147,67.385826,117.084587,57.004425
123,7.638272163982407,8.0,0.1950999,5.284,4.238,1.051,0.384776,4.82840948,59.284988,108.130997,79.705521
124,8.187086643357144,11.0,0.122106,6.23,4.104,1.03,0.462369,5.06415198,44.720692,94.570816,52.924641
125,8.045757490560675,11.0,0.2099433,6.398,4.825,1.028,0.430674,2.90162197,63.378941,134.803925,70.919579
126,7.229147988357855,12.0,0.184667,6.465,4.411,1.033,0.504141,5.35261672,44.75209,104.220291,111.624992
127,8.721246399047171,6.0,0.1332024,6.067,4.874,1.04,0.418167,5.51153027,39.52705,95.344383,62.68383
128,8.698970004336019,8.0,0.125985,5.991,3.418,1.041,0.44369,5.17777288,59.058842,107.263,49.566795
129,9.096910013008056,12.0,0.1441046,6.133,3.35,1.042,0.424746,4.48447595,50.35532,112.868416,79.803856
130,8.698970004336019,7.0,0.0617121,5.647,4.39,1.067,0.403375,4.95408406,66.955231,98.432861,62.18203
131,7.853871964321762,7.0,0.1524215,5.341,4.104,1.056,0.402619,6.12838559,36.743786,92.713951,46.072273
132,6.958607314841775,10.0,0.1558726,6.435,4.137,1.031,0.464564,5.54517059,92.357735,139.213531,45.779396
133,7.795880017344075,8.0,0.1769641,7.302,4.479,1.03,0.475502,5.31565886,78.447243,134.382217,102.439461
134,8.096910013008056,7.0,0.1608712,6.862,4.41,1.038,0.50989,4.85992374,57.262077,130.762497,100.754295
135,9.397940008672036,9.0,0.2186632,6.447,4.942,1.059,0.415783,4.61704505,41.736786,113.77507,47.013996
136,9.397940008672036,8.0,0.1719053,6.73,3.82,1.064,0.451637,5.67209746,47.32785,116.266487,82.325363
137,7.060480747381382,8.0,0.1924218,6.329,5.026,1.054,0.453336,7.16170989,59.364819,101.343605,79.130394
138,8.698970004336019,10.0,0.2164104,7.592,4.845,1.049,0.514593,3.7703986,45.477089,108.756462,83.309021
139,8.522878745280337,9.0,0.1530482,7.119,5.014,1.062,0.52855,6.83157425,92.640572,174.658981,160.295502
140,8.346787486224656,9.0,0.1662935,5.564,5.274,1.02,0.392047,3.78644145,32.029358,125.394936,66.720947
141,8.522878745280337,8.0,0.1493659,5.703,3.529,1.03,0.424652,4.21216526,64.927582,75.837311,68.44825
142,6.568636235841013,10.0,0.2366246,5.178,3.325,1.022,0.33695,4.98537493,50.342163,108.308029,57.982365
143,8.431798275933005,10.0,0.2565832,5.134,3.79,1.028,0.350787,5.39047262,44.629959,115.148186,66.341125
144,8.080921907623926,7.0,0.1470359,5.952,4.501,1.069,0.407348,6.5212978,42.523853,90.969086,28.185493
145,7.638272163982407,10.0,0.1674497,5.18,4.521,1.057,0.329933,7.21223892,59.530388,106.095093,65.772636
146,7.795880017344075,10.0,0.1619298,5.067,3.941,1.049,0.351758,1.58139434,39.947418,84.752098,92.407021
147,8.113509274827518,9.0,0.1659425,5.792,4.315,1.032,0.420288,2.52000313,61.512756,127.836449,80.757019
148,7.301029995663981,12.0,0.1363571,6.617,4.902,1.03,0.461708,3.01193526,52.965988,132.492935,102.720497
149,7.619788758288394,7.0,0.1300137,5.731,4.848,1.037,0.355683,7.18758618,43.321785,166.8535,97.696777
150,5.826813731587726,7.0,0.1583642,4.072,4.106,1.016,0.315493,4.17975919,36.651817,66.955498,30.943794
151,6.337242168318426,5.0,0.0732293,4.597,2.551,1.016,0.312094,1.96362326,25.146599,70.361038,24.830542
152,6.142667503568731,6.0,0.1392855,4.734,2.383,1.014,0.343495,3.29576937,38.717716,85.069237,46.658733
153,6.187086643357144,7.0,0.1780509,5.366,2.279,1.011,0.364022,2.29703668,34.96072,96.218712,43.769535
