mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,0.46,231.505,4.0,1.745,0.976,0.156,0.707,0.421,0.328,0.313,0.073,0.148,0.435,0.158,0.485,0.36,7,0.1214332,5.368,3.987,1.106,0.378282,9.05245189,39.114422,94.110977,125.096176
2,9.30102999566398,2.13,229.415,6.565,1.926,0.964,0.156,0.797,0.423,0.467,0.465,0.142,0.243,0.449,0.267,0.563,0.445,7,0.0650715,5.192,4.158,1.186,0.375527,11.4784132,27.057165,266.185059,85.970703
3,6.214670164989233,6.13,217.47,169.254,2.788,0.558,0.151,0.836,0.317,0.394,0.209,0.15,0.236,0.213,0.291,0.516,0.377,3,0.1527006,5.763,3.178,1.066,0.409371,6.26347449,57.312401,101.465317,168.911072
4,7.920818753952375,5.91,11.228,3.381,2.29,0.664,0.151,0.492,0.477,0.379,0.266,0.234,0.261,0.416,0.385,0.449,0.348,7,0.1005504,5.894,3.144,1.188,0.395297,10.4460143,51.668476,257.664642,111.332016
6,7.823908740944319,6.19,15.021,2.594,1.14,0.801,0.156,0.519,0.342,0.359,0.202,0.075,0.151,0.3,0.171,0.407,0.277,6,0.118998,5.632,3.212,1.134,0.421273,7.50116105,49.348831,255.494553,94.520348
7,7.207608310501746,8.47,13.485,2.521,1.681,0.762,0.159,0.551,0.47,0.37,0.243,0.163,0.215,0.442,0.232,0.464,0.315,5,0.1660338,5.333,3.212,1.158,0.399664,9.40815607,39.186142,358.73056,165.700989
8,8.619788758288394,1.19,12.913,2.649,1.616,0.752,0.153,0.501,0.422,0.375,0.249,0.13,0.205,0.412,0.214,0.433,0.316,6,0.1717131,6.106,3.417,1.162,0.406109,9.626226,63.95356,259.278473,128.294464
9,7.341988603342887,0.15,7.48,2.8,0.832,0.673,0.165,0.585,0.429,0.276,0.281,0.048,0.112,0.477,0.102,0.43,0.285,7,0.0724043,4.407,3.178,1.044,0.305256,9.64139997,19.680048,206.190613,58.252655
10,8.698970004336019,2.44,12.401,2.821,1.586,0.738,0.155,0.525,0.467,0.403,0.241,0.201,0.248,0.352,0.309,0.465,0.37,10,0.1181702,5.698,4.477,1.129,0.414254,7.58302107,54.309258,247.146027,90.663704
12,7.744727494896693,0.43,82.395,12.606,1.206,0.856,0.154,0.113,0.469,0.465,0.566,0.207,0.266,0.777,0.31,0.349,0.291,8,0.1833266,6.159,3.744,1.232,0.428488,7.05850209,46.556381,246.216995,147.229492
