mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,13,20,21,31,32,75,76,100,101,107,108,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
27,7.958607314841775,0.93,201.078,3.547,2.454,0.971,0.153,0.563,0.419,0.412,1.915,0.187,0.235,0.252,0.294,0.289,0.405,0.464,0.437,3172.528,2474.589,9,0.1574795,5.925,3.949,1.151,0.431705,12.1313396,41.614388,260.590607,74.396805
28,8.031517051446064,5.59,352.994,142.18,1.284,0.711,0.153,0.584,0.697,0.386,0.806,0.46,0.14,0.542,0.203,0.422,0.244,0.556,0.446,115776.695,88740.448,7,0.087753,5.578,3.486,1.181,0.40938,10.4058428,30.362295,1126.328369,85.670746
30,8.229147988357855,6.58,171.764,5.553,1.353,0.961,0.151,0.468,0.489,0.369,0.953,0.51,0.177,0.488,0.224,0.45,0.208,0.442,0.456,2662.686,2745.459,7,0.0834666,6.491,4.545,1.151,0.507895,9.24241868,44.101295,271.469604,86.02774
31,8.568636235841012,5.79,13.103,2.598,0.945,0.787,0.156,0.515,0.409,0.397,0.446,0.213,0.067,0.278,0.162,0.44,0.169,0.44,0.338,97.696,69.247,7,0.118341,5.032,4.219,1.227,0.423116,10.1191038,35.753902,235.270844,60.609844
32,8.022276394711152,4.97,14.711,2.651,0.733,0.813,0.156,0.447,0.373,0.324,0.363,0.217,0.07,0.26,0.133,0.364,0.127,0.381,0.253,98.411,65.839,10,0.0756148,5.677,4.045,1.275,0.415534,12.6449676,13.756417,238.487076,64.612289
33,7.886056647693163,9.89,254.283,177.654,4.073,0.583,0.154,0.341,0.302,0.433,3.051,0.204,0.248,0.212,0.31,0.155,0.447,0.359,0.282,231350.502,162914.972,8,0.0767195,5.348,4.248,1.136,0.395275,7.73778808,55.748993,242.412125,97.796066
34,8.494850021680094,6.02,14.04,2.43,0.76,0.815,0.159,0.469,0.409,0.294,0.346,0.269,0.056,0.308,0.126,0.462,0.119,0.391,0.258,89.798,57.693,10,0.0722092,5.039,4.079,1.217,0.397001,11.3185313,36.773918,252.462891,85.293762
35,7.045757490560675,7.37,7.009,3.606,1.125,0.597,0.161,0.517,0.428,0.255,0.658,0.233,0.087,0.289,0.115,0.357,0.202,0.4,0.259,77.372,45.787,8,0.0557625,4.87,3.094,1.243,0.306932,10.9813727,31.029337,262.565277,62.089024
36,8.585026652029182,1.94,192.188,3.61,1.853,0.972,0.154,0.587,0.317,0.415,1.148,0.187,0.132,0.225,0.229,0.294,0.202,0.44,0.289,2539.668,1504.711,8,0.0490466,5.915,4.317,1.164,0.41935,9.80430136,40.767704,238.715103,74.461311
37,8.214670164989233,6.5,119.7,97.096,2.595,0.546,0.155,0.137,0.193,0.443,2.915,0.105,0.587,0.147,0.483,0.103,0.346,0.257,0.274,42570.193,39309.361,9,0.0970862,5.767,3.949,1.201,0.390547,10.1857207,23.285831,232.309952,52.604069
