mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
30,8.229147988357855,5.39,12.552,4.778,1.281,0.674,0.151,0.549,0.478,0.373,0.377,0.106,0.37,0.182,0.392,0.203,0.467,0.412,0.463,8,0.2430335,6.532,4.614,1.158,0.442824,8.75515463,54.920979,292.238281,81.94648
31,8.568636235841012,2.45,226.179,10.865,0.814,0.951,0.156,0.799,0.493,0.374,0.428,0.085,0.467,0.167,0.325,0.203,0.556,0.436,0.381,8,0.1273952,5.437,4.043,1.236,0.419384,12.8850933,32.620399,257.317871,89.401939
32,8.022276394711152,2.77,14.864,2.788,0.648,0.812,0.156,0.45,0.38,0.297,0.246,0.043,0.279,0.11,0.381,0.114,0.375,0.256,0.347,10,0.0340808,5.731,4.145,1.265,0.419292,12.3939358,33.474724,276.63913,63.090855
33,7.886056647693163,6.74,12.1,3.746,0.794,0.727,0.154,0.547,0.467,0.291,0.246,0.049,0.312,0.117,0.431,0.126,0.435,0.32,0.422,8,0.1300738,5.507,4.247,1.137,0.40166,8.75183416,40.481148,254.761322,98.003342
34,8.494850021680094,8.06,13.015,2.305,1.757,0.762,0.159,0.498,0.377,0.341,0.24,0.103,0.273,0.175,0.406,0.168,0.405,0.28,0.383,8,0.1019216,5.198,4.044,1.215,0.39389,11.8280045,30.748583,230.292084,96.498329
35,7.045757490560675,3.21,223.608,5.475,3.358,0.962,0.16,0.395,0.454,0.4,0.383,0.209,0.4,0.266,0.403,0.286,0.416,0.284,0.353,6,0.0422744,4.675,3.094,1.231,0.312784,10.7630907,26.397585,248.764908,77.289909
36,8.585026652029182,3.77,13.453,3.664,0.749,0.753,0.155,0.428,0.347,0.276,0.189,0.044,0.238,0.109,0.313,0.118,0.35,0.238,0.324,9,0.0336786,5.523,4.248,1.191,0.412858,9.74452404,34.088257,252.034027,71.443375
37,8.214670164989233,0.7,12.388,3.445,0.822,0.744,0.156,0.448,0.345,0.285,0.195,0.055,0.239,0.12,0.332,0.126,0.359,0.249,0.334,10,0.0793493,5.615,4.188,1.134,0.394571,10.9807904,41.762161,242.026169,74.429306
38,8.346787486224656,6.78,199.761,36.469,1.091,0.842,0.154,0.313,0.047,0.369,0.008,0.082,0.017,0.175,0.025,0.229,0.243,0.161,0.148,7,0.1132397,5.704,4.39,1.118,0.419699,8.50332264,38.269604,245.450439,76.721855
39,8.823908740944319,9.42,288.249,97.444,3.874,0.74,0.153,0.89,0.295,0.327,0.266,0.121,0.262,0.18,0.121,0.261,0.504,0.418,0.413,9,0.0832883,5.953,4.409,1.116,0.402708,6.66921429,41.58308,258.206421,84.699738
