mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,2.86,9.897,2.968,1.819,0.674,0.156,0.478,0.387,0.442,0.338,0.171,0.329,0.248,0.337,0.34,0.436,0.359,0.413,7,0.1050269,5.262,3.989,1.182,0.378561,10.9689436,58.711357,147.892715,112.844963
2,9.30102999566398,3.09,8.24,3.051,1.857,0.627,0.156,0.478,0.559,0.499,0.366,0.225,0.415,0.307,0.489,0.248,0.512,0.432,0.44,9,0.0598084,5.448,4.057,1.182,0.368934,11.1510906,45.624878,288.088989,87.929176
3,6.214670164989233,2.96,338.593,60.322,2.216,0.844,0.151,0.947,0.072,0.451,0.003,0.21,0.016,0.285,0.027,0.426,0.49,0.364,0.433,6,0.1446756,5.962,3.178,1.066,0.437099,6.00600901,90.774406,95.3666,178.679993
4,7.920818753952375,1.97,14.004,2.487,1.662,0.771,0.151,0.475,0.398,0.328,0.237,0.117,0.267,0.183,0.401,0.187,0.4,0.296,0.416,4,0.0273181,6.318,3.212,1.152,0.417981,10.2011429,66.064659,270.568237,98.137123
6,7.823908740944319,8.96,11.295,2.756,2.294,0.691,0.156,0.546,0.457,0.468,0.248,0.197,0.299,0.324,0.366,0.277,0.49,0.339,0.447,6,0.2081202,5.536,3.178,1.124,0.38534,7.29852489,55.954479,251.539627,95.603615
7,7.207608310501746,9.79,30.991,5.781,2.073,0.798,0.158,0.042,0.437,0.468,0.009,0.253,0.108,0.33,0.204,0.391,0.316,0.091,0.206,6,0.1611113,5.28,2.973,1.158,0.359712,9.14761983,39.938866,365.105011,139.155151
8,8.619788758288394,0.89,13.178,2.646,1.523,0.76,0.153,0.51,0.432,0.339,0.262,0.114,0.296,0.181,0.439,0.185,0.427,0.319,0.444,6,0.1403882,5.44,3.178,1.119,0.408701,9.558139,40.36512,233.357376,121.616547
9,7.341988603342887,0.5,207.847,5.88,0.861,0.969,0.165,0.659,0.439,0.263,0.397,0.054,0.386,0.114,0.36,0.103,0.453,0.451,0.47,7,0.0830832,4.244,3.212,1.161,0.30688,8.95475395,33.601963,199.896332,84.60524
10,8.698970004336019,0.1,12.674,3.727,0.805,0.737,0.155,0.503,0.45,0.325,0.27,0.074,0.31,0.141,0.363,0.14,0.426,0.325,0.433,7,0.1162229,5.68,4.545,1.037,0.417448,8.54796408,44.611855,231.237762,143.318802
12,7.744727494896693,0.59,197.646,10.032,0.852,0.948,0.154,0.474,0.496,0.427,0.548,0.231,0.475,0.274,0.39,0.314,0.466,0.399,0.364,7,0.2216941,5.609,3.949,1.202,0.394227,8.21343394,26.227776,216.060089,160.228668
13,7.552841968657781,4.24,166.697,33.35,1.336,0.828,0.153,0.297,0.097,0.458,0.109,0.242,0.077,0.301,0.056,0.308,0.284,0.297,0.314,7,0.1092899,5.912,3.539,1.173,0.413824,9.50923574,50.899757,274.859741,73.537224
