mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
394,9.387216143280265,8,0.2921161,12.322,6.95,1.055,0.820924,14.0630036,92.734116,326.305328,314.009125
395,9.259637310505756,9,0.1604822,7.784,5.222,1.062,0.483875,9.57126167,84.553261,224.895248,158.31398
396,9.327902142064282,11,0.2638826,9.043,5.722,1.088,0.546803,9.61604296,73.132385,197.532928,213.820435
397,9.42021640338319,9,0.3246287,8.897,6.3,1.045,0.546608,4.11223823,94.684402,213.714218,218.062912
399,9.267606240177033,9,0.200078,9.784,6.529,1.079,0.635664,6.90515789,71.070389,221.482758,214.64325
400,9.130768280269024,11,0.2421406,9.559,6.492,1.079,0.549053,9.37763042,114.017563,266.011566,198.696548
401,9.10790539730952,5,0.2486656,8.833,4.99,1.077,0.491475,4.4383529,72.390541,188.903152,199.735458
402,9.387216143280265,6,0.2785298,8.243,5.125,1.08,0.544051,8.56402208,65.407539,248.257477,194.252747
403,9.494850021680094,8,0.2966897,10.029,6.526,1.03,0.631184,5.52255728,78.768585,193.425323,193.857895
404,9.346787486224656,8,0.2761415,9.803,6.283,1.058,0.576888,4.43654315,61.712452,207.682709,207.880615
405,8.809668301829708,8,0.1915628,8.53,5.159,1.066,0.500942,4.59628328,80.175804,235.410385,174.069901
406,9.0,8,0.3043113,8.786,5.826,1.107,0.509926,6.43421461,58.587341,212.664368,228.98114
407,9.060480747381382,5,0.3189179,9.191,5.093,1.085,0.529343,11.1865197,96.186836,225.516022,290.603882
408,9.022276394711152,8,0.2456626,8.279,5.396,1.07,0.494986,8.40949696,70.728317,271.761261,199.176315
409,9.309803919971486,10,0.3397228,8.176,5.228,1.052,0.474975,9.0892387,99.237885,243.759094,180.847839
410,9.309803919971486,11,0.3127945,8.224,6.164,1.057,0.50222,6.30448774,90.936317,222.774658,195.120941
411,9.455931955649724,11,0.263802,9.069,6.028,1.062,0.550448,9.36827824,72.676056,259.588135,237.451096
412,8.96657624451305,9,0.2753322,8.763,5.193,1.051,0.50303,6.31639591,93.564133,236.580154,193.037964
413,9.259637310505756,12,0.2530182,8.052,4.822,1.06,0.468882,7.72232031,99.131874,225.368637,211.239807
414,9.207608310501746,13,0.3212481,8.617,5.638,1.063,0.496277,6.35094922,79.603241,1133.107422,233.187286
415,9.136677139879543,9,0.1433764,7.552,5.159,1.053,0.476547,3.86610213,86.248039,232.813782,163.965195
416,9.080921907623926,9,0.2002923,8.116,5.43,1.056,0.492537,7.49610094,65.353462,266.913605,207.455887
417,9.2518119729938,8,0.2442797,9.573,6.169,1.087,0.616831,8.43899405,97.403732,234.20929,204.138046
418,8.787812395596042,5,0.1262222,7.379,4.845,1.054,0.446447,8.35648426,99.989777,198.914856,135.105347
419,9.2518119729938,5,0.234384,8.669,4.819,1.058,0.518011,5.93707578,64.554153,231.176788,120.352409
420,8.882728704344236,2,0.2741672,8.427,4.912,1.07,0.555703,4.22933742,69.336121,355.770538,200.510895
421,8.53313237964589,6,0.155225,8.991,5.002,1.056,0.586248,7.74770626,95.358711,348.918488,210.392731
422,8.931814138253838,9,0.1215593,9.128,5.526,1.043,0.565971,4.78995689,111.355705,254.709732,178.788895
423,9.031517051446064,11,0.259858,9.148,5.694,1.081,0.595168,5.46445234,123.360474,253.941772,230.271072
424,8.111259039317108,7,0.2644118,8.386,5.325,1.058,0.506013,7.40282644,52.188004,236.11142,204.728683
425,7.747146969020107,6,0.2050166,9.07,4.117,1.058,0.503306,6.81202469,64.966843,226.607544,142.430237
426,8.233587152887601,5,0.2010089,7.94,4.975,1.089,0.458864,7.78316187,85.105957,266.621796,174.606293
427,8.823908740944319,6,0.2301496,7.795,4.533,1.039,0.467437,3.96582395,75.849426,193.879837,157.752716
428,8.570247719997592,7,0.2449336,8.243,5.394,1.045,0.497862,5.29196031,86.702682,245.551483,191.5495
429,8.440093374963887,5,0.2593501,7.894,5.325,1.035,0.509231,2.17469205,97.389603,265.05545,176.716568
430,9.619788758288394,11,0.2658497,8.595,5.286,1.082,0.523046,12.4883969,55.358406,208.518036,190.965302
431,9.18045606445813,7,0.2446909,8.171,5.473,1.044,0.498778,8.29733414,81.852676,233.885086,176.077484
432,9.309803919971486,7,0.2283501,7.939,5.008,1.072,0.488644,9.26990747,56.276154,216.843048,162.278275
433,9.481486060122112,6,0.2267959,7.997,4.907,1.07,0.502766,3.5225734,42.894112,245.559097,196.316315
434,9.481486060122112,10,0.2858132,8.158,5.846,1.054,0.492222,7.64981679,88.3367,206.49791,159.472626
435,9.309803919971486,13,0.2814122,9.115,5.922,1.06,0.513603,6.67872165,82.77903,253.293243,181.165985
436,9.468521082957745,7,0.2894167,8.359,5.477,1.088,0.493733,7.12969813,80.082344,191.955124,160.255493
437,9.508638306165729,6,0.2594185,8.281,5.58,1.069,0.512721,5.95548621,88.626572,219.574219,173.181244
438,9.638272163982409,9,0.4199915,8.146,6.268,1.084,0.461652,10.3944343,74.203751,210.847092,184.956909
439,9.292429823902063,13,0.2448639,8.158,5.612,1.105,0.515439,12.8088067,100.717155,191.62854,226.302399
440,9.619788758288394,7,0.2383283,8.246,5.249,1.082,0.512601,11.4121948,91.722084,224.13504,143.759674
441,9.4089353929735,14,0.2595046,9.634,5.653,1.068,0.577361,10.0461395,81.519112,270.734131,211.622772
442,9.4089353929735,9,0.171653,8.618,5.385,1.062,0.530844,10.8820533,80.647926,208.775009,186.68013
444,9.769551078621726,7,0.2789965,8.051,4.481,1.031,0.495619,2.35365478,85.318123,232.679413,133.72316
446,9.82390874094432,5,0.1877169,7.516,4.44,1.084,0.451714,9.40794536,77.984367,207.421906,148.285248
447,9.214670164989233,6,0.3377677,9.098,5.383,1.121,0.52899,9.21822414,115.666183,277.011261,174.772949
448,9.267606240177033,10,0.2260097,9.355,5.28,1.056,0.548413,7.33968021,73.444748,260.534241,215.409775
449,9.455931955649724,6,0.2964789,7.627,4.716,1.084,0.513669,9.05764963,68.438759,230.212814,159.043579
450,9.236572006437065,13,0.2889586,7.527,5.173,1.056,0.471734,7.6330479,109.072426,214.431442,164.574951
451,9.522878745280336,8,0.2618231,9.063,5.208,1.081,0.580034,3.52617728,66.625565,206.552399,166.03801
452,9.619788758288394,9,0.1711148,7.502,5.381,1.059,0.459212,6.88604829,72.8685,239.090302,172.772263
453,9.267606240177033,8,0.3414935,8.295,5.079,1.066,0.527814,5.63201871,58.233757,1100.405884,125.645065
454,9.4089353929735,7,0.174067,6.739,4.567,1.043,0.432949,3.96247317,88.902458,217.458176,173.221954
455,9.537602002101044,9,0.3635302,8.129,5.039,1.039,0.480123,6.69261829,92.640305,1098.473267,147.813339
456,9.050609993355089,9,0.2804926,7.674,5.184,1.037,0.48367,3.60077275,94.904953,203.562622,134.425156
457,9.309803919971486,10,0.0977017,6.834,4.622,1.057,0.429299,1.08311516,46.531013,197.941879,95.824944
458,9.585026652029182,7,0.2986154,7.685,4.421,1.026,0.467866,3.98497178,100.524658,220.096207,170.186859
459,9.494850021680094,9,0.3184021,6.847,4.49,1.03,0.434727,4.90851394,66.880455,366.361053,177.611145
460,9.2839966563652,8,0.2917185,7.763,4.593,1.062,0.436979,8.90817122,72.404793,370.812836,287.068176
461,9.42021640338319,10,0.3157523,8.317,4.954,1.06,0.470944,13.4578525,91.408707,217.82431,156.371506
462,9.55284196865778,6,0.401181,8.082,5.094,1.065,0.463236,6.95671709,71.032219,197.132736,149.081207
463,9.481486060122112,8,0.165732,8.596,5.468,1.109,0.511822,6.01943044,68.038383,222.684586,152.541016
464,9.221848749616356,8,0.2550886,9.075,5.774,1.043,0.61764,6.4388506,372.971863,301.074158,238.55162
465,8.721246399047171,10,0.2878922,9.712,6.282,1.056,0.704719,3.92802813,86.706543,258.263153,267.944397
466,9.10790539730952,7,0.098705,7.355,4.829,1.055,0.466161,5.19819975,92.958542,184.485489,112.862411
467,9.214670164989233,9,0.1524727,6.508,4.758,1.037,0.450713,5.15248618,85.986809,197.063354,109.083626
468,8.939302159646388,7,0.2094271,8.147,5.179,1.061,0.533612,3.63784838,46.969971,225.419586,106.34761
469,8.838631997765026,6,0.3046514,8.127,5.146,1.038,0.507863,5.42372479,70.78054,235.397217,200.11145
471,8.872895201635192,9,0.2490306,8.017,5.049,1.05,0.44674,6.94980705,90.594574,193.77861,66.27816
472,9.2839966563652,10,0.1835343,8.344,6.022,1.05,0.561229,3.03188007,75.817169,250.079132,211.686539
473,8.903089986991944,9,0.2034305,8.761,5.797,1.033,0.589492,2.84082838,82.471878,218.808823,208.826233
474,9.397940008672036,7,0.3029091,7.178,4.957,1.029,0.424991,5.1600417,63.043068,163.799759,122.3871
475,9.67778070526608,10,0.2579403,7.541,4.416,1.023,0.492468,2.97387853,89.483696,190.259048,110.869087
476,9.207608310501746,9,0.3248528,8.254,4.896,1.036,0.52721,2.31087524,114.003189,206.938614,97.573883
477,9.142667503568733,11,0.2761087,8.286,5.241,1.064,0.507491,7.96889835,77.798531,205.395737,100.303658
478,9.318758762624412,12,0.3416388,8.93,5.126,1.042,0.543487,6.16536917,105.091377,258.765106,256.800476
479,9.193820026016112,8,0.3453197,8.669,4.955,1.052,0.526699,11.0469618,60.193047,273.285675,202.987473
480,9.2518119729938,9,0.3726492,8.184,5.385,1.048,0.442168,6.98806412,92.521652,315.249268,285.509949
481,9.30102999566398,9,0.306789,8.584,5.157,1.06,0.504299,7.57931531,81.248581,223.618774,207.510025
482,9.508638306165729,11,0.2609833,8.843,5.191,1.085,0.548875,9.0117964,82.66198,202.849762,199.033844
483,9.397940008672036,7,0.3330352,8.193,6.234,1.057,0.541715,8.74854909,70.826859,243.780579,238.233856
484,9.508638306165729,6,0.1597286,8.661,5.549,1.086,0.562451,2.89152892,82.849693,237.712341,189.208298
485,9.167491087293763,6,0.1758953,7.003,4.564,1.082,0.419108,7.35466656,74.269058,186.277237,165.143387
486,9.022276394711152,9,0.2588117,7.685,5.466,1.066,0.460284,7.60882435,56.096104,279.54718,166.239349
487,9.387216143280265,13,0.3064028,9.136,6.075,1.1,0.607214,13.7945222,66.368347,211.963303,202.445358
488,9.67778070526608,4,0.3811087,8.36,5.15,1.024,0.498492,4.46157726,66.23394,203.447678,128.721298
489,9.602059991327964,8,0.2340566,7.408,5.689,1.031,0.49107,7.51771728,88.825851,195.812653,125.083626
490,9.67778070526608,7,0.3286359,8.114,5.493,1.033,0.454826,7.1310642,79.764427,201.645905,139.957489
491,9.522878745280336,10,0.3788688,9.601,6.736,1.081,0.585785,11.9104605,90.658524,213.939987,163.818207
492,9.4089353929735,12,0.2659251,9.06,6.429,1.213,0.562197,10.836722,64.825851,224.874802,256.56311
493,9.4089353929735,8,0.2072247,9.445,6.023,1.069,0.620586,9.60994191,71.264938,215.665146,193.060211
494,9.309803919971486,7,0.2169822,9.691,6.229,1.063,0.648373,4.92314215,114.652084,264.715424,184.838852
495,9.161150909262744,10,0.5101454,9.004,6.873,1.077,0.495301,12.5977512,109.022369,248.110352,274.475922
496,9.161150909262744,7,0.4794441,10.113,7.011,1.065,0.572699,5.91252371,108.630951,287.910217,247.803818
497,9.075720713938118,7,0.3398489,9.919,6.602,1.07,0.617092,10.7514232,118.408783,282.805115,247.949417
498,9.309803919971486,10,0.4916894,7.474,6.22,1.098,0.464845,5.23893013,121.023651,305.94455,252.077545
499,9.080921907623926,7,0.5052062,9.144,6.875,1.094,0.486927,7.94911682,97.691376,257.611786,300.113892
500,9.443697499232712,8,0.4305096,8.64,5.461,1.08,0.473295,7.61971226,103.509048,226.229416,164.8452
501,9.387216143280265,9,0.4878387,9.076,5.986,1.129,0.498642,13.3536199,64.266556,242.551788,232.697983
502,9.356547323513812,8,0.441949,8.786,5.722,1.095,0.475154,7.19849618,130.868103,293.591003,194.738174
503,9.275724130399212,9,0.277316,9.456,6.334,1.079,0.5771,4.78113839,63.140282,275.324219,205.895691
504,9.721246399047171,8,0.2838388,7.859,5.513,1.072,0.46489,5.13282637,87.185692,223.580566,181.125519
505,9.154901959985745,9,0.2308972,8.773,6.225,1.238,0.594905,15.8173924,70.689873,285.942078,285.659241
506,9.229147988357855,8,0.3557848,9.243,6.429,1.07,0.597291,9.20580296,76.842987,214.834656,245.758118
507,9.431798275933003,6,0.2214221,8.874,5.705,1.053,0.608129,6.54283899,102.018204,215.848907,127.471001
508,9.4089353929735,12,0.2112879,9.565,6.297,1.04,0.598293,9.41627304,88.876732,227.879578,281.304382
509,9.397940008672036,8,0.2223326,9.031,5.73,1.071,0.614157,3.84225329,72.008263,222.526642,200.014954
510,9.259637310505756,8,0.2239919,8.934,5.742,1.051,0.573463,3.82069681,77.369843,239.294571,307.977661
511,9.366531544420411,10,0.2695964,8.875,5.976,1.096,0.587092,5.6068674,121.287994,282.679871,312.945618
512,9.337242168318426,13,0.396548,9.195,6.329,1.168,0.523893,7.89164803,109.492294,240.865036,203.191345
513,9.481486060122112,12,0.4251577,8.026,6.429,1.066,0.504532,4.75596561,80.466316,270.325439,221.160049
514,9.494850021680094,11,0.2075346,9.083,6.325,1.095,0.54314,5.34258612,87.641655,226.863739,186.202087
515,8.297569463554474,8,0.3605467,9.808,6.07,1.114,0.557813,9.59914714,86.297859,222.086914,172.956802
516,8.381951903287908,11,0.2354398,8.35,5.938,1.065,0.563311,8.25376045,83.679047,237.448181,160.078903
517,9.113509274827518,8,0.4289713,8.238,5.889,1.08,0.454668,2.30157995,73.987213,242.192123,177.52771
518,9.387216143280265,12,0.3360314,8.556,6.26,1.048,0.494978,6.43268364,80.884415,247.566544,198.048279
519,8.97061622231479,10,0.2154273,8.821,5.592,1.063,0.560157,4.1459636,101.175552,207.424927,140.388779
520,9.080921907623926,8,0.3029396,7.784,5.023,1.092,0.491242,10.9444799,54.421738,210.563461,122.780464
521,9.142667503568733,4,0.3582226,7.188,4.557,1.042,0.439362,3.89884638,86.081612,208.733521,129.494293
522,8.94692155651658,5,0.2892825,6.926,4.621,1.041,0.43773,5.58837317,71.497261,183.983002,136.139587
