mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,3.64,10.844,2.07,1.825,0.736,0.156,0.45,0.433,0.46,0.314,0.162,0.326,0.252,0.45,0.243,0.357,8,0.0865694,5.652,3.819,1.19,0.389364,13.0932163,25.887056,113.478989,112.346581
2,9.30102999566398,1.29,7.796,3.136,2.328,0.588,0.156,0.498,0.402,0.334,0.283,0.214,0.32,0.236,0.401,0.162,0.407,10,0.0285117,5.3,4.432,1.185,0.367822,9.6022791,36.759052,252.398682,92.182404
3,6.214670164989233,8.67,23.785,13.869,1.384,0.609,0.151,0.039,0.309,0.369,0.001,0.102,0.007,0.185,0.016,0.197,0.203,4,0.1267307,5.918,2.973,1.066,0.439075,6.62505082,63.575489,94.348915,160.149246
4,7.920818753952375,2.53,233.105,8.562,2.368,0.955,0.151,0.757,0.54,0.421,0.565,0.253,0.565,0.291,0.672,0.397,0.472,6,0.169505,5.523,3.417,1.156,0.374435,10.6419598,45.734127,257.707275,96.276688
6,7.823908740944319,3.25,209.04,3.776,1.107,0.977,0.156,0.759,0.509,0.38,0.3,0.087,0.366,0.168,0.434,0.178,0.451,6,0.1710192,5.549,3.315,1.156,0.406198,7.55694581,57.084003,239.422653,78.876579
7,7.207608310501746,4.45,12.942,2.504,0.924,0.791,0.158,0.499,0.429,0.442,0.261,0.123,0.298,0.208,0.434,0.226,0.282,2,0.1516546,5.34,3.212,1.159,0.381463,9.12423065,40.043446,352.720306,138.21492
8,8.619788758288394,6.96,14.125,2.756,1.016,0.789,0.153,0.49,0.447,0.324,0.269,0.085,0.306,0.154,0.449,0.15,0.302,5,0.1766049,5.928,3.178,1.172,0.416159,9.52076195,52.364227,269.219269,116.214226
9,7.341988603342887,2.4,30.873,7.237,0.867,0.792,0.167,0.038,0.543,0.296,0.007,0.061,0.496,0.13,0.587,0.123,0.026,7,0.0741156,4.448,3.178,1.184,0.308213,9.28106459,40.134815,231.305756,51.667618
10,8.698970004336019,8.22,13.704,2.582,1.41,0.774,0.155,0.505,0.427,0.353,0.227,0.156,0.276,0.205,0.348,0.242,0.343,8,0.1256243,5.3,4.34,1.129,0.428166,7.45216827,41.243317,224.939117,85.52623
12,7.744727494896693,3.58,183.643,9.402,1.814,0.942,0.154,0.363,0.484,0.539,0.407,0.29,0.469,0.343,0.344,0.524,0.37,9,0.0304438,5.446,3.403,1.226,0.368575,14.6589815,43.924393,239.667206,141.501953
