mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,8.18,227.242,9.485,2.493,0.95,0.156,0.508,0.476,0.38,0.421,0.216,0.252,0.501,0.219,0.454,0.352,0.369,7,0.110246,5.575,4.021,1.198,0.364193,6.40299032,43.347027,109.19577,117.415863
2,9.30102999566398,7.95,84.456,47.942,5.185,0.614,0.156,0.089,0.062,0.456,0.009,0.011,0.317,0.029,0.348,0.202,0.009,0.136,6,0.0743997,5.516,4.192,1.217,0.363898,12.7868876,35.462532,278.987732,89.126175
3,6.214670164989233,6.16,208.25,21.672,2.477,0.896,0.151,0.732,0.028,0.441,0.002,0.187,0.281,0.011,0.326,0.4,0.294,0.339,6,0.1431312,5.794,3.178,1.066,0.423548,6.47687255,58.734352,99.046669,153.365875
4,7.920818753952375,0.01,12.478,2.763,2.57,0.701,0.151,0.5,0.447,0.393,0.258,0.253,0.26,0.467,0.339,0.447,0.357,0.498,6,0.0846998,6.197,3.247,1.003,0.409761,10.5453098,39.761238,260.581848,127.294601
6,7.823908740944319,4.32,26.784,10.087,2.649,0.678,0.156,0.03,0.552,0.437,0.002,0.208,0.287,0.403,0.328,0.339,0.149,0.248,7,0.2011628,5.787,3.315,1.146,0.374692,7.364356,49.517918,238.074188,90.08049
7,7.207608310501746,9.91,13.169,2.481,0.878,0.797,0.158,0.501,0.454,0.43,0.268,0.136,0.213,0.452,0.221,0.462,0.29,0.417,5,0.1164362,5.179,2.836,1.158,0.384627,9.05877307,35.262482,317.556091,135.982681
8,8.619788758288394,0.89,13.178,2.646,1.523,0.76,0.153,0.51,0.432,0.339,0.262,0.114,0.181,0.439,0.185,0.427,0.319,0.444,6,0.1403882,5.44,3.178,1.119,0.408701,9.558139,40.36512,233.357376,121.616547
9,7.341988603342887,2.4,30.873,7.237,0.867,0.792,0.167,0.038,0.543,0.296,0.007,0.061,0.13,0.587,0.123,0.292,0.026,0.242,7,0.0741156,4.448,3.178,1.184,0.308213,9.28106459,40.134815,231.305756,51.667618
10,8.698970004336019,7.12,14.129,2.592,0.795,0.807,0.155,0.488,0.448,0.305,0.295,0.056,0.123,0.475,0.108,0.414,0.323,0.452,9,0.1984896,5.6,4.409,1.129,0.426091,9.9870207,36.298264,233.177475,104.016373
12,7.744727494896693,9.66,150.668,7.655,2.327,0.938,0.154,0.183,0.48,0.411,0.626,0.208,0.256,0.597,0.429,0.358,0.326,0.382,8,0.1626777,5.385,3.812,1.18,0.419579,8.85580513,40.371376,279.718964,126.931038
13,7.552841968657781,2.9,121.818,9.613,2.014,0.913,0.153,0.171,0.482,0.41,0.558,0.253,0.309,0.584,0.48,0.354,0.285,0.381,8,0.169033,5.463,3.505,1.173,0.394618,11.2975762,17.764832,275.121735,79.16729
14,8.017728766960431,1.44,160.646,8.818,2.969,0.932,0.153,0.301,0.404,0.404,0.525,0.307,0.296,0.455,0.366,0.369,0.349,0.336,7,0.1242535,5.667,4.053,1.24,0.418747,11.8012277,80.639374,274.847931,102.646042
15,8.920818753952375,6.67,38.598,7.129,2.405,0.802,0.159,0.033,0.497,0.357,0.001,0.122,0.295,0.193,0.474,0.296,0.046,0.228,7,0.0540323,5.096,3.81,1.391,0.356881,15.2620777,29.017696,231.844925,96.028908
16,7.301029995663981,6.5,10.159,2.593,0.842,0.747,0.159,0.517,0.417,0.353,0.283,0.07,0.149,0.482,0.164,0.429,0.28,0.414,8,0.1156782,4.805,3.349,1.174,0.340532,9.22747177,33.220467,235.46524,91.137024
17,8.537602002101044,6.44,8.312,3.37,0.986,0.656,0.159,0.514,0.446,0.32,0.257,0.095,0.146,0.299,0.179,0.427,0.381,0.525,7,0.1122939,5.163,3.486,1.158,0.368851,8.21854012,42.14238,250.296234,80.098808
19,7.494850021680094,0.12,14.119,2.852,1.378,0.769,0.153,0.52,0.357,0.342,0.226,0.112,0.172,0.376,0.159,0.406,0.284,0.397,8,0.1503143,5.868,4.192,1.03,0.405058,8.33150763,47.827446,272.729553,117.365234
20,7.657577319177793,0.0,18.409,2.85,1.261,0.817,0.147,0.564,0.448,0.416,0.239,0.136,0.212,0.454,0.202,0.476,0.325,0.469,9,0.0004341,6.434,4.261,1.0,0.45795,8.36099183,42.064922,292.928406,209.87616
21,7.958607314841775,9.92,19.172,2.648,1.022,0.839,0.149,0.581,0.412,0.372,0.23,0.129,0.187,0.446,0.182,0.455,0.321,0.458,10,0.0967119,6.251,4.192,1.233,0.461521,9.38121762,47.372803,291.305573,145.149902
