mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
31,8.568636235841012,7.85,207.666,4.221,1.664,0.972,0.156,0.788,0.476,0.426,0.25,0.141,0.341,0.248,0.422,0.276,0.393,10,0.0520787,5.263,4.163,1.214,0.421331,9.66102714,45.060947,247.059692,64.187424
32,8.022276394711152,9.61,14.585,2.92,0.759,0.799,0.158,0.459,0.385,0.312,0.227,0.062,0.273,0.124,0.369,0.12,0.265,8,0.0588551,5.232,3.942,1.281,0.419881,11.6514001,39.571316,261.616943,71.03418
33,7.886056647693163,8.15,11.878,3.65,0.982,0.719,0.154,0.542,0.456,0.341,0.236,0.067,0.302,0.148,0.416,0.157,0.323,6,0.0785817,5.532,4.248,1.138,0.399195,8.78454765,49.495556,233.554672,111.551842
34,8.494850021680094,4.04,10.224,4.138,0.858,0.672,0.159,0.492,0.488,0.446,0.255,0.179,0.33,0.231,0.399,0.198,0.312,8,0.1711545,5.542,4.043,1.213,0.368287,11.3893934,47.210155,250.10257,84.470772
35,7.045757490560675,7.46,7.308,3.62,1.149,0.605,0.16,0.53,0.435,0.258,0.239,0.105,0.296,0.121,0.369,0.248,0.272,8,0.0408639,5.001,2.957,1.243,0.313127,11.2941401,50.902264,244.024033,62.594425
36,8.585026652029182,5.22,25.637,7.347,1.677,0.74,0.154,0.055,0.336,0.454,0.006,0.008,0.039,0.117,0.099,0.184,0.024,10,0.0727435,5.4,4.146,1.189,0.416531,9.44783916,30.306656,229.703094,71.085739
37,8.214670164989233,2.1,12.135,3.657,0.751,0.734,0.155,0.447,0.35,0.281,0.193,0.054,0.24,0.117,0.33,0.123,0.248,8,0.0627497,5.092,3.914,1.164,0.392254,10.7256081,40.753677,262.044006,47.77504
38,8.346787486224656,6.77,99.783,61.614,2.302,0.61,0.154,0.115,0.062,0.496,0.008,0.007,0.018,0.22,0.033,0.571,0.04,8,0.1262011,5.602,4.313,1.118,0.420282,8.5562495,35.471722,255.422607,70.161293
39,8.823908740944319,5.64,50.958,11.751,1.533,0.793,0.153,0.053,0.488,0.428,0.005,0.082,0.411,0.303,0.519,0.415,0.042,10,0.1688525,5.795,4.477,1.134,0.413726,8.62228733,42.75996,262.057495,83.887909
40,8.698970004336019,1.14,6.874,3.953,0.975,0.582,0.162,0.528,0.42,0.292,0.2,0.221,0.275,0.17,0.283,0.414,0.277,6,0.0463888,5.027,3.349,1.269,0.30846,11.0106606,47.513142,241.550247,64.970856
41,6.823908740944319,1.43,7.325,3.822,0.706,0.618,0.162,0.53,0.442,0.282,0.241,0.06,0.297,0.117,0.39,0.124,0.26,5,0.0513606,4.392,3.212,1.154,0.311616,8.87829459,48.672718,222.403992,65.539421
42,8.55284196865778,0.0,6.873,3.915,0.618,0.603,0.163,0.527,0.468,0.257,0.231,0.077,0.303,0.116,0.382,0.136,0.26,7,0.0005064,4.599,3.194,1.0,0.306157,8.33399392,32.296783,227.381958,89.236534
43,7.744727494896693,6.43,5.811,4.249,0.928,0.529,0.163,0.518,0.424,0.307,0.22,0.054,0.274,0.125,0.337,0.117,0.246,6,0.0437584,4.264,3.365,1.142,0.298852,8.47008454,31.799166,228.82901,62.802856
44,8.886056647693163,6.56,7.635,3.179,0.836,0.655,0.161,0.528,0.47,0.29,0.271,0.056,0.326,0.121,0.463,0.122,0.266,5,0.1439196,4.891,2.529,1.172,0.306952,9.34904058,19.575644,227.597733,49.271114
45,9.045757490560677,9.07,8.233,4.633,0.925,0.597,0.156,0.479,0.407,0.294,0.295,0.053,0.308,0.119,0.349,0.133,0.315,6,0.1495098,5.333,4.238,1.086,0.3639,7.47491772,47.33429,263.402161,91.317841
46,8.886056647693163,2.5,15.405,3.437,0.753,0.786,0.151,0.477,0.404,0.275,0.2,0.062,0.254,0.12,0.331,0.121,0.271,5,0.1362592,6.17,3.383,1.172,0.436042,9.72248343,66.377029,274.819946,126.695396
47,8.0,5.19,132.871,5.355,1.78,0.949,0.162,0.192,0.444,0.413,0.317,0.218,0.348,0.288,0.462,0.354,0.223,6,0.0160719,4.582,3.315,1.143,0.307115,7.84328488,49.40379,221.166016,79.311813
49,9.221848749616356,4.86,183.902,97.423,3.041,0.647,0.151,0.32,0.183,0.395,0.921,0.174,0.27,0.255,0.095,0.389,0.587,8,0.1305236,6.164,4.116,1.133,0.414602,10.699011,48.431213,256.55249,104.12944
50,8.522878745280337,7.45,213.729,6.623,1.824,0.962,0.154,0.361,0.469,0.375,0.254,0.249,0.323,0.269,0.377,0.304,0.346,9,0.0730937,5.631,3.334,1.082,0.35833,5.69717303,42.182232,274.274139,92.22065
51,8.481486060122112,2.05,8.196,6.124,1.263,0.526,0.152,0.376,0.46,0.37,0.277,0.131,0.373,0.196,0.406,0.193,0.302,9,0.0531812,5.799,3.678,1.125,0.375982,3.41185891,46.300186,293.614899,84.826546
52,8.275724130399212,0.92,62.496,5.131,1.777,0.9,0.156,0.062,0.46,0.467,0.101,0.047,0.376,0.335,0.503,0.431,0.051,6,0.0844138,5.158,3.57,1.124,0.350011,7.80334283,44.228371,254.643784,74.612328
53,8.67778070526608,6.83,11.918,5.796,0.867,0.641,0.152,0.426,0.428,0.322,0.282,0.082,0.361,0.157,0.446,0.15,0.301,8,0.1347506,6.044,4.094,1.162,0.423351,8.80004116,52.859406,263.661377,70.578278
54,8.585026652029182,4.02,243.685,144.342,1.499,0.626,0.154,0.431,0.462,0.432,0.625,0.224,0.512,0.269,0.412,0.269,0.511,9,0.1441856,5.587,3.607,1.119,0.358048,9.67397767,68.078049,267.620789,65.988342
55,8.585026652029182,7.01,9.038,5.904,0.952,0.569,0.153,0.424,0.451,0.335,0.332,0.087,0.407,0.158,0.491,0.18,0.27,8,0.1537801,6.04,3.437,1.265,0.369428,8.49649881,26.490068,245.754028,53.317265
56,8.0,8.2,87.902,8.602,1.012,0.901,0.155,0.086,0.417,0.426,0.339,0.142,0.336,0.218,0.422,0.302,0.176,7,0.0866999,5.439,3.471,1.14,0.355139,8.03147196,28.26148,251.853104,47.314342
57,7.552841968657781,4.9,8.409,5.303,1.179,0.565,0.156,0.421,0.457,0.467,0.308,0.083,0.371,0.202,0.405,0.23,0.302,9,0.1195243,5.469,4.138,1.172,0.372935,12.765007,55.007317,263.926086,122.659912
