mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,5,0.0799964,5.445,3.955,1.203,0.390897,12.1988191,47.831215,102.262955,124.557678
2,9.30102999566398,9,0.0538725,5.563,4.159,1.211,0.371114,10.3892344,55.577415,284.591583,97.448448
3,6.214670164989233,4,0.2054307,6.142,3.076,1.066,0.41666,4.0600134,37.452324,114.487732,166.343521
4,7.920818753952375,6,0.1104765,5.933,3.212,1.196,0.394839,10.9002977,59.752365,248.144379,117.859497
6,7.823908740944319,6,0.1835551,5.67,3.212,1.13,0.391885,7.14828983,77.634567,237.570251,92.655182
7,7.207608310501746,6,0.1155161,5.349,2.871,1.159,0.39909,9.00738057,52.417633,345.214996,149.723358
8,8.619788758288394,5,0.1593055,5.705,3.042,1.172,0.424797,9.40463212,56.472824,235.798965,117.609482
9,7.341988603342887,8,0.0771469,4.464,3.178,1.199,0.306209,9.44836722,30.436657,259.119659,61.768993
10,8.698970004336019,11,0.1732944,5.724,4.579,1.129,0.440318,8.89637115,51.321651,232.71225,109.228928
12,7.744727494896693,10,0.2169981,5.897,3.642,1.182,0.375084,7.31039767,42.297081,229.601089,135.862228
13,7.552841968657781,6,0.120636,5.399,3.607,1.177,0.413659,8.902732,39.436996,267.387482,73.458633
14,8.017728766960431,6,0.1127408,5.763,4.082,1.26,0.432034,13.4473463,45.636497,262.853638,100.014015
15,8.920818753952375,9,0.0528404,4.848,4.183,1.391,0.376402,14.7305451,20.44698,246.588867,98.772758
16,7.301029995663981,7,0.1090038,4.957,3.281,1.173,0.343246,8.98494256,40.29464,219.393646,89.750252
17,8.537602002101044,5,0.1397988,5.012,3.383,1.155,0.359999,8.11066865,44.025444,256.893646,94.059425
19,7.494850021680094,12,0.1532672,5.844,4.259,1.184,0.427122,7.5819508,66.485619,290.455811,108.210854
20,7.657577319177793,11,0.0986213,6.128,4.329,1.16,0.43698,10.2982691,53.490852,329.071838,202.091064
21,7.958607314841775,7,0.1123553,6.0,4.228,1.228,0.461633,13.5042918,76.268845,271.812683,133.984604
22,7.017728766960431,7,0.032902,4.423,3.144,1.212,0.296218,9.61679573,35.771667,261.172638,105.29422
23,8.080921907623926,8,0.1113466,5.775,4.067,1.425,0.365014,15.6218719,53.904346,266.349487,195.645844
