mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,2.09,116.916,8.466,2.114,0.917,0.156,0.117,0.518,0.399,0.536,0.267,0.514,0.289,0.639,0.414,0.345,0.281,7,0.0979308,5.459,4.122,1.182,0.361339,6.18392104,32.544472,102.773888,115.255875
2,9.30102999566398,3.06,8.173,2.955,2.3,0.609,0.156,0.485,0.45,0.346,0.304,0.206,0.346,0.237,0.465,0.193,0.427,0.405,8,0.0291484,5.618,4.228,1.183,0.370641,9.6954454,55.868458,303.061646,92.214417
3,6.214670164989233,4.19,324.877,10.13,1.3,0.966,0.151,0.563,0.462,0.33,0.232,0.091,0.314,0.159,0.385,0.186,0.452,0.342,5,0.1366956,6.126,3.11,1.066,0.447701,5.85084852,75.330009,146.227554,169.764984
4,7.920818753952375,0.68,10.455,3.861,2.337,0.628,0.151,0.527,0.489,0.402,0.255,0.243,0.344,0.276,0.396,0.403,0.473,0.363,6,0.11703,6.128,3.281,1.072,0.390878,10.3749974,49.009903,287.676331,99.185829
6,7.823908740944319,7.45,88.611,8.724,2.14,0.891,0.156,0.121,0.509,0.454,0.655,0.194,0.612,0.275,0.779,0.333,0.361,0.322,5,0.1698217,5.277,3.247,1.128,0.403433,7.40110133,48.717831,228.856537,82.431938
7,7.207608310501746,1.51,10.429,2.726,2.299,0.675,0.158,0.572,0.493,0.435,0.27,0.208,0.315,0.272,0.422,0.284,0.5,0.345,5,0.1702929,5.182,2.939,1.149,0.369577,8.61748334,40.486568,352.664032,144.425461
8,8.619788758288394,4.09,216.696,112.275,2.03,0.655,0.153,0.61,0.251,0.388,0.049,0.245,0.099,0.287,0.083,0.39,0.416,0.321,6,0.1634216,5.678,3.315,1.175,0.425778,9.87162314,47.803879,254.356552,150.75444
9,7.341988603342887,9.34,7.458,2.875,0.789,0.671,0.165,0.578,0.445,0.315,0.289,0.051,0.328,0.121,0.478,0.113,0.446,0.29,7,0.0840064,4.525,3.144,1.198,0.306266,9.39701976,26.14974,219.221924,37.221409
10,8.698970004336019,1.26,275.794,7.404,1.377,0.969,0.155,0.944,0.338,0.294,0.184,0.126,0.243,0.167,0.196,0.185,0.526,0.423,8,0.1843892,5.57,4.511,1.144,0.430674,7.37821399,56.528122,239.090027,78.415794
12,7.744727494896693,9.25,246.346,34.199,4.891,0.863,0.154,0.891,0.028,0.368,0.001,0.051,0.006,0.188,0.01,0.183,0.429,0.302,8,0.1339744,5.876,3.777,1.181,0.427016,9.92028585,42.950291,237.975952,118.375114
13,7.552841968657781,5.5,264.926,75.065,3.742,0.771,0.153,0.291,0.167,0.442,0.261,0.218,0.183,0.297,0.104,0.412,0.3,0.217,8,0.1798984,5.665,3.675,1.176,0.394428,9.28495095,64.910461,298.756744,83.208138
14,8.017728766960431,0.09,13.097,3.359,1.278,0.739,0.153,0.543,0.419,0.373,0.332,0.101,0.321,0.172,0.359,0.181,0.445,0.353,7,0.1201589,5.915,4.115,1.141,0.416388,11.8590288,48.614117,266.919678,103.27137
15,8.920818753952375,3.55,10.458,2.736,0.911,0.741,0.159,0.507,0.37,0.295,0.211,0.082,0.266,0.136,0.417,0.122,0.39,0.317,7,0.062941,5.359,3.802,1.384,0.378019,13.657607,40.07209,229.834244,82.228722
16,7.301029995663981,2.52,9.775,2.571,1.099,0.727,0.159,0.533,0.411,0.302,0.271,0.065,0.302,0.135,0.465,0.135,0.415,0.283,7,0.087005,4.861,3.281,1.158,0.338389,9.11719622,17.91626,219.8302,79.70562
17,8.537602002101044,1.83,7.818,3.466,0.977,0.638,0.159,0.51,0.445,0.307,0.298,0.07,0.335,0.127,0.326,0.142,0.421,0.31,6,0.1365774,4.762,3.281,1.195,0.341172,10.5820023,53.303146,277.486938,94.76329
19,7.494850021680094,3.76,14.481,3.139,1.063,0.775,0.153,0.551,0.436,0.452,0.301,0.097,0.327,0.197,0.421,0.202,0.48,0.322,9,0.0686981,5.708,4.259,1.145,0.414027,10.1316063,56.69157,246.240524,96.648613
20,7.657577319177793,2.37,17.799,3.042,1.296,0.804,0.147,0.562,0.488,0.421,0.257,0.131,0.333,0.216,0.494,0.208,0.49,0.329,7,0.0460805,6.102,4.33,1.142,0.45298,8.38245468,64.021179,341.583313,203.181366
21,7.958607314841775,5.39,17.467,2.468,1.63,0.81,0.149,0.573,0.402,0.321,0.26,0.099,0.292,0.16,0.456,0.172,0.432,0.319,5,0.0846035,5.779,4.261,1.224,0.447741,11.357025,36.918182,308.633484,140.155365
22,7.017728766960431,3.49,169.608,4.707,1.099,0.967,0.162,0.298,0.349,0.449,0.375,0.105,0.361,0.205,0.421,0.266,0.365,0.322,6,0.0168331,4.418,3.383,1.207,0.299084,9.09171774,44.362984,258.78009,87.298187
23,8.080921907623926,4.22,86.506,6.286,3.667,0.897,0.153,0.078,0.438,0.513,0.201,0.375,0.371,0.402,0.418,0.576,0.343,0.193,9,0.1522638,5.397,4.272,1.399,0.347121,15.5401603,55.404137,284.72345,149.854172
24,8.769551078621726,4.46,26.468,8.071,1.706,0.73,0.156,0.033,0.505,0.501,0.001,0.102,0.077,0.353,0.433,0.411,0.346,0.105,8,0.0987264,5.348,4.007,1.106,0.369545,6.12719654,45.280151,289.472809,122.578247
25,7.481486060122112,9.45,163.655,3.294,0.928,0.975,0.156,0.528,0.436,0.303,0.5,0.057,0.394,0.119,0.591,0.133,0.422,0.403,7,0.0860994,4.779,3.212,1.216,0.399212,10.5133871,40.361874,304.102264,97.372429
27,7.958607314841775,4.94,15.895,2.87,0.933,0.807,0.153,0.542,0.378,0.393,0.264,0.086,0.28,0.169,0.393,0.182,0.438,0.31,6,0.1273446,5.603,3.916,1.31,0.429425,13.4265806,60.136341,257.419586,62.274273
28,8.031517051446064,7.22,190.349,5.119,1.957,0.964,0.153,0.641,0.51,0.489,0.419,0.258,0.44,0.325,0.518,0.516,0.547,0.376,7,0.0908371,5.43,3.725,1.183,0.422161,9.94466782,50.794735,1131.816895,90.748497
30,8.229147988357855,7.7,101.364,16.581,2.028,0.845,0.151,0.126,0.422,0.376,0.305,0.234,0.36,0.261,0.45,0.327,0.308,0.23,6,0.1848953,6.271,4.682,1.146,0.504076,9.17219496,64.309761,260.614471,61.460472
31,8.568636235841012,4.98,267.719,11.836,2.2,0.95,0.156,0.919,0.466,0.426,0.609,0.184,0.49,0.274,0.401,0.337,0.603,0.586,11,0.0856424,5.122,4.425,1.232,0.420152,9.60851999,22.530441,254.647614,53.575615
32,8.022276394711152,1.24,199.251,4.272,2.501,0.967,0.156,0.593,0.519,0.339,0.254,0.205,0.359,0.238,0.322,0.348,0.484,0.354,7,0.0709054,5.764,4.35,1.173,0.417436,12.762356,28.291656,245.557709,74.68988
33,7.886056647693163,9.89,254.283,177.654,4.073,0.583,0.154,0.341,0.302,0.433,0.204,0.248,0.212,0.31,0.155,0.447,0.359,0.282,8,0.0767195,5.348,4.248,1.136,0.395275,7.73778808,55.748993,242.412125,97.796066
34,8.494850021680094,6.92,169.827,126.893,1.088,0.57,0.159,0.392,0.699,0.352,0.548,0.117,0.409,0.19,0.442,0.267,0.481,0.368,8,0.1478103,5.054,3.872,1.216,0.373951,10.8172813,32.106495,224.93602,106.451828
35,7.045757490560675,3.49,95.772,4.337,3.423,0.925,0.16,0.136,0.356,0.479,0.467,0.276,0.44,0.344,0.516,0.438,0.323,0.293,7,0.0472649,4.779,2.888,1.229,0.309616,11.3508317,22.92959,230.830658,71.46122
36,8.585026652029182,6.02,260.739,12.763,1.23,0.949,0.155,0.983,0.464,0.411,0.513,0.161,0.457,0.227,0.472,0.274,0.619,0.569,9,0.0622323,5.509,4.282,1.192,0.417239,10.3322851,29.344297,237.057465,87.012787
37,8.214670164989233,6.67,302.971,229.937,55.745,0.515,0.155,0.464,0.496,0.096,0.419,0.045,0.437,0.067,0.275,0.051,0.352,0.324,7,0.0856054,5.393,3.779,1.201,0.392189,10.6646445,24.283182,249.386597,64.091568
38,8.346787486224656,8.03,12.256,3.466,0.804,0.742,0.154,0.479,0.36,0.317,0.173,0.088,0.243,0.149,0.349,0.141,0.385,0.32,8,0.1261733,5.54,4.354,1.12,0.41893,7.16232942,35.409035,271.10202,59.950333
39,8.823908740944319,1.54,12.991,3.317,0.889,0.755,0.153,0.46,0.35,0.31,0.198,0.072,0.238,0.136,0.353,0.142,0.373,0.306,6,0.160868,5.576,4.477,1.115,0.425363,6.1143207,25.870123,256.522156,70.786804
