mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,9.793,2.417,1.708,0.704,0.156,0.493,0.487,0.443,0.264,0.238,0.282,0.36,0.219,0.475,0.355,9,0.0736219,5.244,3.816,1.186,0.366633,7.45666974,53.076614,118.233864,100.439362
2,9.30102999566398,7.286,3.114,2.133,0.581,0.158,0.499,0.531,0.447,0.398,0.146,0.238,0.464,0.203,0.493,0.382,10,0.1150361,5.091,4.395,1.183,0.343592,13.19539,33.778381,258.393677,116.162209
3,6.214670164989233,290.953,114.019,1.764,0.715,0.151,0.39,0.428,0.378,0.435,0.147,0.21,0.332,0.319,0.398,0.313,3,0.1296576,5.804,3.076,1.066,0.451659,5.90082835,77.538185,100.997833,171.224091
4,7.920818753952375,167.145,6.414,2.451,0.95,0.151,0.319,0.383,0.391,0.289,0.233,0.276,0.35,0.421,0.364,0.303,8,0.1055817,5.8,3.212,1.151,0.399436,10.3506976,61.481178,293.536835,108.659058
6,7.823908740944319,12.536,2.439,1.849,0.745,0.156,0.542,0.417,0.356,0.272,0.126,0.198,0.45,0.205,0.438,0.324,6,0.1864832,5.458,3.315,1.158,0.39386,7.17596442,31.754244,237.77655,88.466263
7,7.207608310501746,345.173,243.004,2.62,0.584,0.158,0.558,0.572,0.538,0.695,0.308,0.396,0.963,0.439,0.556,0.595,6,0.2102286,4.997,3.076,1.151,0.332699,9.04771213,69.191536,329.445465,149.880127
8,8.619788758288394,13.823,2.765,1.311,0.772,0.154,0.503,0.427,0.313,0.251,0.106,0.168,0.423,0.17,0.414,0.312,6,0.1700756,5.754,3.144,1.173,0.41653,9.7236449,64.765236,262.679077,121.212402
9,7.341988603342887,7.556,2.985,0.572,0.68,0.165,0.587,0.478,0.281,0.303,0.035,0.096,0.501,0.101,0.448,0.292,7,0.0963589,4.172,3.212,1.19,0.306538,9.40056513,29.155512,243.447388,47.095596
10,8.698970004336019,14.574,2.46,0.805,0.817,0.155,0.465,0.422,0.304,0.275,0.058,0.122,0.446,0.117,0.397,0.308,10,0.1721294,5.645,4.579,1.131,0.431698,8.69686443,56.048351,262.302521,101.652054
12,7.744727494896693,14.246,2.95,1.456,0.764,0.154,0.521,0.411,0.348,0.21,0.157,0.203,0.351,0.183,0.427,0.313,8,0.1999801,5.887,3.847,1.218,0.423269,6.14777567,26.292866,228.698975,152.318481
13,7.552841968657781,47.279,24.627,2.242,0.638,0.153,0.054,0.069,0.456,0.003,0.256,0.313,0.038,0.364,0.193,0.099,7,0.1661715,5.481,3.608,1.172,0.397031,10.6149493,42.439674,261.127838,71.363228
14,8.017728766960431,272.851,135.823,9.252,0.653,0.153,0.977,0.264,0.439,0.181,0.439,0.387,0.306,0.406,0.56,0.559,9,0.1018617,6.01,4.183,1.261,0.414756,12.6983166,48.204914,265.671112,103.510544
15,8.920818753952375,206.85,114.262,36.202,0.579,0.159,0.447,0.233,0.04,0.279,0.001,0.007,0.487,0.014,0.24,0.243,8,0.0672751,5.312,3.781,1.378,0.367908,14.1541799,55.817169,248.339569,94.615257
16,7.301029995663981,10.348,2.612,0.805,0.752,0.159,0.516,0.425,0.302,0.287,0.05,0.118,0.498,0.123,0.414,0.275,6,0.1132932,4.517,3.349,1.167,0.34226,8.88980022,22.988941,241.051712,74.010765
17,8.537602002101044,176.464,6.163,0.979,0.961,0.159,0.219,0.433,0.298,0.505,0.073,0.127,0.591,0.142,0.316,0.271,5,0.1177124,4.709,3.52,1.194,0.364844,7.3224181,27.261272,284.143799,90.58139
19,7.494850021680094,29.562,5.455,1.071,0.819,0.153,0.086,0.201,0.359,0.012,0.031,0.142,0.092,0.152,0.215,0.032,6,0.1652051,5.831,4.329,1.148,0.429991,11.3242521,44.042309,306.078156,94.074387
20,7.657577319177793,19.744,16.403,2.348,0.513,0.147,0.023,0.548,0.47,0.001,0.037,0.28,0.012,0.342,0.347,0.236,8,0.057848,6.47,4.125,1.152,0.449159,7.45734362,42.102634,312.00061,188.858261
21,7.958607314841775,166.193,12.844,2.066,0.918,0.149,0.146,0.47,0.452,0.463,0.209,0.286,0.537,0.405,0.356,0.302,9,0.0986409,6.659,4.16,1.214,0.44864,12.8600631,51.137028,278.387604,173.746521
22,7.017728766960431,221.246,3.167,1.06,0.981,0.162,0.66,0.496,0.324,0.307,0.076,0.148,0.469,0.142,0.493,0.455,5,0.0311989,4.391,3.281,1.21,0.299626,10.3541029,37.091698,289.054077,108.545311
23,8.080921907623926,94.132,5.38,3.988,0.909,0.153,0.139,0.328,0.367,0.382,0.377,0.377,0.471,0.461,0.278,0.284,8,0.1534321,5.866,4.203,1.372,0.349053,14.547476,48.498634,309.203247,160.778442
24,8.769551078621726,128.711,9.643,1.216,0.922,0.156,0.197,0.447,0.39,0.502,0.103,0.181,0.491,0.223,0.345,0.278,8,0.1162327,5.21,3.986,1.106,0.379452,6.05149662,19.902901,293.123932,91.198326
25,7.481486060122112,363.251,8.975,0.956,0.973,0.156,0.978,0.429,0.31,0.579,0.066,0.129,0.89,0.129,0.572,0.56,7,0.0311594,5.488,3.315,1.201,0.400709,10.3449059,38.436707,290.782776,103.685974
27,7.958607314841775,139.739,32.085,3.573,0.797,0.153,0.401,0.026,0.496,0.001,0.287,0.358,0.01,0.452,0.308,0.345,6,0.1267316,5.767,4.017,1.296,0.408982,11.087242,41.648029,247.386215,79.160973
28,8.031517051446064,48.536,13.84,2.505,0.748,0.154,0.05,0.469,0.354,0.002,0.24,0.258,0.573,0.406,0.291,0.213,7,0.0669997,5.869,3.554,1.178,0.425383,9.6487431,33.682987,1116.952515,131.350922
30,8.229147988357855,20.188,3.053,0.866,0.837,0.151,0.499,0.409,0.336,0.249,0.092,0.159,0.372,0.175,0.415,0.354,9,0.1373892,6.138,4.579,1.158,0.520098,10.7028075,47.053013,253.48645,73.660904
31,8.568636235841012,276.844,178.858,4.452,0.602,0.156,0.655,0.397,0.412,0.678,0.233,0.291,0.358,0.533,0.488,0.659,6,0.1321022,5.278,4.157,1.248,0.420699,10.7456709,22.828602,204.511917,122.619179
32,8.022276394711152,207.851,2.569,0.757,0.984,0.156,0.831,0.374,0.353,0.238,0.07,0.146,0.39,0.174,0.519,0.406,9,0.0757955,5.569,4.248,1.271,0.420736,12.9682251,44.637299,217.27562,74.341362
33,7.886056647693163,11.747,3.276,1.329,0.718,0.154,0.543,0.449,0.406,0.24,0.086,0.176,0.414,0.195,0.466,0.331,6,0.0640208,5.583,4.384,1.137,0.397981,8.50907464,31.783541,263.765381,93.438416
34,8.494850021680094,163.164,41.453,6.527,0.773,0.159,0.386,0.035,0.399,0.005,0.007,0.175,0.015,0.308,0.273,0.111,10,0.1474455,5.203,3.941,1.214,0.380705,10.8083406,30.967154,242.781586,104.277809
35,7.045757490560675,7.285,3.647,1.129,0.604,0.16,0.523,0.445,0.271,0.24,0.118,0.132,0.376,0.263,0.413,0.273,6,0.0372466,4.805,2.991,1.23,0.312989,10.1166012,37.439484,259.956085,58.121677
36,8.585026652029182,12.238,4.154,0.899,0.708,0.154,0.434,0.367,0.325,0.202,0.06,0.134,0.328,0.142,0.376,0.256,7,0.0812121,5.513,4.077,1.186,0.403759,9.34408985,51.325455,305.736786,85.209976
37,8.214670164989233,12.273,3.672,0.787,0.734,0.156,0.448,0.361,0.286,0.197,0.055,0.118,0.339,0.125,0.365,0.252,9,0.0722681,5.647,3.949,1.176,0.395191,10.2744909,33.707962,246.584091,78.759277
38,8.346787486224656,105.16,7.802,1.961,0.915,0.154,0.182,0.406,0.402,0.571,0.164,0.283,0.421,0.356,0.33,0.326,8,0.111401,5.831,4.23,1.114,0.39372,10.1969736,46.217251,282.275665,75.789696
