mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,9.99,127.847,3.456,2.033,0.959,0.156,0.202,0.337,0.438,0.487,0.245,0.388,0.289,0.306,0.305,0.326,0.28,8,0.0884481,5.409,4.123,1.198,0.36005,7.2218348,31.033804,117.649628,121.690994
2,9.30102999566398,8.3,7.471,3.003,2.172,0.591,0.156,0.512,0.505,0.522,0.382,0.199,0.399,0.313,0.436,0.204,0.513,0.398,8,0.1105573,5.155,4.155,1.218,0.345628,12.7622281,41.840195,289.254669,72.512642
3,6.214670164989233,2.18,260.669,122.797,1.381,0.677,0.151,0.572,0.741,0.403,0.673,0.137,0.715,0.218,0.509,0.188,0.572,0.412,4,0.1431317,5.869,3.212,1.067,0.44801,5.72125862,81.473892,126.782898,157.047028
4,7.920818753952375,5.06,26.75,4.424,2.948,0.784,0.151,0.044,0.366,0.419,0.024,0.094,0.176,0.253,0.19,0.367,0.276,0.044,6,0.1549275,5.474,3.212,1.182,0.383439,10.8667877,56.136742,265.246155,114.332748
6,7.823908740944319,7.2,191.495,3.283,1.852,0.974,0.157,0.948,0.467,0.368,0.295,0.114,0.344,0.192,0.466,0.21,0.594,0.439,5,0.1956604,5.447,3.247,1.129,0.392302,7.26941979,57.745972,239.724869,115.090942
7,7.207608310501746,7.14,13.208,2.603,0.894,0.791,0.158,0.505,0.455,0.411,0.27,0.127,0.313,0.201,0.453,0.214,0.457,0.289,4,0.1278614,5.542,3.076,1.158,0.386109,9.50464991,48.056107,357.823059,140.596252
8,8.619788758288394,2.89,14.955,2.71,0.794,0.81,0.153,0.479,0.448,0.254,0.27,0.05,0.305,0.104,0.453,0.099,0.393,0.283,7,0.1549536,5.787,3.178,1.172,0.422436,9.63401604,35.729126,264.681213,114.538818
9,7.341988603342887,9.34,7.458,2.875,0.789,0.671,0.165,0.578,0.445,0.315,0.289,0.051,0.328,0.121,0.478,0.113,0.446,0.29,7,0.0840064,4.525,3.144,1.198,0.306266,9.39701976,26.14974,219.221924,37.221409
10,8.698970004336019,1.63,142.722,126.562,2.787,0.525,0.155,0.31,0.6,0.367,0.186,0.278,0.219,0.317,0.667,0.277,0.426,0.306,9,0.1824162,5.539,4.34,1.136,0.440277,7.48835023,42.462254,234.236313,92.961082
12,7.744727494896693,9.76,202.848,12.752,1.752,0.933,0.154,0.415,0.414,0.412,0.36,0.122,0.386,0.186,0.398,0.203,0.414,0.326,10,0.1550605,5.732,3.608,1.18,0.429196,10.0417077,57.54261,218.169189,122.381302
