mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
32,8.022276394711152,167.877,96.961,2.732,0.627,0.156,0.223,0.199,0.37,0.135,0.288,0.293,0.148,0.471,0.264,0.214,9,0.0659001,5.497,4.077,1.274,0.420078,11.8789394,28.770237,227.724731,83.818428
33,7.886056647693163,218.952,9.456,1.108,0.954,0.154,0.31,0.408,0.332,0.391,0.072,0.143,0.472,0.164,0.35,0.268,9,0.1595835,5.411,4.317,1.136,0.390071,7.79744777,27.55633,254.992142,110.071068
34,8.494850021680094,12.517,2.681,1.441,0.752,0.159,0.485,0.401,0.307,0.237,0.083,0.151,0.393,0.15,0.398,0.273,7,0.1032201,5.089,3.907,1.217,0.390691,9.54494292,33.823318,250.753403,83.849838
35,7.045757490560675,7.255,3.718,1.013,0.605,0.166,0.519,0.43,0.27,0.235,0.103,0.127,0.368,0.238,0.406,0.266,7,0.0426518,4.952,2.923,1.242,0.311635,10.8732642,33.229496,238.284821,59.222477
36,8.585026652029182,237.08,8.918,0.967,0.96,0.154,0.84,0.471,0.313,0.312,0.076,0.14,0.497,0.168,0.542,0.415,7,0.0343254,5.575,4.248,1.192,0.412996,9.81011272,25.826361,238.968079,84.683037
37,8.214670164989233,267.701,39.909,2.816,0.862,0.155,0.928,0.065,0.384,0.003,0.158,0.236,0.026,0.254,0.459,0.334,7,0.099128,5.466,3.813,1.197,0.388595,10.469465,32.916073,238.745056,59.094097
38,8.346787486224656,11.765,3.689,0.882,0.72,0.155,0.476,0.361,0.356,0.178,0.079,0.163,0.35,0.167,0.398,0.324,10,0.1190455,5.283,4.531,1.118,0.41602,9.07831695,30.770912,241.403427,78.823616
39,8.823908740944319,147.629,31.579,4.153,0.805,0.153,0.266,0.029,0.388,0.003,0.02,0.461,0.013,0.325,0.228,0.167,8,0.1670958,5.469,4.545,1.134,0.433267,5.20651933,26.773436,280.038269,89.255348
40,8.698970004336019,6.123,4.273,0.951,0.54,0.162,0.519,0.41,0.289,0.186,0.197,0.161,0.266,0.394,0.406,0.267,6,0.0435576,4.948,3.315,1.249,0.300355,9.6495912,35.182362,274.263428,51.104553
41,6.823908740944319,298.918,128.46,3.887,0.693,0.162,0.665,0.296,0.369,0.14,0.251,0.243,0.161,0.341,0.443,0.32,6,0.0401978,4.442,3.11,1.158,0.313053,9.0452383,24.043274,260.80484,67.419968
42,8.55284196865778,155.17,6.868,1.071,0.951,0.163,0.197,0.508,0.447,0.451,0.174,0.249,0.557,0.271,0.384,0.256,7,0.0591226,4.64,3.229,1.136,0.307691,8.33680444,57.355118,238.059158,94.246704
43,7.744727494896693,223.676,33.734,4.165,0.855,0.163,0.903,0.037,0.454,0.005,0.004,0.247,0.015,0.353,0.465,0.337,9,0.0427601,4.99,3.024,1.143,0.301203,7.97523821,68.015289,228.862549,57.075146
44,8.886056647693163,7.617,2.929,0.909,0.665,0.161,0.534,0.474,0.305,0.278,0.061,0.13,0.47,0.132,0.438,0.276,6,0.097091,4.714,2.256,1.171,0.305441,8.87515014,33.379467,186.921951,115.073959
45,9.045757490560677,10.258,3.739,0.964,0.686,0.156,0.498,0.341,0.324,0.189,0.107,0.165,0.331,0.144,0.388,0.293,8,0.0692769,5.579,4.272,1.087,0.375452,11.4136895,55.999962,298.58374,100.463188
46,8.886056647693163,16.049,3.518,0.596,0.796,0.151,0.478,0.427,0.256,0.212,0.042,0.096,0.349,0.099,0.387,0.268,5,0.1167487,6.386,3.383,1.172,0.442637,10.1372767,47.793358,247.642975,121.327988
47,8.0,7.174,3.919,0.708,0.608,0.162,0.536,0.468,0.291,0.255,0.047,0.113,0.407,0.112,0.432,0.263,6,0.0388369,4.891,3.144,1.144,0.310589,9.65114369,31.854645,242.910019,66.101212
49,9.221848749616356,192.379,135.506,5.211,0.578,0.151,0.252,0.188,0.457,0.16,0.563,0.435,0.338,0.335,0.299,0.31,7,0.1472919,6.053,4.15,1.137,0.401103,3.69439141,62.30098,301.019592,86.684494
50,8.522878745280337,9.122,6.007,0.686,0.577,0.154,0.372,0.469,0.282,0.325,0.053,0.116,0.473,0.135,0.374,0.241,8,0.0599665,5.571,3.266,1.084,0.365009,5.62573712,38.036381,317.83371,75.660248
51,8.481486060122112,6.674,6.061,1.69,0.463,0.152,0.412,0.443,0.446,0.316,0.216,0.286,0.358,0.241,0.434,0.312,8,0.1239765,5.476,3.532,1.133,0.347012,8.82062049,44.303493,261.024872,89.993759
52,8.275724130399212,7.222,4.175,1.67,0.553,0.156,0.455,0.548,0.499,0.341,0.16,0.272,0.434,0.243,0.501,0.344,6,0.1661861,4.967,3.668,1.143,0.344317,10.2855995,51.446247,248.394516,97.980423
53,8.67778070526608,167.503,41.727,5.792,0.779,0.152,0.2,0.067,0.404,0.051,0.475,0.422,0.097,0.552,0.224,0.209,9,0.1547139,5.973,4.048,1.159,0.402391,3.17805745,42.551071,286.652679,78.102715
54,8.585026652029182,145.923,5.271,1.322,0.957,0.154,0.186,0.429,0.451,0.291,0.142,0.241,0.52,0.274,0.355,0.255,7,0.1008754,5.66,3.772,1.132,0.35313,9.02823276,16.430223,266.483154,81.199448
55,8.585026652029182,11.035,5.505,0.836,0.635,0.153,0.378,0.451,0.283,0.382,0.053,0.12,0.442,0.133,0.371,0.262,7,0.0975378,5.938,3.608,1.261,0.391961,13.4829497,45.465637,258.388428,54.019894
56,8.0,8.081,4.033,1.303,0.602,0.155,0.462,0.544,0.386,0.381,0.088,0.176,0.54,0.188,0.464,0.316,9,0.1012357,5.247,3.436,1.14,0.342827,8.68485448,40.700928,236.172928,74.318954
57,7.552841968657781,6.478,5.249,1.935,0.474,0.155,0.459,0.493,0.505,0.357,0.184,0.296,0.335,0.322,0.486,0.355,7,0.1833052,5.525,4.102,1.172,0.350029,11.7682792,41.140862,262.031982,128.558807
