mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
31,8.568636235841012,5.55,12.932,2.631,0.926,0.784,0.156,0.52,0.406,0.382,0.215,0.056,0.151,0.437,0.168,0.436,0.345,9,0.1188722,5.627,4.199,1.229,0.423772,10.4028166,57.243176,245.608307,57.688766
32,8.022276394711152,6.89,132.77,35.568,2.661,0.776,0.156,0.299,0.037,0.334,0.001,0.243,0.265,0.013,0.374,0.223,0.187,8,0.0883653,5.711,4.043,1.276,0.416658,11.9324235,51.736404,214.727325,95.817711
33,7.886056647693163,2.73,11.037,3.606,1.131,0.7,0.154,0.524,0.46,0.374,0.254,0.075,0.16,0.423,0.173,0.453,0.326,7,0.0883548,5.359,4.352,1.138,0.390217,7.62560566,28.34034,244.816803,103.075066
34,8.494850021680094,3.8,28.427,2.968,1.627,0.861,0.159,0.082,0.302,0.501,0.077,0.004,0.061,0.262,0.093,0.295,0.038,7,0.0359908,5.364,4.112,1.212,0.405156,9.72522327,35.479141,227.862686,102.662247
35,7.045757490560675,7.37,7.009,3.606,1.125,0.597,0.161,0.517,0.428,0.255,0.233,0.087,0.115,0.357,0.202,0.4,0.259,8,0.0557625,4.87,3.094,1.243,0.306932,10.9813727,31.029337,262.565277,62.089024
36,8.585026652029182,1.76,226.332,6.287,0.877,0.969,0.154,0.936,0.389,0.361,0.099,0.076,0.158,0.25,0.191,0.562,0.383,6,0.0735331,5.724,4.351,1.167,0.419731,10.2200116,38.478172,244.613297,80.946892
37,8.214670164989233,5.95,235.618,7.289,1.156,0.965,0.155,0.55,0.402,0.42,0.342,0.156,0.237,0.354,0.241,0.457,0.413,7,0.0804067,5.417,3.984,1.196,0.400242,10.9233138,42.491161,232.065109,55.619995
38,8.346787486224656,4.42,230.064,4.941,0.862,0.975,0.154,0.316,0.416,0.325,0.303,0.054,0.136,0.434,0.158,0.353,0.254,9,0.1221092,5.765,4.253,1.117,0.424184,7.13168874,35.085209,272.772125,66.724609
39,8.823908740944319,4.7,12.117,3.443,1.109,0.727,0.153,0.499,0.352,0.325,0.222,0.133,0.183,0.349,0.156,0.392,0.307,9,0.1716377,5.488,4.34,1.128,0.39883,11.1293819,56.369514,276.000061,81.527962
40,8.698970004336019,5.87,242.898,6.399,1.298,0.969,0.162,0.504,0.523,0.327,0.401,0.353,0.233,0.335,0.244,0.451,0.441,6,0.0450532,4.6,3.349,1.25,0.301537,11.1196029,52.9403,272.041901,58.929241
41,6.823908740944319,2.67,7.051,3.744,0.713,0.613,0.162,0.534,0.452,0.275,0.24,0.07,0.118,0.392,0.131,0.42,0.27,5,0.0219146,4.475,3.144,1.149,0.308496,8.88024852,22.102423,251.461746,68.9104
42,8.55284196865778,0.27,7.291,3.565,0.716,0.63,0.163,0.545,0.455,0.297,0.248,0.067,0.123,0.398,0.136,0.432,0.257,7,0.0556154,4.486,3.127,1.058,0.307149,8.12186259,31.362617,225.487488,76.184898
43,7.744727494896693,7.15,235.965,111.521,2.733,0.674,0.163,0.834,0.185,0.518,0.151,0.265,0.33,0.084,0.393,0.512,0.4,7,0.0437217,4.393,3.263,1.142,0.301167,7.94060854,12.196433,236.278046,60.422951
44,8.886056647693163,9.57,131.12,3.813,1.522,0.961,0.161,0.192,0.468,0.474,0.336,0.199,0.286,0.512,0.341,0.378,0.198,4,0.0730513,4.593,2.529,1.175,0.307477,9.36396651,34.990246,238.194168,75.240456
45,9.045757490560677,9.74,195.885,6.428,0.895,0.964,0.156,0.633,0.395,0.283,0.36,0.048,0.112,0.299,0.139,0.437,0.432,5,0.127711,5.581,4.169,1.087,0.36321,6.66657872,36.576172,265.239838,90.154152
46,8.886056647693163,8.29,174.279,10.141,1.499,0.937,0.151,0.199,0.43,0.362,0.433,0.122,0.194,0.556,0.263,0.33,0.299,6,0.1740227,6.401,3.212,1.172,0.433151,9.74906549,47.251442,219.370117,111.188377
47,8.0,4.43,247.067,3.207,0.917,0.984,0.162,0.815,0.484,0.335,0.268,0.074,0.148,0.349,0.166,0.545,0.461,6,0.0696424,4.585,3.315,1.143,0.305548,8.65325052,28.689196,231.919724,59.079739
49,9.221848749616356,6.24,182.974,5.925,1.63,0.96,0.151,0.282,0.545,0.436,0.543,0.103,0.21,0.424,0.309,0.421,0.359,8,0.1165889,5.965,3.91,1.137,0.410748,10.6901894,55.593716,295.788452,109.799179
50,8.522878745280337,6.11,8.705,6.287,0.862,0.549,0.154,0.37,0.489,0.327,0.34,0.075,0.138,0.45,0.157,0.395,0.252,6,0.0378563,5.835,3.436,1.084,0.362463,8.57964447,55.625008,318.922241,86.250046
51,8.481486060122112,1.5,312.892,233.414,4.496,0.568,0.152,0.957,0.784,0.44,0.745,0.276,0.342,0.369,0.34,0.727,0.71,9,0.105966,5.633,3.871,1.119,0.376612,4.51285733,43.671879,254.447601,92.088615
52,8.275724130399212,3.17,127.401,4.633,1.028,0.957,0.156,0.207,0.414,0.403,0.276,0.116,0.21,0.529,0.259,0.341,0.187,8,0.0905781,5.531,3.808,1.145,0.368439,4.61019403,58.47118,253.676666,93.49511
53,8.67778070526608,1.13,318.654,6.14,3.975,0.969,0.152,0.665,0.433,0.339,0.383,0.189,0.239,0.425,0.273,0.479,0.367,7,0.1232915,6.132,4.015,1.161,0.415821,11.861413,41.146938,236.900818,92.094421
