mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,9.015,2.35,1.824,0.684,0.156,0.486,0.481,0.489,0.27,0.211,0.286,0.359,0.225,0.486,0.346,8,0.0743274,5.27,3.849,1.2,0.355999,8.10866817,37.883984,132.308167,120.050171
2,9.30102999566398,8.151,3.208,1.985,0.611,0.158,0.491,0.514,0.48,0.358,0.223,0.298,0.483,0.25,0.495,0.428,8,0.0686498,5.515,4.227,1.221,0.368929,12.0062789,48.025993,301.307312,89.186516
3,6.214670164989233,119.698,13.275,2.731,0.882,0.151,0.097,0.47,0.463,0.553,0.195,0.298,0.654,0.288,0.343,0.251,6,0.1427878,6.062,2.939,1.066,0.41785,5.96685518,50.524582,149.867889,159.629227
4,7.920818753952375,328.028,196.937,105.749,0.52,0.151,0.644,0.212,0.356,0.166,0.226,0.265,0.225,0.293,0.404,0.415,6,0.1158718,5.906,3.212,1.2,0.390473,10.3480981,79.63102,278.398529,144.484787
6,7.823908740944319,56.197,9.37,2.02,0.831,0.156,0.09,0.521,0.361,0.547,0.154,0.219,0.735,0.233,0.324,0.25,5,0.200971,5.969,3.178,1.124,0.392673,7.43041007,42.872967,252.805328,96.15873
7,7.207608310501746,341.522,92.271,2.529,0.783,0.158,0.735,0.375,0.458,0.394,0.231,0.293,0.38,0.399,0.523,0.469,4,0.1214926,4.997,3.007,1.158,0.379648,9.4852067,41.683548,327.929901,148.29863
8,8.619788758288394,284.041,6.325,2.573,0.97,0.153,0.928,0.526,0.424,0.231,0.251,0.283,0.278,0.414,0.626,0.466,6,0.1553248,5.739,3.452,1.175,0.425221,9.24539268,65.950508,231.208405,149.538513
9,7.341988603342887,7.68,2.805,0.869,0.676,0.165,0.582,0.429,0.305,0.285,0.056,0.125,0.478,0.114,0.439,0.288,9,0.0813637,4.396,3.452,1.199,0.308741,9.44628644,36.954174,237.788177,43.389168
10,8.698970004336019,234.524,2.388,1.586,0.983,0.155,0.931,0.426,0.318,0.226,0.145,0.197,0.365,0.209,0.558,0.417,8,0.1353685,5.484,4.443,1.13,0.43905,7.60097988,59.469997,258.932343,93.117302
12,7.744727494896693,378.347,14.647,2.06,0.958,0.154,0.946,0.499,0.427,0.376,0.241,0.273,0.598,0.37,0.624,0.527,8,0.1197684,5.29,3.574,1.181,0.427749,10.1265701,62.432938,258.118896,106.085915
13,7.552841968657781,11.804,2.869,2.305,0.695,0.153,0.551,0.436,0.434,0.182,0.273,0.327,0.48,0.298,0.474,0.33,8,0.1898825,5.355,3.505,1.175,0.382997,11.8553841,47.625137,250.34491,131.60405
14,8.017728766960431,263.256,9.55,2.709,0.956,0.153,0.981,0.424,0.442,0.214,0.173,0.247,0.392,0.306,0.616,0.461,9,0.131958,5.485,4.149,1.261,0.409435,10.7299667,72.819069,280.737366,112.698204
15,8.920818753952375,10.033,2.879,0.949,0.724,0.159,0.508,0.399,0.3,0.204,0.08,0.136,0.423,0.128,0.402,0.331,5,0.0721641,5.109,4.11,1.39,0.377999,11.775995,36.73233,258.84494,89.495201
16,7.301029995663981,10.441,2.557,0.824,0.755,0.159,0.514,0.416,0.305,0.29,0.055,0.126,0.503,0.124,0.412,0.273,7,0.1030973,4.991,3.212,1.173,0.341443,9.43612674,23.921137,257.719757,86.893166
17,8.537602002101044,8.145,3.361,0.961,0.653,0.159,0.503,0.431,0.292,0.244,0.087,0.134,0.291,0.158,0.409,0.375,6,0.0725239,4.696,3.042,1.149,0.367517,8.32510484,49.363243,239.559555,103.598007
19,7.494850021680094,16.899,2.144,1.136,0.837,0.153,0.53,0.366,0.347,0.24,0.123,0.173,0.467,0.157,0.414,0.29,9,0.1470591,5.534,3.919,1.187,0.426488,9.86272038,49.044571,274.543152,95.278763
20,7.657577319177793,372.903,75.827,2.515,0.826,0.147,0.525,0.316,0.365,0.64,0.133,0.209,0.55,0.235,0.402,0.499,7,0.0891907,6.408,4.227,1.158,0.439912,11.957029,55.196995,302.0867,228.002487
21,7.958607314841775,18.608,2.602,1.102,0.834,0.149,0.567,0.441,0.354,0.25,0.106,0.171,0.477,0.176,0.454,0.31,8,0.1460938,6.018,4.261,1.23,0.452758,10.0546039,54.63163,297.345032,163.948776
22,7.017728766960431,6.199,3.184,0.944,0.6,0.162,0.53,0.464,0.305,0.277,0.055,0.126,0.447,0.119,0.433,0.285,7,0.0283721,4.343,3.247,1.209,0.295482,9.2621611,41.153858,265.237091,88.537209
23,8.080921907623926,153.396,4.84,1.202,0.962,0.153,0.352,0.325,0.351,0.346,0.098,0.164,0.435,0.204,0.343,0.281,10,0.1069512,5.608,4.579,1.424,0.421105,14.1411495,63.964638,284.830383,147.387436
24,8.769551078621726,10.739,2.531,1.272,0.738,0.158,0.487,0.409,0.354,0.219,0.079,0.158,0.469,0.173,0.417,0.295,8,0.129141,5.212,3.978,1.104,0.377811,8.53466001,53.595879,292.974243,101.647537
25,7.481486060122112,11.023,2.614,0.912,0.758,0.156,0.504,0.428,0.325,0.214,0.071,0.136,0.29,0.14,0.419,0.355,5,0.034663,5.029,3.349,1.217,0.400896,10.9305893,45.779732,304.411407,110.125832
27,7.958607314841775,236.357,3.252,1.335,0.981,0.153,0.946,0.381,0.396,0.244,0.182,0.266,0.362,0.231,0.575,0.452,9,0.0628844,5.712,3.914,1.312,0.423772,13.0256072,21.793827,232.908829,87.590134
28,8.031517051446064,200.976,5.144,1.681,0.967,0.153,0.516,0.395,0.449,0.414,0.158,0.258,0.594,0.225,0.453,0.447,8,0.1090588,5.755,3.623,1.182,0.409166,9.4392744,40.442245,1092.921997,125.25914
30,8.229147988357855,312.109,125.34,3.125,0.708,0.151,0.328,0.247,0.278,0.387,0.334,0.291,0.469,0.171,0.284,0.4,6,0.258672,6.135,4.853,1.154,0.432709,10.360642,71.064552,277.762329,80.667664
31,8.568636235841012,153.945,24.789,4.907,0.838,0.156,0.165,0.029,0.392,0.005,0.003,0.305,0.012,0.392,0.196,0.095,9,0.1339276,5.679,4.457,1.212,0.418933,10.9337386,31.034344,253.562851,60.255596
32,8.022276394711152,269.979,7.235,1.705,0.968,0.156,0.401,0.374,0.461,0.41,0.122,0.227,0.504,0.261,0.412,0.357,9,0.0788623,5.463,4.384,1.281,0.420971,11.8305486,67.513763,237.26741,81.327629
33,7.886056647693163,224.918,64.62,1.594,0.773,0.154,0.283,0.286,0.446,0.069,0.198,0.275,0.178,0.365,0.338,0.194,5,0.0769157,5.82,4.213,1.137,0.39682,9.66807438,43.758102,284.658081,108.507103
34,8.494850021680094,10.129,3.952,1.284,0.659,0.159,0.492,0.515,0.452,0.268,0.215,0.284,0.411,0.297,0.486,0.317,8,0.174033,5.41,3.872,1.216,0.365187,11.1098297,36.512383,228.416641,116.353294
35,7.045757490560675,7.542,3.798,0.996,0.611,0.16,0.531,0.444,0.283,0.241,0.107,0.131,0.385,0.248,0.42,0.272,6,0.0426506,4.681,2.991,1.243,0.316023,11.0263172,36.313732,247.376556,58.661026
36,8.585026652029182,118.55,9.652,1.792,0.912,0.154,0.182,0.364,0.361,0.302,0.169,0.227,0.308,0.305,0.302,0.196,12,0.0639307,5.55,4.248,1.189,0.415655,9.68486897,31.772282,239.729309,100.107384
37,8.214670164989233,170.485,6.096,0.862,0.961,0.155,0.551,0.425,0.265,0.284,0.055,0.117,0.434,0.123,0.414,0.364,9,0.0742123,5.468,3.984,1.207,0.392838,10.1085949,52.106289,264.548767,43.508671
38,8.346787486224656,12.086,3.699,0.931,0.723,0.154,0.478,0.356,0.333,0.168,0.065,0.148,0.345,0.162,0.389,0.319,9,0.1344612,5.865,4.389,1.12,0.421316,8.99923616,32.652412,300.170258,58.003361
39,8.823908740944319,11.133,4.623,0.828,0.671,0.153,0.484,0.397,0.291,0.303,0.07,0.132,0.347,0.143,0.391,0.325,10,0.0829179,5.764,4.511,1.117,0.406619,7.23315202,39.370342,268.323639,87.090515
40,8.698970004336019,5.908,4.253,1.013,0.529,0.162,0.521,0.425,0.293,0.19,0.202,0.165,0.271,0.404,0.413,0.272,5,0.0446134,4.539,3.076,1.226,0.298469,9.2484625,30.437428,257.086609,55.580833
41,6.823908740944319,7.355,3.806,0.78,0.616,0.162,0.534,0.441,0.305,0.246,0.054,0.115,0.393,0.129,0.427,0.259,7,0.0504378,4.688,3.417,1.169,0.311235,9.41665351,37.990479,227.1147,65.007919
42,8.55284196865778,6.661,3.967,0.554,0.596,0.163,0.526,0.474,0.267,0.24,0.097,0.127,0.386,0.158,0.422,0.271,6,0.0232935,4.319,3.228,1.136,0.304381,8.42166525,25.352957,197.09108,104.789963
43,7.744727494896693,162.655,34.963,1.086,0.819,0.163,0.251,0.042,0.39,0.004,0.131,0.219,0.02,0.199,0.228,0.097,6,0.0525465,4.464,3.398,1.142,0.301104,8.27339889,27.566076,231.764053,67.124535
44,8.886056647693163,7.848,3.112,0.852,0.664,0.161,0.526,0.463,0.282,0.265,0.055,0.117,0.454,0.12,0.424,0.263,6,0.147854,4.574,2.631,1.175,0.309237,8.91400401,20.771437,270.192413,59.971939
45,9.045757490560677,8.32,4.548,0.892,0.605,0.156,0.465,0.399,0.294,0.287,0.048,0.114,0.349,0.132,0.386,0.308,10,0.1339102,5.672,4.34,1.086,0.364993,7.09609938,34.98719,270.446777,96.400162
