mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,300.319,26.167,2.825,0.912,0.156,0.771,0.032,0.408,0.002,0.1,0.007,0.24,0.015,0.295,0.294,7,0.0755659,5.133,4.091,1.13,0.381157,11.6659265,62.134064,137.183258,116.629723
2,9.30102999566398,8.315,2.911,2.02,0.628,0.156,0.464,0.564,0.471,0.347,0.257,0.412,0.313,0.501,0.23,0.424,8,0.0410739,5.274,4.261,1.186,0.368656,11.1105822,65.368942,254.040771,101.698212
3,6.214670164989233,149.792,3.371,1.795,0.967,0.151,0.368,0.386,0.413,0.217,0.111,0.268,0.195,0.281,0.226,0.234,5,0.1481057,6.077,2.939,1.06,0.420268,6.32346747,61.941422,121.982964,144.273148
4,7.920818753952375,24.212,12.804,2.071,0.619,0.155,0.028,0.475,0.438,0.001,0.118,0.008,0.337,0.016,0.417,0.208,5,0.0504685,5.954,3.315,1.154,0.416686,10.7067981,42.266434,275.467896,112.165787
6,7.823908740944319,14.361,2.474,1.296,0.792,0.157,0.557,0.422,0.31,0.244,0.084,0.278,0.15,0.375,0.168,0.307,6,0.1255799,5.375,2.905,1.099,0.412728,11.4360061,44.868122,241.17749,85.308685
7,7.207608310501746,182.723,3.313,1.958,0.972,0.158,0.219,0.379,0.434,0.267,0.29,0.302,0.322,0.324,0.484,0.242,7,0.1002963,5.419,3.042,1.119,0.405869,9.57294954,30.035275,344.368866,146.54068
8,8.619788758288394,14.64,2.559,1.097,0.8,0.153,0.488,0.403,0.363,0.277,0.072,0.294,0.151,0.446,0.159,0.298,7,0.1764411,5.414,3.417,1.137,0.420275,9.63902015,62.829079,249.856552,128.214203
9,7.341988603342887,7.257,3.112,0.624,0.66,0.165,0.57,0.469,0.283,0.298,0.039,0.342,0.099,0.482,0.1,0.283,5,0.012602,4.426,3.417,1.183,0.303516,9.86919143,29.370129,222.532623,53.505573
10,8.698970004336019,48.946,13.975,0.898,0.767,0.155,0.055,0.456,0.332,0.542,0.084,0.485,0.146,0.717,0.184,0.229,8,0.1626886,5.362,4.545,1.153,0.443247,7.7840037,37.019375,234.176239,87.255692
12,7.744727494896693,238.47,5.241,1.903,0.971,0.154,0.88,0.424,0.341,0.269,0.164,0.327,0.214,0.363,0.208,0.456,7,0.2202606,5.955,3.744,1.164,0.400663,6.5137948,72.642242,256.242218,143.296555
13,7.552841968657781,14.96,2.299,1.076,0.816,0.154,0.523,0.406,0.298,0.248,0.16,0.29,0.177,0.471,0.149,0.306,7,0.1114813,5.833,3.437,1.203,0.406218,9.60068335,33.582722,238.979889,88.152184
14,8.017728766960431,62.295,11.286,1.631,0.828,0.153,0.08,0.487,0.408,0.559,0.255,0.548,0.289,0.747,0.293,0.284,7,0.1199463,5.808,3.98,1.244,0.408043,11.5173769,45.997353,278.319794,123.306923
15,8.920818753952375,9.864,2.814,0.926,0.725,0.159,0.503,0.371,0.297,0.209,0.079,0.265,0.135,0.415,0.123,0.318,9,0.0371365,5.233,3.945,1.314,0.370564,13.7687562,29.718784,255.168274,94.893311
16,7.301029995663981,345.847,9.872,0.934,0.97,0.159,0.876,0.473,0.321,0.307,0.061,0.382,0.135,0.46,0.135,0.374,7,0.1101739,4.938,3.281,1.15,0.347176,9.41289583,95.980881,230.388428,113.714394
17,8.537602002101044,9.815,2.973,1.001,0.712,0.16,0.512,0.366,0.295,0.199,0.094,0.257,0.138,0.248,0.172,0.357,7,0.119461,5.287,3.178,1.2,0.387593,9.5810605,25.47065,239.561722,116.270264
19,7.494850021680094,12.853,3.645,1.05,0.732,0.154,0.526,0.456,0.413,0.274,0.12,0.328,0.195,0.425,0.186,0.32,7,0.0967945,5.716,4.089,1.125,0.401087,6.4970256,28.152748,261.607117,118.720573
20,7.657577319177793,16.963,3.211,1.317,0.789,0.147,0.559,0.471,0.298,0.254,0.117,0.329,0.162,0.476,0.161,0.324,7,0.0746346,6.09,4.125,1.133,0.447806,9.47387863,44.339962,323.085938,211.924545
21,7.958607314841775,19.742,2.44,1.125,0.847,0.149,0.577,0.388,0.368,0.23,0.125,0.267,0.187,0.435,0.187,0.317,8,0.1185304,6.367,4.33,1.174,0.466068,9.17181335,74.56366,251.201904,152.555176
22,7.017728766960431,31.102,5.757,2.247,0.795,0.162,0.034,0.493,0.491,0.008,0.013,0.325,0.324,0.444,0.463,0.01,6,0.0371696,4.374,3.486,1.188,0.301318,9.49389522,43.931725,269.712982,81.609489
23,8.080921907623926,29.147,7.574,1.416,0.764,0.153,0.032,0.463,0.473,0.013,0.157,0.236,0.27,0.367,0.313,0.06,9,0.0644096,5.597,3.998,1.416,0.365633,16.1086901,59.604019,282.972595,163.941498
24,8.769551078621726,179.266,7.455,2.195,0.949,0.156,0.343,0.39,0.405,0.252,0.236,0.291,0.306,0.31,0.558,0.277,8,0.0940649,5.187,4.162,1.119,0.369394,5.69313705,59.310181,262.363678,123.008934
25,7.481486060122112,180.421,2.535,1.9,0.976,0.156,0.249,0.431,0.497,0.239,0.218,0.316,0.327,0.35,0.272,0.305,7,0.0835437,5.272,3.247,1.195,0.397417,10.612545,25.192493,269.031952,103.156448
27,7.958607314841775,110.864,10.177,1.328,0.906,0.153,0.176,0.434,0.436,0.39,0.126,0.411,0.228,0.509,0.263,0.269,6,0.0797813,5.886,3.745,1.169,0.421284,12.2168296,47.053635,222.116287,90.803581
28,8.031517051446064,15.552,2.587,0.933,0.815,0.153,0.52,0.383,0.345,0.247,0.076,0.27,0.152,0.428,0.155,0.294,9,0.1149841,5.601,3.486,1.105,0.421196,10.3689319,39.713951,1137.421143,82.098999
30,8.229147988357855,263.634,14.782,1.695,0.941,0.151,0.931,0.587,0.33,0.722,0.114,0.653,0.179,0.785,0.218,0.594,10,0.2118662,5.969,4.887,1.09,0.465097,13.2711215,37.707344,266.05368,76.954285
31,8.568636235841012,10.297,3.67,0.95,0.69,0.158,0.502,0.457,0.308,0.269,0.105,0.333,0.16,0.444,0.131,0.313,9,0.1480111,5.196,4.191,1.205,0.378056,12.4967469,46.303051,236.742142,80.609146
32,8.022276394711152,27.621,13.747,0.764,0.656,0.156,0.037,0.454,0.36,0.002,0.053,0.013,0.16,0.043,0.188,0.145,7,0.0599614,5.471,4.282,1.181,0.425657,12.4239492,59.151695,229.409286,57.128719
33,7.886056647693163,266.459,4.293,1.033,0.98,0.154,0.535,0.41,0.373,0.237,0.084,0.301,0.169,0.404,0.186,0.376,6,0.1739148,5.572,4.08,1.176,0.371495,7.7457286,53.224304,271.587463,130.493561
34,8.494850021680094,99.006,82.298,2.654,0.538,0.159,0.325,0.26,0.389,0.166,0.298,0.153,0.33,0.188,0.474,0.214,8,0.0812093,5.149,4.008,1.202,0.397027,11.7731414,38.266357,211.171005,106.91761
35,7.045757490560675,7.242,3.756,1.166,0.595,0.16,0.528,0.41,0.254,0.213,0.097,0.272,0.12,0.332,0.216,0.257,6,0.0399356,5.1,3.161,1.206,0.31148,10.6462531,39.18364,242.622025,93.527611
36,8.585026652029182,14.341,3.594,0.723,0.769,0.154,0.425,0.345,0.275,0.186,0.048,0.237,0.11,0.312,0.114,0.237,9,0.0515388,5.577,4.419,1.135,0.422267,10.1559812,22.444748,268.757446,82.522705
37,8.214670164989233,11.812,3.768,0.73,0.724,0.155,0.449,0.349,0.306,0.191,0.082,0.24,0.129,0.327,0.129,0.255,7,0.104897,5.515,3.916,1.169,0.388263,11.1396638,35.418468,238.694061,57.93454
38,8.346787486224656,172.751,4.809,0.894,0.968,0.154,0.54,0.313,0.314,0.216,0.065,0.267,0.133,0.351,0.149,0.33,9,0.0962037,5.387,4.109,1.111,0.407195,9.55117061,51.7118,235.683594,88.834686
39,8.823908740944319,345.287,10.826,2.538,0.963,0.153,0.885,0.491,0.475,0.328,0.243,0.423,0.312,0.389,0.437,0.485,6,0.1919816,5.95,4.545,1.112,0.430783,6.46815244,34.499775,243.272537,75.177353
40,8.698970004336019,6.67,4.087,1.057,0.565,0.162,0.525,0.407,0.298,0.19,0.229,0.261,0.177,0.271,0.421,0.274,6,0.0474815,4.709,3.383,1.266,0.306499,11.5526384,58.436954,258.091431,65.648697
41,6.823908740944319,7.418,3.829,0.718,0.62,0.162,0.537,0.447,0.284,0.239,0.061,0.302,0.118,0.389,0.124,0.267,6,0.0274547,4.581,3.349,1.155,0.314555,8.94862834,37.446815,291.382233,71.25174
42,8.55284196865778,7.265,3.714,0.683,0.623,0.163,0.555,0.473,0.301,0.262,0.054,0.321,0.117,0.418,0.126,0.263,9,0.0664565,4.453,3.331,1.107,0.308552,8.32808043,70.278519,241.407196,95.81694
43,7.744727494896693,86.726,5.067,1.584,0.929,0.163,0.152,0.492,0.493,0.481,0.186,0.443,0.291,0.607,0.327,0.274,6,0.0457518,4.434,3.364,1.118,0.304568,7.48125147,28.17676,231.870468,60.632168
