mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,256.905,3.216,2.031,0.98,0.156,0.96,0.353,0.434,0.276,0.216,0.297,0.272,0.334,0.295,0.582,0.475,5,0.0799964,5.445,3.955,1.203,0.390897,12.1988191,47.831215,102.262955,124.557678
2,9.30102999566398,7.979,3.069,2.397,0.593,0.156,0.496,0.383,0.344,0.262,0.206,0.302,0.239,0.421,0.158,0.408,0.395,9,0.0538725,5.563,4.159,1.211,0.371114,10.3892344,55.577415,284.591583,97.448448
3,6.214670164989233,12.814,3.971,1.309,0.708,0.151,0.465,0.488,0.349,0.241,0.095,0.33,0.166,0.355,0.183,0.434,0.299,4,0.2054307,6.142,3.076,1.066,0.41666,4.0600134,37.452324,114.487732,166.343521
4,7.920818753952375,11.037,3.725,2.221,0.65,0.151,0.512,0.48,0.43,0.275,0.251,0.353,0.283,0.436,0.4,0.474,0.363,6,0.1104765,5.933,3.212,1.196,0.394839,10.9002977,59.752365,248.144379,117.859497
6,7.823908740944319,12.178,2.444,2.2,0.724,0.156,0.545,0.489,0.483,0.286,0.147,0.335,0.243,0.464,0.219,0.506,0.335,6,0.1835551,5.67,3.212,1.13,0.391885,7.14828983,77.634567,237.570251,92.655182
7,7.207608310501746,14.437,2.288,0.903,0.819,0.158,0.513,0.424,0.474,0.252,0.128,0.288,0.222,0.431,0.242,0.47,0.288,6,0.1155161,5.349,2.871,1.159,0.39909,9.00738057,52.417633,345.214996,149.723358
8,8.619788758288394,15.123,2.643,0.816,0.814,0.153,0.485,0.423,0.28,0.249,0.057,0.283,0.118,0.423,0.113,0.396,0.282,5,0.1593055,5.705,3.042,1.172,0.424797,9.40463212,56.472824,235.798965,117.609482
9,7.341988603342887,72.338,6.152,2.659,0.891,0.165,0.071,0.548,0.466,0.358,0.301,0.483,0.342,0.566,0.517,0.362,0.221,8,0.0771469,4.464,3.178,1.199,0.306209,9.44836722,30.436657,259.119659,61.768993
10,8.698970004336019,15.385,2.132,0.998,0.831,0.155,0.478,0.367,0.345,0.232,0.088,0.264,0.155,0.378,0.182,0.397,0.309,11,0.1732944,5.724,4.579,1.129,0.440318,8.89637115,51.321651,232.71225,109.228928
12,7.744727494896693,9.59,3.987,1.648,0.63,0.154,0.459,0.512,0.504,0.275,0.263,0.337,0.319,0.388,0.32,0.491,0.348,10,0.2169981,5.897,3.642,1.182,0.375084,7.31039767,42.297081,229.601089,135.862228
