mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,1.34,235.95,3.581,1.907,0.977,0.156,0.392,0.331,0.441,0.201,0.214,0.223,0.287,0.339,0.23,0.388,0.294,0.275,7,0.0501461,5.593,3.953,1.167,0.381152,12.0261893,57.410973,113.73877,115.525452
2,9.30102999566398,5.0,8.213,2.863,2.327,0.613,0.158,0.473,0.451,0.391,0.317,0.247,0.357,0.272,0.403,0.171,0.439,0.42,0.385,11,0.0462239,5.156,4.158,1.209,0.372706,8.00878647,37.952713,273.305145,75.762299
3,6.214670164989233,6.87,42.046,12.478,2.445,0.738,0.151,0.051,0.469,0.456,0.002,0.185,0.125,0.275,0.384,0.269,0.325,0.101,0.226,4,0.1303764,5.714,3.042,1.066,0.420519,5.96303648,49.374512,117.548523,158.504333
4,7.920818753952375,7.6,156.734,107.339,1.688,0.59,0.151,0.169,0.174,0.414,0.149,0.22,0.175,0.285,0.158,0.361,0.252,0.212,0.22,6,0.0241525,5.727,3.52,1.195,0.417216,11.1680972,45.79435,285.828979,126.869553
6,7.823908740944319,4.87,12.671,2.478,1.662,0.754,0.156,0.529,0.428,0.34,0.268,0.118,0.303,0.187,0.444,0.192,0.432,0.317,0.438,6,0.1738034,5.285,3.076,1.141,0.394755,7.4968141,40.747276,253.721115,91.871849
7,7.207608310501746,5.27,12.204,2.711,1.745,0.733,0.158,0.539,0.479,0.383,0.247,0.188,0.3,0.24,0.434,0.254,0.467,0.321,0.445,4,0.1807898,5.654,3.144,1.158,0.386929,9.20614466,41.065422,332.224823,135.189285
8,8.619788758288394,7.93,14.242,2.723,1.099,0.788,0.153,0.485,0.415,0.279,0.247,0.085,0.277,0.141,0.412,0.139,0.393,0.29,0.407,5,0.1358767,5.391,3.247,1.174,0.416953,9.28376473,41.891514,256.144653,124.155205
9,7.341988603342887,1.26,7.299,3.08,0.633,0.663,0.165,0.572,0.464,0.283,0.297,0.041,0.339,0.103,0.481,0.102,0.44,0.287,0.401,7,0.0120179,4.441,3.349,1.176,0.304776,9.45669871,33.131351,213.704315,72.168594
10,8.698970004336019,1.89,15.119,2.427,0.781,0.825,0.155,0.481,0.401,0.309,0.246,0.058,0.281,0.124,0.401,0.121,0.397,0.307,0.434,7,0.1289148,5.581,4.409,1.137,0.438935,7.77916061,31.881428,243.116302,91.372269
12,7.744727494896693,4.56,11.671,4.483,0.754,0.69,0.154,0.49,0.469,0.32,0.278,0.098,0.318,0.147,0.368,0.143,0.426,0.314,0.401,8,0.2340449,5.875,3.539,1.208,0.401108,9.10273209,41.680649,228.359528,141.032898
13,7.552841968657781,2.55,116.829,95.027,2.022,0.546,0.153,0.168,0.217,0.44,0.196,0.359,0.173,0.356,0.105,0.36,0.275,0.296,0.284,7,0.1046967,5.67,3.641,1.167,0.409546,9.44228496,29.596199,278.319824,96.803223
14,8.017728766960431,1.83,269.767,156.984,4.116,0.626,0.153,0.542,0.355,0.465,0.275,0.203,0.335,0.286,0.246,0.342,0.454,0.331,0.392,9,0.0970436,5.897,3.747,1.228,0.412438,10.5525277,38.583763,278.504303,90.199738
15,8.920818753952375,0.66,10.554,2.716,0.925,0.744,0.16,0.493,0.372,0.299,0.234,0.087,0.277,0.139,0.429,0.124,0.388,0.291,0.371,8,0.0574922,4.983,3.905,1.29,0.369727,14.3325318,35.157898,259.651672,74.837646
16,7.301029995663981,4.69,10.111,2.508,1.08,0.738,0.159,0.527,0.406,0.301,0.275,0.062,0.304,0.132,0.482,0.135,0.412,0.283,0.411,7,0.10963,4.718,3.349,1.169,0.342179,9.24244784,28.353146,220.369232,93.337173
17,8.537602002101044,3.98,229.58,5.72,1.326,0.97,0.159,0.322,0.416,0.386,0.783,0.197,0.491,0.283,1.094,0.198,0.374,0.437,0.512,7,0.1045571,5.137,3.349,1.176,0.372427,7.72974153,34.182213,251.153473,99.935936
19,7.494850021680094,4.07,14.512,2.571,1.426,0.784,0.153,0.536,0.441,0.411,0.285,0.121,0.317,0.207,0.424,0.184,0.463,0.314,0.421,10,0.0928731,5.716,4.124,1.149,0.409755,9.69761079,37.556793,243.516464,102.282768
20,7.657577319177793,1.0,16.963,3.211,1.317,0.789,0.147,0.559,0.471,0.298,0.254,0.117,0.329,0.162,0.476,0.161,0.443,0.324,0.461,7,0.0746346,6.09,4.125,1.133,0.447806,9.47387863,44.339962,323.085938,211.924545
21,7.958607314841775,7.58,18.056,2.678,1.032,0.83,0.149,0.565,0.442,0.352,0.246,0.11,0.304,0.169,0.48,0.172,0.453,0.31,0.453,6,0.1421684,6.471,4.26,1.225,0.447539,9.90241888,39.399979,282.666718,129.497559
22,7.017728766960431,9.83,276.747,156.198,2.676,0.635,0.162,0.541,0.482,0.459,0.358,0.367,0.414,0.427,0.386,0.347,0.494,0.465,0.483,7,0.0285721,4.403,3.281,1.209,0.301502,9.87001287,52.110802,273.000702,83.823364
23,8.080921907623926,4.53,8.0,4.595,1.571,0.565,0.153,0.48,0.499,0.434,0.358,0.234,0.383,0.287,0.519,0.381,0.471,0.35,0.494,10,0.1375098,5.84,4.067,1.414,0.353791,15.99007,63.034843,263.061249,144.604996
24,8.769551078621726,1.75,10.007,2.481,1.457,0.718,0.156,0.508,0.427,0.391,0.21,0.114,0.309,0.191,0.542,0.185,0.442,0.343,0.431,7,0.1071121,5.189,3.911,1.11,0.376408,5.26204858,36.844151,279.116058,98.837425
25,7.481486060122112,1.98,200.68,6.923,2.617,0.955,0.156,0.525,0.435,0.413,0.436,0.18,0.361,0.263,0.227,0.286,0.458,0.41,0.425,7,0.0944947,5.152,3.042,1.206,0.400349,10.0129566,41.162086,288.531158,98.033165
27,7.958607314841775,8.27,255.248,8.927,1.463,0.961,0.153,0.684,0.451,0.448,0.41,0.222,0.386,0.283,0.47,0.275,0.528,0.49,0.51,7,0.1575446,5.611,3.813,1.305,0.427509,13.3716898,64.693657,288.83905,65.191643
28,8.031517051446064,9.5,128.795,3.004,1.987,0.963,0.153,0.233,0.446,0.339,0.478,0.202,0.436,0.235,0.649,0.318,0.339,0.262,0.357,5,0.1204679,5.464,3.52,1.181,0.414095,9.62728965,43.196766,1107.80542,75.019577
30,8.229147988357855,0.26,21.198,3.182,0.582,0.849,0.151,0.521,0.387,0.243,0.297,0.039,0.299,0.09,0.329,0.098,0.384,0.339,0.38,7,0.1454488,6.644,4.784,1.044,0.5214,8.67998964,58.66893,263.182861,104.747589
31,8.568636235841012,7.19,41.655,11.58,0.969,0.768,0.156,0.059,0.475,0.352,0.003,0.087,0.479,0.16,0.568,0.166,0.295,0.232,0.254,10,0.1225873,5.366,4.328,1.22,0.421358,11.454001,49.245827,262.402893,53.005836
32,8.022276394711152,5.6,255.763,14.904,1.761,0.939,0.156,0.666,0.435,0.385,0.343,0.22,0.334,0.272,0.332,0.391,0.495,0.384,0.4,7,0.0260042,5.539,3.975,1.271,0.420711,12.3132583,37.894264,242.983673,70.220314
33,7.886056647693163,3.2,10.655,3.725,1.037,0.691,0.158,0.511,0.474,0.378,0.264,0.085,0.325,0.166,0.425,0.184,0.454,0.328,0.429,7,0.1646291,5.836,4.248,1.139,0.385305,6.99266696,58.407059,268.720184,137.964508
