mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,3.82,259.226,3.046,2.01,0.981,0.156,0.881,0.424,0.387,0.186,0.16,0.234,0.217,0.356,0.564,0.401,0.522,7,0.095324,5.338,4.022,1.191,0.379418,11.8454955,45.385944,145.488571,119.493973
2,9.30102999566398,4.06,7.302,2.925,2.506,0.573,0.158,0.506,0.358,0.369,0.341,0.245,0.297,0.424,0.16,0.411,0.407,0.41,10,0.0897664,5.284,4.293,1.197,0.349608,7.70494141,58.048424,266.134003,73.047684
3,6.214670164989233,2.35,370.925,193.679,117.149,0.544,0.151,0.599,0.272,0.226,0.19,0.126,0.173,0.163,0.165,0.366,0.347,0.346,6,0.157246,5.59,3.076,1.066,0.437726,6.07322035,67.233795,105.876701,172.153061
4,7.920818753952375,0.36,13.713,2.553,1.928,0.754,0.151,0.47,0.409,0.351,0.236,0.152,0.216,0.416,0.223,0.41,0.305,0.432,5,0.0979129,5.683,3.212,1.072,0.417439,10.4773457,55.503479,295.477631,105.165977
6,7.823908740944319,7.61,13.25,2.693,1.522,0.759,0.156,0.551,0.479,0.412,0.299,0.122,0.21,0.481,0.212,0.48,0.333,0.459,5,0.1903453,5.579,3.212,1.127,0.400929,6.94333894,51.375587,240.283127,103.569801
7,7.207608310501746,2.74,112.504,9.75,1.077,0.912,0.158,0.092,0.461,0.356,0.52,0.113,0.184,0.544,0.169,0.303,0.225,0.249,5,0.1183887,5.416,3.315,1.152,0.381928,9.12492968,42.884834,328.541382,139.274094
8,8.619788758288394,1.06,14.365,2.562,1.195,0.793,0.154,0.49,0.403,0.412,0.238,0.094,0.182,0.395,0.19,0.435,0.294,0.421,7,0.1627063,5.644,3.383,1.149,0.418686,9.77816142,58.107273,261.348145,128.733856
9,7.341988603342887,0.71,7.462,2.89,0.857,0.666,0.165,0.588,0.436,0.292,0.284,0.046,0.113,0.465,0.106,0.439,0.283,0.397,9,0.0387233,4.423,3.247,1.171,0.30496,9.61302054,18.262243,226.795929,76.014381
10,8.698970004336019,4.75,13.566,2.608,1.355,0.774,0.156,0.502,0.431,0.336,0.226,0.147,0.194,0.364,0.226,0.423,0.34,0.466,9,0.1700592,5.699,4.648,1.134,0.426403,7.70822722,56.251122,233.62233,78.509399
12,7.744727494896693,5.76,10.967,4.057,1.483,0.664,0.154,0.504,0.486,0.411,0.253,0.2,0.25,0.384,0.24,0.467,0.337,0.445,9,0.2081432,5.937,3.642,1.189,0.391677,7.23483054,40.973743,274.371002,130.190414
13,7.552841968657781,3.3,123.017,10.527,2.79,0.902,0.153,0.207,0.465,0.443,0.396,0.259,0.309,0.404,0.339,0.372,0.336,0.358,8,0.1313386,5.504,3.711,1.177,0.421588,9.88735114,56.836117,274.952881,71.569908
14,8.017728766960431,8.26,334.56,3.512,1.67,0.985,0.153,0.865,0.452,0.394,0.303,0.145,0.232,0.392,0.193,0.57,0.449,0.458,6,0.1706171,6.027,4.015,1.262,0.408086,11.2975556,54.520092,281.498657,81.129517
15,8.920818753952375,3.62,10.637,2.785,0.921,0.742,0.159,0.495,0.366,0.301,0.214,0.087,0.141,0.41,0.123,0.388,0.297,0.365,8,0.0241809,4.592,4.122,1.383,0.374774,14.3367055,25.507143,268.810394,88.619873
16,7.301029995663981,7.76,10.287,2.57,0.965,0.744,0.16,0.528,0.401,0.301,0.27,0.06,0.129,0.459,0.129,0.41,0.274,0.399,7,0.0740139,4.786,3.349,1.173,0.342106,9.84490771,43.893391,232.171524,96.654663
17,8.537602002101044,7.92,192.714,5.741,1.033,0.966,0.159,0.268,0.42,0.401,0.781,0.117,0.19,1.181,0.266,0.363,0.386,0.529,6,0.1363999,5.023,3.247,1.152,0.362599,8.57357039,51.015106,273.590637,77.964493
19,7.494850021680094,8.03,112.564,12.732,1.064,0.891,0.153,0.176,0.456,0.369,0.446,0.111,0.175,0.468,0.205,0.334,0.27,0.292,9,0.2020549,5.792,4.259,1.187,0.402757,9.43604926,34.775146,275.840393,97.108643
20,7.657577319177793,7.94,17.431,3.147,1.313,0.796,0.147,0.562,0.434,0.327,0.255,0.113,0.17,0.446,0.174,0.441,0.324,0.459,9,0.0826708,6.532,4.056,1.159,0.452695,9.49656611,54.138721,305.941437,190.989334
21,7.958607314841775,2.79,170.732,5.541,1.768,0.959,0.149,0.61,0.426,0.391,0.236,0.127,0.203,0.274,0.276,0.476,0.386,0.441,7,0.1086283,6.137,4.227,1.214,0.442235,12.2966647,69.459335,321.183289,138.784912
22,7.017728766960431,9.29,186.383,3.683,1.461,0.973,0.162,0.509,0.463,0.511,0.301,0.185,0.279,0.469,0.318,0.494,0.266,0.355,7,0.0349997,4.421,3.452,1.209,0.300867,9.93500658,46.188282,303.536316,76.277496
23,8.080921907623926,2.8,7.029,4.57,2.123,0.512,0.153,0.522,0.47,0.362,0.347,0.227,0.265,0.513,0.368,0.451,0.366,0.511,7,0.1526653,5.225,4.169,1.369,0.349035,14.6452787,69.103485,287.270477,141.763199
24,8.769551078621726,7.38,97.849,48.651,1.686,0.66,0.156,0.124,0.065,0.359,0.122,0.148,0.198,0.032,0.229,0.183,0.176,0.108,7,0.0927976,4.994,3.911,1.103,0.367768,5.49393074,42.835556,309.210571,95.642342
25,7.481486060122112,0.77,10.546,2.765,0.938,0.74,0.161,0.497,0.43,0.318,0.219,0.062,0.127,0.293,0.123,0.415,0.357,0.499,6,0.094912,5.108,3.281,1.182,0.397846,10.7108091,41.274986,274.352478,115.335709
27,7.958607314841775,8.72,36.649,9.34,1.139,0.778,0.153,0.042,0.335,0.396,0.003,0.074,0.206,0.08,0.223,0.258,0.038,0.113,10,0.05505,5.63,4.052,1.311,0.430098,12.8098483,37.285652,231.6008,77.661217
28,8.031517051446064,9.81,16.514,2.372,0.831,0.838,0.154,0.527,0.391,0.333,0.265,0.056,0.131,0.462,0.145,0.417,0.289,0.41,8,0.112731,5.665,3.52,1.182,0.425705,9.22859431,49.681297,1155.704956,79.293762
30,8.229147988357855,5.56,140.083,4.703,3.774,0.943,0.151,0.242,0.416,0.432,0.498,0.291,0.324,0.484,0.211,0.363,0.33,0.297,7,0.1811556,6.278,4.75,1.158,0.438594,10.6435477,47.284569,254.937424,65.963783
31,8.568636235841012,1.46,13.08,2.689,0.886,0.785,0.156,0.514,0.456,0.377,0.228,0.078,0.159,0.474,0.165,0.449,0.347,0.407,9,0.1142927,5.481,4.144,1.202,0.42315,12.9606085,65.528908,250.352127,67.623711
32,8.022276394711152,8.16,440.793,207.704,8.165,0.671,0.156,0.76,0.384,0.397,0.156,0.176,0.278,0.181,0.229,0.514,0.437,0.43,8,0.0719378,5.65,4.213,1.276,0.418555,12.6451422,26.164341,269.915741,70.359138
33,7.886056647693163,8.99,211.411,110.507,1.394,0.654,0.154,0.716,0.135,0.468,0.04,0.171,0.26,0.045,0.301,0.44,0.373,0.424,9,0.0789858,5.844,4.519,1.137,0.400717,8.94129932,42.886833,254.559128,111.151001
34,8.494850021680094,6.2,13.001,3.319,0.558,0.77,0.159,0.485,0.428,0.309,0.242,0.052,0.12,0.384,0.125,0.408,0.264,0.356,9,0.1176327,4.978,4.145,1.217,0.395811,9.18759208,43.066269,222.565613,88.913383
