mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,32.009,4.022,2.13,0.839,0.156,0.041,0.341,0.414,0.005,0.24,0.092,0.278,0.277,0.313,0.265,0.086,9,0.0567643,5.357,3.955,1.199,0.372379,13.0817538,58.703728,122.289047,128.195145
2,9.30102999566398,8.213,2.863,2.327,0.613,0.158,0.473,0.451,0.391,0.317,0.247,0.357,0.272,0.403,0.171,0.439,0.42,11,0.0462239,5.156,4.158,1.209,0.372706,8.00878647,37.952713,273.305145,75.762299
3,6.214670164989233,97.075,6.9,1.753,0.918,0.151,0.172,0.356,0.418,0.406,0.163,0.367,0.252,0.515,0.248,0.315,0.245,4,0.147905,5.593,3.178,1.065,0.429604,5.93913758,89.994659,142.680939,178.011917
4,7.920818753952375,9.919,3.949,2.38,0.61,0.151,0.517,0.492,0.399,0.254,0.24,0.342,0.272,0.384,0.401,0.469,0.359,5,0.1536889,5.988,3.417,1.182,0.384587,10.0406211,25.762928,257.817261,105.837898
6,7.823908740944319,14.443,2.694,0.859,0.803,0.156,0.537,0.471,0.359,0.286,0.079,0.33,0.153,0.468,0.174,0.456,0.306,6,0.1651293,5.212,3.212,1.141,0.408845,7.16134729,52.325119,223.055878,110.534012
7,7.207608310501746,150.905,3.821,2.129,0.962,0.158,0.437,0.398,0.502,0.313,0.23,0.343,0.308,0.46,0.352,0.446,0.377,3,0.1733432,5.193,3.144,1.158,0.388049,9.18360567,43.988716,335.978058,142.146545
8,8.619788758288394,251.397,12.274,1.176,0.949,0.153,0.643,0.461,0.45,0.481,0.15,0.442,0.236,0.702,0.27,0.518,0.405,7,0.1598817,6.076,3.417,1.176,0.431327,9.591826,52.616325,249.030701,135.414444
9,7.341988603342887,7.641,2.842,0.697,0.683,0.165,0.581,0.47,0.309,0.294,0.051,0.34,0.12,0.5,0.113,0.453,0.288,7,0.0482233,4.38,3.144,1.196,0.305459,9.5049863,30.226517,265.639191,56.728058
10,8.698970004336019,12.811,2.645,1.741,0.745,0.156,0.516,0.479,0.379,0.245,0.183,0.303,0.233,0.383,0.264,0.458,0.366,9,0.203968,5.509,4.716,1.132,0.421029,8.06450796,93.729683,259.862854,95.55217
12,7.744727494896693,35.942,7.908,2.543,0.775,0.154,0.035,0.533,0.48,0.004,0.005,0.044,0.172,0.083,0.277,0.349,0.011,9,0.21473,5.884,3.641,1.2,0.408007,9.0057817,40.950031,231.55426,166.150162
13,7.552841968657781,177.499,10.867,1.171,0.936,0.153,0.5,0.436,0.46,0.396,0.11,0.422,0.203,0.508,0.265,0.465,0.361,8,0.0755234,5.717,3.369,1.176,0.413561,8.31487792,37.662994,256.160004,75.492409
14,8.017728766960431,217.283,8.674,1.399,0.956,0.153,0.697,0.371,0.372,0.203,0.162,0.251,0.199,0.444,0.182,0.48,0.326,8,0.1277872,5.527,3.979,1.253,0.40875,12.1447707,46.563202,250.885529,89.012016
15,8.920818753952375,9.972,2.798,0.922,0.728,0.159,0.497,0.373,0.297,0.217,0.087,0.268,0.139,0.414,0.123,0.389,0.307,6,0.0344481,5.157,4.189,1.388,0.368315,14.2731384,28.093758,250.058334,96.911232
