mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,239.066,10.449,1.665,0.952,0.156,0.572,0.451,0.428,0.599,0.146,0.502,0.239,0.447,0.227,0.484,0.516,7,0.1036857,5.273,4.191,1.193,0.38612,11.0505474,42.514996,107.921867,122.237198
2,9.30102999566398,29.507,6.253,2.634,0.769,0.156,0.034,0.43,0.461,0.003,0.322,0.109,0.364,0.361,0.188,0.308,0.114,8,0.0517412,5.353,4.227,1.197,0.371251,9.38126457,63.308289,250.037674,105.991226
3,6.214670164989233,316.914,161.584,2.013,0.66,0.151,0.528,0.778,0.322,0.722,0.181,0.8,0.21,0.756,0.376,0.543,0.498,5,0.1328071,5.634,3.212,1.066,0.44104,5.97165849,55.765842,99.343468,162.662247
4,7.920818753952375,319.547,131.081,4.194,0.703,0.151,0.522,0.474,0.377,0.634,0.243,0.511,0.285,0.701,0.388,0.458,0.473,6,0.031576,6.046,3.349,1.179,0.412391,10.6742479,51.886898,237.530426,160.488281
6,7.823908740944319,26.604,12.459,0.944,0.665,0.157,0.031,0.548,0.334,0.002,0.07,0.014,0.142,0.693,0.155,0.304,0.228,6,0.1724935,5.345,3.11,1.147,0.397972,7.40890459,43.269848,256.830872,95.481354
7,7.207608310501746,9.257,3.013,2.414,0.63,0.158,0.574,0.452,0.475,0.244,0.229,0.283,0.302,0.366,0.321,0.5,0.349,5,0.1871039,5.257,3.144,1.159,0.359496,9.23484699,44.526611,332.839844,182.441376
8,8.619788758288394,212.463,140.172,5.711,0.593,0.153,0.379,0.332,0.39,0.256,0.364,0.658,0.38,0.51,0.501,0.367,0.297,7,0.1902243,5.459,3.315,1.174,0.425638,9.54860198,50.317078,253.058685,113.41964
9,7.341988603342887,7.409,3.035,0.637,0.669,0.165,0.566,0.455,0.321,0.298,0.041,0.335,0.11,0.48,0.115,0.447,0.279,4,0.035808,4.229,3.247,1.193,0.304062,9.76009213,33.587765,249.08696,45.460579
10,8.698970004336019,45.049,6.32,0.794,0.864,0.155,0.076,0.398,0.336,0.312,0.081,0.292,0.152,0.502,0.161,0.27,0.158,9,0.1465169,5.316,4.648,1.134,0.428588,8.80717681,64.716034,220.419312,103.360741
12,7.744727494896693,11.507,3.697,1.623,0.684,0.154,0.511,0.477,0.424,0.247,0.207,0.306,0.268,0.379,0.261,0.47,0.335,7,0.1990657,6.13,3.879,1.222,0.394894,7.21586036,72.439041,248.029266,146.52121
13,7.552841968657781,15.148,2.224,1.129,0.819,0.153,0.539,0.438,0.338,0.244,0.169,0.303,0.193,0.497,0.163,0.438,0.308,5,0.1178719,5.83,3.81,1.175,0.404328,10.3736856,37.802612,236.980362,119.122925
14,8.017728766960431,10.698,3.746,1.322,0.679,0.154,0.536,0.455,0.359,0.308,0.102,0.338,0.168,0.384,0.173,0.45,0.369,7,0.1449025,5.831,3.87,1.253,0.396399,10.4028557,50.3993,266.114288,89.849419
15,8.920818753952375,11.029,2.664,0.919,0.755,0.159,0.505,0.367,0.288,0.231,0.084,0.272,0.136,0.427,0.12,0.387,0.306,6,0.034468,5.11,4.299,1.387,0.380007,14.7464478,37.495842,270.615051,82.681778
16,7.301029995663981,9.747,2.556,1.205,0.722,0.159,0.536,0.404,0.345,0.284,0.076,0.308,0.156,0.477,0.166,0.429,0.292,6,0.1141283,4.903,3.349,1.166,0.339265,9.93843924,50.632881,237.517212,110.664505
17,8.537602002101044,213.09,5.634,1.076,0.969,0.159,0.322,0.422,0.341,0.768,0.104,0.484,0.165,1.026,0.189,0.362,0.404,7,0.0902655,5.037,3.417,1.175,0.372004,7.63175918,58.130615,240.404297,89.820488
19,7.494850021680094,14.818,2.511,1.441,0.789,0.153,0.534,0.437,0.427,0.274,0.126,0.304,0.213,0.417,0.183,0.466,0.309,8,0.0961048,5.649,4.327,1.148,0.412062,9.62176881,53.079868,252.124176,111.174088
20,7.657577319177793,14.325,3.49,1.465,0.743,0.147,0.549,0.525,0.34,0.277,0.148,0.366,0.195,0.506,0.183,0.471,0.34,7,0.1147882,6.05,4.124,1.157,0.422957,9.7036538,55.387047,308.005432,209.443268
21,7.958607314841775,155.064,2.886,2.007,0.969,0.149,0.578,0.402,0.453,0.567,0.225,0.427,0.296,0.552,0.429,0.478,0.389,9,0.1315494,5.992,4.226,1.225,0.455905,8.81602458,37.126968,287.870819,181.648407
