mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
30,8.229147988357855,24.451,13.126,2.108,0.616,0.151,0.031,0.488,0.408,0.002,0.246,0.009,0.292,0.028,0.258,0.309,0.314,1116.241,6,0.2230741,6.331,4.579,1.146,0.462673,10.9943904,51.032536,258.766327,81.815193
31,8.568636235841012,399.416,43.36,2.793,0.896,0.156,0.919,0.077,0.397,0.056,0.187,0.081,0.244,0.115,0.347,0.465,0.387,67366.577,9,0.0776706,5.381,4.265,1.214,0.423826,9.01160543,60.771194,224.310303,58.817688
32,8.022276394711152,296.171,4.269,0.748,0.983,0.156,0.661,0.437,0.33,0.31,0.082,0.343,0.153,0.467,0.162,0.476,0.411,2735.892,11,0.0334483,5.56,4.077,1.275,0.417569,12.1002071,56.866501,258.479309,64.695213
33,7.886056647693163,11.241,3.649,1.015,0.707,0.154,0.52,0.459,0.361,0.253,0.075,0.314,0.158,0.429,0.167,0.447,0.323,113.687,5,0.089956,5.607,4.18,1.137,0.3917,7.69455492,50.90976,265.801727,90.175911
34,8.494850021680094,108.206,11.153,1.699,0.894,0.159,0.17,0.423,0.405,0.503,0.176,0.435,0.24,0.56,0.253,0.333,0.258,3580.831,8,0.089432,5.285,3.907,1.215,0.393286,11.3707031,39.114986,216.868958,87.238312
35,7.045757490560675,7.445,3.562,1.034,0.618,0.16,0.521,0.423,0.272,0.234,0.126,0.288,0.138,0.363,0.274,0.406,0.274,77.383,9,0.0411775,4.924,2.957,1.242,0.314119,10.7697955,41.547371,224.090851,88.649048
36,8.585026652029182,14.552,3.566,0.798,0.769,0.155,0.415,0.33,0.276,0.175,0.055,0.225,0.117,0.299,0.116,0.341,0.228,126.666,10,0.0531301,5.75,4.181,1.19,0.423641,10.2690191,33.94799,253.685043,74.5383
37,8.214670164989233,12.358,3.459,0.857,0.741,0.155,0.464,0.348,0.31,0.19,0.067,0.236,0.136,0.327,0.147,0.374,0.259,109.585,7,0.0558799,5.5,4.119,1.206,0.394855,11.6849576,56.543297,250.757767,79.259529
38,8.346787486224656,12.328,3.376,1.092,0.734,0.154,0.489,0.345,0.334,0.163,0.063,0.23,0.149,0.34,0.165,0.389,0.322,121.04,8,0.1344527,5.537,4.537,1.12,0.423099,8.81353565,33.163132,253.770569,60.160934
39,8.823908740944319,13.419,3.52,0.708,0.76,0.153,0.459,0.377,0.309,0.218,0.045,0.259,0.113,0.372,0.14,0.382,0.298,110.335,10,0.1900236,6.097,4.511,1.12,0.42973,7.34537653,46.225899,253.946182,72.623718
