mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
1,9.154901959985745,7.21,208.544,2.591,1.499,0.981,0.156,0.514,0.469,0.527,0.335,0.168,0.273,0.384,0.242,0.503,0.344,6,0.1322525,5.662,3.951,1.203,0.376208,8.71737517,68.925774,87.725479,117.61396
2,9.30102999566398,0.31,7.616,3.26,2.261,0.58,0.156,0.5,0.445,0.378,0.342,0.246,0.272,0.429,0.204,0.441,0.432,10,0.0436465,5.474,4.261,1.117,0.3646,9.04609345,50.945663,264.636475,116.500969
3,6.214670164989233,8.95,295.908,7.249,2.145,0.969,0.151,0.456,0.368,0.414,0.215,0.136,0.232,0.213,0.303,0.413,0.291,4,0.169921,5.754,3.042,1.066,0.40166,6.69205175,60.14743,102.768806,162.144699
4,7.920818753952375,6.59,11.708,3.429,2.25,0.673,0.151,0.478,0.47,0.356,0.232,0.227,0.25,0.351,0.375,0.434,0.327,5,0.0922146,6.268,3.212,1.192,0.401532,10.2471658,58.983383,282.296509,101.642509
6,7.823908740944319,8.76,13.829,2.736,0.968,0.789,0.156,0.55,0.466,0.336,0.288,0.079,0.149,0.482,0.165,0.451,0.312,7,0.1411176,5.182,3.144,1.125,0.402893,7.30277747,34.562897,243.584091,94.409622
7,7.207608310501746,9.55,234.303,3.344,1.948,0.978,0.158,0.957,0.478,0.396,0.269,0.18,0.239,0.413,0.283,0.61,0.476,5,0.1536919,5.431,3.076,1.158,0.384017,8.86436456,34.495026,326.406708,145.214981
8,8.619788758288394,8.12,27.847,10.273,1.199,0.708,0.153,0.049,0.285,0.468,0.002,0.052,0.264,0.033,0.332,0.268,0.052,6,0.1524581,5.421,3.315,1.175,0.43362,9.68865994,48.949165,272.473938,130.701401
9,7.341988603342887,1.26,7.299,3.08,0.633,0.663,0.165,0.572,0.464,0.283,0.297,0.041,0.103,0.481,0.102,0.44,0.287,7,0.0120179,4.441,3.349,1.176,0.304776,9.45669871,33.131351,213.704315,72.168594
10,8.698970004336019,5.35,12.63,2.806,1.492,0.746,0.155,0.521,0.446,0.394,0.233,0.194,0.241,0.33,0.3,0.454,0.366,10,0.1135977,5.706,4.545,1.132,0.4177,8.16347496,58.409126,243.8862,86.070999
12,7.744727494896693,5.53,14.811,2.513,1.545,0.785,0.154,0.512,0.371,0.329,0.234,0.108,0.172,0.342,0.187,0.404,0.296,8,0.2015331,5.805,3.778,1.192,0.42468,5.54195941,63.286484,249.956406,158.481476
