mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
25,7.481486060122112,11.023,2.773,0.855,0.752,0.156,0.499,0.418,0.315,0.79,0.215,0.065,0.535,0.289,0.127,0.174,1.072,0.292,0.124,0.411,0.356,0.317,0.496,7,0.0004761,5.326,3.212,1.0,0.404723,10.6076073,42.181778,321.927734,103.493782
27,7.958607314841775,16.251,2.793,0.877,0.816,0.153,0.55,0.411,0.33,0.589,0.239,0.132,0.551,0.287,0.171,0.193,0.683,0.432,0.153,0.431,0.32,0.337,0.423,7,0.0004845,5.753,4.017,1.0,0.43267,11.6398382,42.971733,246.977859,73.322777
28,8.031517051446064,16.698,2.663,0.775,0.829,0.153,0.508,0.363,0.379,0.538,0.25,0.064,0.514,0.268,0.147,0.202,0.604,0.406,0.168,0.416,0.284,0.309,0.393,6,0.0004711,5.87,3.554,1.0,0.432866,9.49737276,33.262451,1175.658203,98.543579
30,8.229147988357855,20.919,2.522,1.187,0.849,0.151,0.514,0.385,0.345,0.714,0.21,0.253,0.62,0.243,0.252,0.259,0.688,0.34,0.137,0.415,0.392,0.372,0.388,8,0.0004423,6.948,4.682,1.0,0.524019,10.7178341,49.558643,276.870331,84.840851
31,8.568636235841012,13.565,2.406,0.981,0.8,0.158,0.52,0.38,0.311,0.686,0.196,0.118,0.529,0.27,0.165,0.186,0.596,0.456,0.131,0.404,0.333,0.321,0.394,7,0.0004304,5.147,4.258,1.0,0.421547,10.2875638,43.622108,265.664673,79.309502
32,8.022276394711152,15.619,2.503,0.681,0.831,0.156,0.46,0.377,0.263,0.485,0.241,0.039,0.437,0.273,0.1,0.146,0.554,0.389,0.101,0.367,0.255,0.27,0.348,9,0.0004701,5.576,4.282,1.0,0.425194,12.7533896,58.409184,230.120773,81.70993
33,7.886056647693163,12.359,2.693,1.596,0.742,0.154,0.548,0.471,0.457,0.659,0.24,0.091,0.566,0.312,0.188,0.257,0.693,0.456,0.196,0.492,0.33,0.355,0.448,7,0.000481,5.561,4.146,1.0,0.400745,9.3811664,39.331459,291.06192,115.260437
34,8.494850021680094,14.663,2.286,0.701,0.831,0.159,0.471,0.374,0.29,0.451,0.233,0.058,0.421,0.274,0.116,0.157,0.521,0.416,0.118,0.378,0.247,0.27,0.352,10,0.0004996,5.499,3.906,1.0,0.403476,10.9031255,35.158806,224.04689,112.643356
35,7.045757490560675,7.314,3.568,1.051,0.613,0.16,0.526,0.41,0.278,0.47,0.224,0.122,0.474,0.278,0.138,0.153,0.559,0.347,0.267,0.405,0.272,0.297,0.391,9,0.0004643,4.982,3.093,1.0,0.311754,11.0845107,33.288692,247.259964,91.895561
36,8.585026652029182,13.584,3.536,0.794,0.758,0.154,0.426,0.343,0.301,0.475,0.194,0.055,0.414,0.24,0.124,0.172,0.537,0.316,0.132,0.356,0.241,0.259,0.328,9,0.0004915,5.479,4.213,1.0,0.413134,10.3138187,30.762993,226.88591,73.912285
