mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
37,8.214670164989233,12.933,3.265,0.775,0.762,0.155,0.471,0.386,0.288,0.522,0.204,0.054,0.463,0.259,0.123,0.169,0.569,0.36,0.136,0.382,0.26,0.282,0.355,6,0.0004652,5.268,4.017,1.0,0.398511,11.0873444,19.638708,285.010376,76.372444
38,8.346787486224656,11.446,3.768,0.783,0.715,0.154,0.478,0.401,0.332,0.558,0.218,0.086,0.469,0.284,0.145,0.175,0.584,0.368,0.151,0.404,0.287,0.299,0.368,9,0.0004531,5.1,4.163,1.0,0.394364,9.53649218,47.329285,293.44455,73.2024
39,8.823908740944319,9.14,4.807,1.117,0.607,0.153,0.459,0.444,0.339,0.631,0.3,0.127,0.522,0.335,0.188,0.224,0.597,0.393,0.166,0.414,0.353,0.348,0.386,7,0.0004528,5.677,4.272,1.0,0.387486,5.97817772,45.872124,256.563721,135.318649
40,8.698970004336019,6.38,4.101,0.955,0.558,0.162,0.513,0.41,0.296,0.419,0.185,0.234,0.438,0.261,0.177,0.163,0.469,0.27,0.473,0.406,0.279,0.292,0.404,6,0.0005006,4.911,3.247,1.0,0.3013,12.6342896,47.515877,254.894958,97.608719
41,6.823908740944319,7.042,3.974,0.72,0.6,0.162,0.521,0.441,0.269,0.479,0.24,0.07,0.463,0.298,0.119,0.152,0.585,0.386,0.128,0.41,0.263,0.293,0.366,5,0.000464,4.645,3.212,1.0,0.310684,9.15748996,33.13472,246.899246,79.096024
42,8.55284196865778,6.873,3.915,0.618,0.603,0.163,0.527,0.468,0.257,0.472,0.231,0.077,0.457,0.303,0.116,0.14,0.58,0.382,0.136,0.418,0.26,0.292,0.366,7,0.0005064,4.599,3.194,1.0,0.306157,8.33399392,32.296783,227.381958,89.236534
43,7.744727494896693,5.782,4.271,0.817,0.532,0.163,0.522,0.447,0.3,0.524,0.213,0.052,0.468,0.278,0.121,0.168,0.64,0.341,0.114,0.423,0.263,0.289,0.365,5,0.0004803,4.65,3.16,1.0,0.300436,8.13447954,31.290882,243.579712,71.120033
44,8.886056647693163,6.584,3.409,1.2,0.588,0.161,0.514,0.472,0.482,0.445,0.272,0.124,0.44,0.328,0.229,0.293,0.564,0.452,0.248,0.489,0.28,0.332,0.421,5,0.0005135,4.468,2.666,1.0,0.296724,8.89735591,29.19298,217.114716,117.851723
45,9.045757490560677,10.064,3.642,1.117,0.679,0.156,0.482,0.333,0.288,0.579,0.179,0.147,0.511,0.221,0.18,0.198,0.561,0.323,0.125,0.368,0.302,0.304,0.336,7,0.000504,5.506,4.238,1.0,0.377549,8.5371325,42.76754,308.906128,163.207397
46,8.886056647693163,14.681,3.561,1.372,0.748,0.152,0.503,0.341,0.348,0.588,0.19,0.099,0.552,0.226,0.173,0.218,0.717,0.282,0.196,0.397,0.292,0.317,0.398,7,0.0004948,5.91,3.486,1.0,0.434806,9.09245375,62.598892,240.687729,134.227859
47,8.0,6.849,3.778,0.85,0.597,0.162,0.539,0.452,0.301,0.522,0.243,0.053,0.49,0.301,0.123,0.169,0.633,0.393,0.119,0.431,0.273,0.305,0.382,8,0.0004608,4.453,3.417,1.0,0.308749,8.25597837,37.126842,218.533264,72.493446
49,9.221848749616356,9.152,5.428,1.372,0.574,0.152,0.426,0.478,0.443,0.507,0.381,0.154,0.382,0.43,0.238,0.279,0.453,0.441,0.274,0.449,0.347,0.35,0.389,8,0.000464,6.175,3.801,1.0,0.388747,13.3636447,40.755306,347.065491,83.374199
50,8.522878745280337,8.723,5.964,0.865,0.561,0.154,0.372,0.493,0.325,0.365,0.314,0.072,0.323,0.401,0.146,0.193,0.431,0.441,0.164,0.397,0.25,0.29,0.345,7,0.0004991,5.268,3.572,1.0,0.361009,6.36740979,57.888832,281.093079,105.59803
51,8.481486060122112,8.856,5.831,0.992,0.565,0.152,0.399,0.449,0.338,0.492,0.298,0.106,0.369,0.392,0.166,0.194,0.453,0.47,0.167,0.395,0.299,0.309,0.363,10,0.0004823,5.79,3.801,1.0,0.378739,4.31109242,36.697983,249.232849,87.964851
52,8.275724130399212,9.513,4.962,1.003,0.615,0.156,0.434,0.476,0.441,0.508,0.249,0.096,0.416,0.345,0.197,0.244,0.485,0.409,0.233,0.45,0.284,0.319,0.376,8,0.0004743,5.741,3.814,1.0,0.373498,7.51445675,40.910233,257.581696,112.182144
53,8.67778070526608,10.807,6.06,0.886,0.609,0.152,0.42,0.443,0.318,0.428,0.36,0.077,0.346,0.404,0.14,0.172,0.361,0.451,0.149,0.394,0.289,0.297,0.32,10,0.0005068,6.487,3.672,1.0,0.399786,15.0896653,29.744444,283.405975,83.859329
54,8.585026652029182,9.116,5.037,0.882,0.606,0.155,0.397,0.439,0.333,0.461,0.256,0.093,0.372,0.359,0.153,0.182,0.455,0.481,0.156,0.39,0.27,0.295,0.364,6,0.0004716,5.888,3.706,1.0,0.366166,3.68549546,42.425808,282.720032,85.843231
55,8.585026652029182,10.677,4.798,0.901,0.652,0.154,0.396,0.483,0.307,0.389,0.319,0.079,0.366,0.386,0.139,0.178,0.476,0.477,0.144,0.395,0.262,0.297,0.365,5,0.0004804,5.487,3.676,1.0,0.37603,7.22717048,24.494488,249.529602,86.304665
56,8.0,8.953,5.665,0.888,0.577,0.155,0.366,0.45,0.321,0.358,0.317,0.071,0.315,0.381,0.143,0.189,0.395,0.462,0.151,0.379,0.249,0.28,0.336,8,0.0004841,5.339,3.266,1.0,0.362462,8.7113916,23.174835,239.14888,69.300064
57,7.552841968657781,8.977,5.41,0.899,0.587,0.155,0.412,0.458,0.355,0.467,0.246,0.151,0.387,0.348,0.192,0.213,0.473,0.401,0.179,0.408,0.288,0.309,0.351,10,0.0004749,5.516,3.967,1.0,0.366942,3.74876726,52.373344,300.98056,104.822327
58,7.997833938243493,9.633,5.342,0.772,0.612,0.156,0.431,0.438,0.327,0.471,0.333,0.064,0.402,0.367,0.145,0.177,0.492,0.426,0.15,0.399,0.289,0.305,0.356,5,0.000441,5.662,4.488,1.0,0.382892,13.5420486,35.953735,242.112518,83.110283
59,8.3767507096021,8.845,5.244,1.199,0.579,0.153,0.5,0.429,0.445,0.585,0.357,0.147,0.414,0.405,0.223,0.259,0.41,0.464,0.324,0.458,0.363,0.347,0.399,11,0.0004865,6.079,4.682,1.0,0.381991,12.3773442,38.951347,253.380157,85.314445
