mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
1,5.823908740944319,22.755,3.219,1.509,0.828,0.149,0.565,0.478,0.433,0.35,0.181,0.259,0.402,0.281,0.492,0.369
2,6.045757490560675,176.578,4.924,2.163,0.961,0.149,0.575,0.386,0.421,0.249,0.148,0.232,0.238,0.243,0.461,0.348
3,6.1938200260161125,20.587,3.224,1.315,0.819,0.149,0.518,0.401,0.363,0.216,0.152,0.214,0.277,0.186,0.427,0.359
4,5.522878745280337,46.587,22.67,3.558,0.64,0.149,0.056,0.507,0.332,0.001,0.189,0.214,0.016,0.212,0.298,0.232
5,5.522878745280337,123.948,13.329,1.384,0.894,0.149,0.263,0.508,0.384,0.728,0.317,0.273,1.003,0.345,0.385,0.394
6,5.522878745280337,306.438,153.695,2.592,0.662,0.145,0.364,0.719,0.417,0.765,0.169,0.23,0.701,0.289,0.5,0.436
7,5.552841968657781,19.34,4.263,1.224,0.779,0.152,0.55,0.364,0.387,0.116,0.203,0.24,0.171,0.249,0.434,0.367
9,5.619788758288394,124.442,4.829,1.523,0.951,0.148,0.117,0.341,0.414,0.361,0.264,0.305,0.582,0.286,0.291,0.294
10,5.180456064458132,159.282,9.332,1.425,0.937,0.149,0.478,0.449,0.441,0.221,0.23,0.265,0.285,0.273,0.456,0.335
11,6.3979400086720375,17.034,5.523,1.531,0.707,0.15,0.514,0.36,0.378,0.315,0.188,0.219,0.296,0.327,0.418,0.395
12,5.6020599913279625,70.706,13.086,2.465,0.82,0.147,0.099,0.478,0.415,0.368,0.23,0.26,0.554,0.362,0.33,0.211
13,5.0,74.102,39.823,4.186,0.627,0.151,0.105,0.059,0.408,0.044,0.339,0.356,0.061,0.4,0.191,0.195
14,5.102372908709558,176.6,130.935,4.072,0.567,0.148,0.286,0.378,0.305,0.176,0.145,0.225,0.154,0.203,0.323,0.282
15,5.795880017344075,8.95,6.058,1.717,0.535,0.149,0.539,0.423,0.444,0.436,0.17,0.241,0.494,0.338,0.469,0.379
