mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
1,5.823908740944319,188.314,5.697,2.683,0.957,0.148,0.749,0.321,0.335,0.358,0.176,0.27,0.212,0.576,0.208,0.468,0.404,0.455
2,6.045757490560675,331.47,22.81,2.069,0.93,0.149,0.743,0.031,0.487,0.002,0.276,0.008,0.321,0.01,0.342,0.42,0.279,0.282
3,6.1938200260161125,242.214,8.0,1.241,0.963,0.149,0.907,0.451,0.373,0.324,0.154,0.329,0.184,0.375,0.319,0.577,0.46,0.543
4,5.522878745280337,226.109,10.207,1.417,0.951,0.149,0.589,0.495,0.305,0.302,0.161,0.342,0.175,0.293,0.248,0.463,0.396,0.497
5,5.522878745280337,428.721,9.513,2.762,0.972,0.149,0.971,0.232,0.388,0.123,0.17,0.166,0.238,0.132,0.215,0.53,0.403,0.4
6,5.522878745280337,31.089,3.822,0.898,0.868,0.146,0.547,0.481,0.307,0.247,0.113,0.329,0.141,0.357,0.29,0.445,0.295,0.409
7,5.552841968657781,437.282,131.46,9.592,0.756,0.152,0.759,0.297,0.309,0.343,0.08,0.269,0.123,0.222,0.122,0.455,0.43,0.462
9,5.619788758288394,23.746,2.289,1.248,0.87,0.149,0.543,0.453,0.439,0.225,0.172,0.286,0.229,0.26,0.341,0.478,0.336,0.496
10,5.180456064458132,172.723,6.69,0.907,0.958,0.149,0.532,0.391,0.334,0.225,0.138,0.246,0.183,0.235,0.267,0.419,0.29,0.371
11,6.3979400086720375,255.421,5.458,1.734,0.973,0.15,0.402,0.355,0.42,0.165,0.188,0.223,0.234,0.212,0.271,0.392,0.341,0.437
12,5.6020599913279625,223.736,124.196,8.662,0.627,0.147,0.567,0.29,0.393,0.271,0.738,0.346,0.419,0.242,0.904,0.417,0.467,0.523
13,5.0,31.581,2.817,1.144,0.889,0.151,0.553,0.441,0.375,0.187,0.178,0.249,0.205,0.319,0.216,0.456,0.27,0.349
14,5.102372908709558,9.645,6.554,1.582,0.542,0.148,0.517,0.479,0.438,0.501,0.198,0.449,0.264,0.417,0.299,0.478,0.457,0.534
15,5.795880017344075,149.074,15.709,1.925,0.894,0.149,0.136,0.534,0.359,0.432,0.147,0.457,0.2,0.471,0.288,0.343,0.227,0.275
16,5.102372908709558,347.438,5.821,2.271,0.977,0.151,0.513,0.594,0.45,0.593,0.169,0.501,0.254,0.728,0.281,0.519,0.506,0.615
17,6.795880017344075,190.825,6.134,2.552,0.956,0.151,0.609,0.334,0.452,0.224,0.209,0.234,0.293,0.268,0.306,0.465,0.434,0.502
18,7.0,186.591,3.441,1.544,0.974,0.149,0.865,0.348,0.432,0.243,0.302,0.238,0.361,0.263,0.421,0.548,0.458,0.511
19,5.6020599913279625,36.463,2.867,1.235,0.899,0.149,0.568,0.422,0.359,0.202,0.167,0.274,0.187,0.266,0.321,0.45,0.253,0.335
20,6.301029995663981,19.41,4.024,1.311,0.784,0.151,0.472,0.491,0.366,0.357,0.085,0.384,0.176,0.365,0.189,0.443,0.385,0.375
21,6.301029995663981,408.476,113.718,2.489,0.779,0.149,0.451,0.287,0.461,0.283,0.155,0.274,0.26,0.284,0.216,0.4,0.353,0.406
22,5.102372908709558,41.484,2.634,1.438,0.911,0.145,0.627,0.351,0.423,0.162,0.153,0.215,0.233,0.239,0.247,0.467,0.255,0.317
24,5.795880017344075,29.631,2.833,0.963,0.886,0.149,0.577,0.474,0.306,0.252,0.129,0.298,0.168,0.3,0.203,0.452,0.269,0.324
25,6.301029995663981,77.796,28.334,2.863,0.714,0.147,0.12,0.547,0.466,0.681,0.384,0.557,0.325,0.573,0.477,0.377,0.377,0.37
26,5.3979400086720375,7.751,6.251,2.253,0.477,0.149,0.416,0.467,0.377,0.44,0.145,0.443,0.215,0.438,0.228,0.42,0.344,0.464
27,6.102372908709558,8.685,7.29,1.358,0.501,0.151,0.565,0.539,0.421,0.402,0.11,0.436,0.21,0.516,0.277,0.508,0.572,0.479
28,5.301029995663981,51.714,12.505,1.732,0.784,0.144,0.065,0.506,0.427,0.382,0.148,0.45,0.222,0.411,0.289,0.333,0.189,0.246
29,5.520856752021387,396.655,8.671,1.221,0.976,0.144,0.645,0.466,0.213,0.262,0.144,0.345,0.125,0.346,0.207,0.441,0.365,0.415
30,7.031517051446065,314.564,12.463,3.319,0.952,0.14,0.795,0.462,0.525,0.486,0.421,0.461,0.389,0.419,0.626,0.594,0.565,0.57
31,6.366531544420414,11.174,6.4,4.959,0.496,0.138,0.477,0.361,0.558,0.54,0.378,0.349,0.425,0.819,0.389,0.465,0.477,0.657
32,6.0,19.603,6.087,3.681,0.667,0.139,0.488,0.298,0.493,0.585,0.236,0.358,0.325,0.394,0.368,0.426,0.454,0.463
33,6.0,27.965,5.112,2.574,0.784,0.138,0.543,0.42,0.392,0.49,0.215,0.403,0.251,0.587,0.325,0.452,0.446,0.555
34,7.721246399047171,20.736,6.259,2.119,0.712,0.139,0.417,0.401,0.46,0.549,0.23,0.413,0.276,0.746,0.248,0.426,0.439,0.554
35,6.795880017344075,14.379,5.922,3.079,0.615,0.138,0.425,0.51,0.362,0.496,0.196,0.391,0.253,0.598,0.274,0.432,0.395,0.429
36,6.0,41.095,20.788,6.446,0.601,0.141,0.146,0.131,0.202,0.028,0.002,0.026,0.025,0.036,0.048,0.16,0.112,0.1
38,5.2441251443275085,84.262,5.062,2.043,0.922,0.147,0.161,0.38,0.416,0.191,0.228,0.257,0.269,0.328,0.275,0.319,0.178,0.234
39,6.3979400086720375,298.699,7.263,4.187,0.963,0.147,0.574,0.521,0.336,1.112,0.53,0.521,0.416,0.536,0.384,0.477,0.674,0.466
40,5.698970004336019,20.704,7.371,2.573,0.676,0.144,0.532,0.353,0.489,0.193,0.284,0.253,0.326,0.265,0.37,0.458,0.307,0.373
41,6.154901959985743,28.579,16.047,3.049,0.599,0.143,0.059,0.276,0.395,0.007,0.201,0.026,0.265,0.051,0.271,0.243,0.137,0.13
42,5.508638306165727,17.478,10.611,1.265,0.595,0.142,0.428,0.479,0.424,0.279,0.119,0.363,0.202,0.364,0.277,0.444,0.325,0.458
43,5.522878745280337,19.506,6.704,1.912,0.694,0.14,0.445,0.41,0.397,0.52,0.155,0.419,0.226,0.348,0.242,0.418,0.362,0.354
44,6.102372908709558,18.45,6.536,1.778,0.689,0.143,0.453,0.424,0.469,0.297,0.184,0.353,0.244,0.372,0.329,0.448,0.346,0.468
45,6.721246399047171,362.808,19.095,2.939,0.943,0.142,0.957,0.453,0.521,0.466,0.356,0.427,0.399,0.448,0.374,0.643,0.589,0.606
46,8.102372908709558,168.598,7.303,2.889,0.943,0.144,0.282,0.472,0.313,0.339,0.256,0.357,0.251,0.394,0.236,0.356,0.289,0.313
47,5.040958607678906,94.621,6.028,2.113,0.921,0.153,0.21,0.345,0.419,0.657,0.159,0.375,0.234,0.656,0.234,0.325,0.344,0.339
48,5.42021640338319,241.498,6.893,4.622,0.954,0.147,0.867,0.266,0.433,0.194,0.096,0.246,0.144,0.169,0.31,0.522,0.412,0.461
49,5.580044251510242,261.248,79.552,9.167,0.746,0.151,0.319,0.115,0.393,0.122,0.424,0.074,0.4,0.098,0.44,0.276,0.286,0.296
50,8.522878745280337,84.448,21.792,1.636,0.783,0.145,0.144,0.462,0.296,0.477,0.244,0.446,0.193,0.569,0.226,0.301,0.275,0.322
51,5.329754146925876,23.474,3.407,1.789,0.819,0.149,0.605,0.488,0.506,0.305,0.152,0.343,0.258,0.359,0.279,0.533,0.37,0.435
52,6.8297382846050425,555.154,212.52,3.765,0.72,0.144,0.925,0.599,0.358,0.551,0.177,0.466,0.25,0.569,0.226,0.627,0.554,0.577
